Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
AMNH5_8bit_trimmed.tif,5,1,11.528,78.497,70.491,1.8,78.497,70.491,1.308,1.436,2.764,5.379,20.99,1.792,7.594,3.746,9.521,2.943,5.556,1.86,13.754,2.866,2.659,0.323,5.969,1.257,5.422,20.948,3.756,7.564,1.443,2.769,5.555,2.974
AMNH5_8bit_trimmed.tif,5,2,48.742,79.087,68.504,1.8,79.087,68.504,-0.268,5.374,8.342,143.363,1267.68,0.571,151.957,26.678,169.142,6.238,15.627,0.516,60.204,3.751,2.4,1.225,5.969,1.257,1265.33,145.713,151.849,27.407,8.333,5.317,6.335,15.516
AMNH5_8bit_trimmed.tif,5,3,65.879,78.318,67.636,1.8,78.318,67.636,-0.291,7.007,8.015,443.111,1847.089,0.901,230.461,63.242,263.973,8.73,16.973,0.696,73.224,3.54,2.105,0.983,5.969,1.257,1846.313,443.887,230.287,63.521,8.017,6.988,9.18,16.071
AMNH5_8bit_trimmed.tif,5,4,65.943,77.867,66.542,1.8,77.867,66.542,-0.312,8.493,8.4,485.163,1920.127,1.033,228.584,57.122,249.161,10.174,17.644,0.74,81.121,3.54,2.271,1.01,5.969,1.257,1920.118,485.171,228.563,57.138,8.401,8.491,10.723,16.486
AMNH5_8bit_trimmed.tif,5,5,63.235,77.766,65.633,1.8,77.766,65.633,-0.304,9.641,8.756,373.49,1855.741,0.945,211.943,38.738,212.685,10.906,17.992,0.714,79.159,2.866,2.042,0.831,5.969,1.257,1855.592,373.639,212.019,38.779,8.752,9.635,11.216,17.24
AMNH5_8bit_trimmed.tif,5,6,57.971,77.53,65.207,1.8,77.53,65.207,-0.315,10.007,9.345,309.823,1805.665,0.928,193.221,30.961,197.166,10.964,18.207,0.737,85.005,2.729,1.825,0.722,5.969,1.257,1805.663,309.825,193.203,30.958,9.346,10.008,11.201,18.065
AMNH5_8bit_trimmed.tif,5,7,52.297,77.343,64.833,1.8,77.343,64.833,-0.299,8.805,9.809,204.349,1784.194,0.757,181.899,23.209,183.191,8.042,18.743,0.301,74.268,2.533,1.736,0.688,5.969,1.257,1783.843,204.7,182.058,23.505,9.798,8.709,8.66,18.741
AMNH5_8bit_trimmed.tif,5,8,48.575,77.427,64.656,1.8,77.427,64.656,-0.293,7.199,10.039,161.665,1822.909,0.675,181.584,22.458,195.968,7.684,19.351,0.303,79.274,2.138,1.43,0.544,5.969,1.257,1822.169,162.406,181.819,23.003,10.022,7.06,8.234,19.35
AMNH5_8bit_trimmed.tif,5,9,50.834,78.149,64.845,1.8,78.149,64.845,-0.26,5.854,9.896,204.652,2148.886,0.558,217.149,34.959,236.117,8.023,19.923,0.235,82.185,1.827,1.257,0.483,5.969,1.257,2143.095,210.443,216.013,34.133,9.921,6.165,8.399,19.862
AMNH5_8bit_trimmed.tif,5,10,46.149,78.61,64.542,1.8,78.61,64.542,-0.263,6.159,10.591,175.521,2068.115,0.521,195.28,28.499,208.822,8.386,20.473,0.252,89.098,2.027,1.182,0.541,5.969,1.257,2063.247,180.389,193.549,28.102,10.66,6.419,8.805,20.462
AMNH5_8bit_trimmed.tif,5,11,41.001,78.321,64.259,1.8,78.321,64.259,-0.278,5.933,10.28,158.286,1743.941,0.514,169.646,26.68,181.814,8.294,20.093,0.268,81.908,1.949,1.156,0.477,5.969,1.257,1741.857,160.371,168.575,26.156,10.333,6.131,8.838,20.072
AMNH5_8bit_trimmed.tif,5,12,39.653,77.791,64.046,1.8,77.791,64.046,-0.28,6.916,9.995,148.77,1470.719,0.504,147.15,21.511,159.192,6.966,19.626,0.269,80.533,2.027,1.108,0.512,5.969,1.257,1469.173,150.317,148.044,21.233,9.924,7.079,7.106,19.606
AMNH5_8bit_trimmed.tif,5,13,37.317,77.574,64.228,1.8,77.574,64.228,-0.278,6.726,10.024,157.084,1374.417,0.467,137.117,23.353,151.445,6.6,19.05,0.271,71.681,1.726,1.073,0.394,5.969,1.257,1372.79,158.711,137.72,22.991,9.968,6.903,6.74,19.032
AMNH5_8bit_trimmed.tif,5,14,33.44,77.725,64.209,1.8,77.725,64.209,-0.266,6.43,9.688,155.45,1166.151,0.386,120.365,24.175,134.801,6.623,18.604,0.252,66,1.726,1.051,0.439,5.969,1.257,1163.843,157.759,121.164,23.691,9.606,6.659,6.937,18.568
AMNH5_8bit_trimmed.tif,5,15,32.067,78.274,64.077,1.8,78.274,64.077,-0.243,6.06,9.624,157.145,1065.234,0.308,110.68,25.931,125.922,6.284,18.852,0.255,60.795,1.52,1.024,0.355,5.969,1.257,1060.593,161.786,111.533,25.421,9.509,6.364,6.684,18.819
