 ,Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
1,AMNH3_8bit_trimmed.tif,0,1,23.509,63.670,51.244,1.800,63.670,51.244,-1.316,4.549,8.038,71.608,89.140,3.670,11.091,15.742,17.483,4.884,6.804,0.363,30.051,2.844,1.790,0.906,1.361,2.932,85.606,75.142,9.323,22.551,9.183,3.332,6.787,4.992
2,AMNH3_8bit_trimmed.tif,0,2,62.584,62.929,46.276,1.800,62.929,46.276,1.262,6.068,13.636,497.745,3414.287,9.465,250.389,82.029,286.302,9.013,14.080,1.172,66.709,3.816,1.687,1.222,1.361,2.932,3385.412,526.620,250.175,94.882,13.532,5.550,10.951,11.863
3,AMNH3_8bit_trimmed.tif,0,3,123.776,62.159,42.194,1.800,62.159,42.194,1.262,7.815,11.679,1805.498,7165.011,18.729,613.492,231.044,669.930,0.382,0.636,0.644,1.334,4.325,2.508,1.439,1.361,2.932,7112.793,1857.717,591.299,270.300,12.029,6.873,0.577,0.426
4,AMNH3_8bit_trimmed.tif,0,4,151.735,62.521,41.369,1.800,62.521,41.369,1.183,10.049,12.630,2947.565,7893.738,21.667,624.982,293.314,728.765,15.075,24.868,1.312,163.929,4.332,2.552,1.432,1.361,2.932,7737.567,3103.736,597.554,369.479,12.949,8.400,15.216,22.730
5,AMNH3_8bit_trimmed.tif,0,5,138.548,62.764,40.582,1.800,62.764,40.582,1.060,12.522,13.429,3511.368,6819.432,17.574,507.804,280.416,642.516,15.544,25.359,2.438,115.398,4.753,2.179,1.408,1.361,2.932,6528.137,3802.663,478.820,388.014,13.634,9.800,16.871,21.436
6,AMNH3_8bit_trimmed.tif,0,6,121.138,63.303,39.922,1.800,63.303,39.922,0.827,15.646,13.627,3256.436,5646.619,10.926,414.382,208.126,521.053,16.316,25.726,2.475,126.656,4.677,2.054,1.478,1.361,2.932,5025.903,3877.151,359.458,345.601,13.982,11.219,18.141,21.052
7,AMNH3_8bit_trimmed.tif,0,7,114.990,64.006,40.412,1.800,64.006,40.412,0.815,15.998,12.836,3359.149,5848.129,10.158,455.600,209.969,545.222,17.368,26.055,2.516,147.012,4.551,1.906,1.370,1.361,2.932,5177.139,4030.138,394.412,324.798,13.126,12.408,19.205,20.862
8,AMNH3_8bit_trimmed.tif,0,8,109.910,64.662,40.663,1.800,64.662,40.663,0.882,15.976,12.636,3266.960,5480.493,10.924,433.721,204.487,525.680,2.278,3.329,1.456,13.021,3.850,2.033,1.206,1.361,2.932,5010.278,3737.176,403.589,278.954,12.414,13.397,2.451,3.208
9,AMNH3_8bit_trimmed.tif,0,9,109.699,65.225,40.743,1.800,65.225,40.743,0.852,14.887,13.067,2959.794,5359.626,10.353,410.167,198.820,533.542,0.360,0.540,0.785,1.079,3.543,1.907,1.059,1.361,2.932,4788.711,3530.709,382.482,250.103,12.520,14.117,0.453,0.400
10,AMNH3_8bit_trimmed.tif,0,10,102.952,65.577,41.123,1.800,65.577,41.123,0.920,14.982,12.558,2625.620,5121.399,10.860,407.820,175.246,486.213,17.802,25.655,2.611,139.387,3.307,1.773,0.941,1.361,2.932,4665.869,3081.151,376.164,214.118,12.404,14.390,20.142,21.444
11,AMNH3_8bit_trimmed.tif,0,11,108.098,65.336,42.099,1.800,65.336,42.099,1.176,13.158,11.841,3047.463,5542.571,15.356,468.079,231.610,548.938,0.660,1.937,1.976,4.374,3.218,1.661,0.854,1.361,2.932,5458.204,3131.830,457.293,226.206,11.936,13.845,0.712,1.901
