Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
AMNH1_bonejtrimmed.tif,10,1,4.651,56.946,51.552,1.8,56.946,51.552,-0.274,0.851,1.918,0.668,4.816,0.057,2.511,0.785,2.819,1.695,3.986,0.215,9.717,1.539,1.373,0.206,4.171,5.742,0.954,4.53,0.956,2.434,0.998,1.861,3.798,2.068
AMNH1_bonejtrimmed.tif,10,2,79.283,55.613,52.942,1.8,55.613,52.942,1.013,5.603,8.011,269.526,1436.687,9.513,179.341,48.101,212.867,9.182,15.629,2.274,51.526,5.355,4.072,1.195,4.171,5.742,1436.365,269.848,179.226,48.199,8.014,5.599,9.182,15.488
AMNH1_bonejtrimmed.tif,10,3,120.931,55.551,52.986,1.8,55.551,52.986,1.026,6.697,8.096,764.826,2167.645,14.751,267.735,114.201,335.677,11.545,16.666,1.74,54.322,7.229,6.104,1.769,4.171,5.742,2167.631,764.84,267.52,114.211,8.103,6.697,11.624,15.881
AMNH1_bonejtrimmed.tif,10,4,150.834,55.342,52.87,1.8,55.342,52.87,0.945,7.396,9.167,1358.906,2892.914,16.519,315.584,183.745,432.487,13.15,18.975,2.618,65.344,9.035,6.779,2.843,4.171,5.742,2881.991,1369.829,325.283,184.567,8.86,7.422,13.273,17.036
AMNH1_bonejtrimmed.tif,10,5,167.393,55.332,52.857,1.8,55.332,52.857,0.91,7.785,9.323,1838.074,3196.478,17.389,342.867,236.113,495.447,14.085,19.595,2.664,71.636,6.389,5.025,1.676,4.171,5.742,3177.092,1857.459,360.105,236.905,8.823,7.841,14.275,16.932
AMNH1_bonejtrimmed.tif,10,6,174.546,55.397,52.854,1.8,55.397,52.854,0.872,7.948,9.487,2121.217,3248.87,17.04,342.467,266.887,525.706,14.517,19.822,2.711,70.977,10.568,8.526,2.966,4.171,5.742,3220.903,2149.184,362.084,268.902,8.895,7.992,14.651,17.22
AMNH1_bonejtrimmed.tif,10,7,175.85,55.451,52.87,1.8,55.451,52.87,0.912,8.02,9.284,2244.37,3206.104,18.321,345.348,279.863,538.915,14.475,19.107,2.658,67.677,9.812,7.364,2.767,4.171,5.742,3192.812,2257.663,358.96,281.618,8.895,8.017,14.565,17.553
AMNH1_bonejtrimmed.tif,10,8,183.492,55.403,52.857,1.8,55.403,52.857,0.871,7.96,9.862,2398.967,3482.131,17.903,353.086,301.383,576.188,14.513,19.267,2.669,68.353,9.69,7.689,2.467,4.171,5.742,3455.154,2425.944,369.137,301.316,9.36,8.051,14.587,18.451
AMNH1_bonejtrimmed.tif,10,9,189.165,55.372,52.862,1.8,55.372,52.862,0.867,8.075,10.185,2477.732,3761.188,18.319,369.288,306.855,594.558,14.622,19.445,2.639,67.481,10.996,8.894,2.963,4.171,5.742,3727.425,2511.495,386.646,306.855,9.64,8.185,14.733,19.077
AMNH1_bonejtrimmed.tif,10,10,193.415,55.368,52.94,1.8,55.368,52.94,0.9,8.087,10.323,2507.836,4055.805,19.795,392.874,310.122,613.102,14.447,19.713,2.167,68.282,11.635,9.463,3.213,4.171,5.742,4030.094,2533.547,408.243,308.703,9.872,8.207,14.65,19.682
AMNH1_bonejtrimmed.tif,10,11,200.717,55.336,53.05,1.8,55.336,53.05,0.906,8.281,10.558,2593.213,4619.881,20.736,437.589,313.145,649.737,14.55,20.12,2.176,68.798,11.937,10.011,2.848,4.171,5.742,4589.23,2623.864,456.404,314.867,10.055,8.333,14.629,20.079
AMNH1_bonejtrimmed.tif,10,12,205.19,55.127,53.221,1.8,55.127,53.221,0.929,8.424,10.634,2522.796,5197.511,21.949,488.752,299.475,683.591,13.727,20.49,2.17,71.552,11.749,9.871,2.995,4.171,5.742,5170.566,2549.741,505.958,300.863,10.219,8.475,13.958,20.455
AMNH1_bonejtrimmed.tif,10,13,206.39,54.961,53.371,1.8,54.961,53.371,0.929,8.379,10.681,2489.364,5397.785,22.066,505.354,297.094,701.835,14.947,20.691,2.164,69.15,11.336,9.562,2.8,4.171,5.742,5368.284,2518.865,520.967,299.036,10.304,8.423,15.211,20.663
