Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
AMNH4_8bit_trimmed.tif,5,1,5.764,93.794,106.212,1.8,93.794,106.212,-0.83,1.057,5.665,1.649,90.04,0.523,15.895,1.56,16.146,NaN,NaN,NaN,NaN,1.928,1.604,0.365,5.393,0.681,89.724,1.965,15.909,1.461,5.64,1.345,NaN,NaN
AMNH4_8bit_trimmed.tif,5,2,104.755,96.712,102.833,1.8,96.712,102.833,-0.858,4.713,11.241,539.479,4298.032,9.997,382.357,114.477,425.756,9.173,21.441,1.095,115.324,5.07,2.42,1.655,5.393,0.681,4294.215,543.296,380.678,114.542,11.28,4.743,9.342,21.066
AMNH4_8bit_trimmed.tif,5,3,160.613,97.1,102.736,1.8,97.1,102.736,-0.864,6.468,10.91,1730.044,6258.327,15.491,573.628,267.469,670.502,12.601,22.724,1.263,94.484,4.067,2.197,1.376,5.393,0.681,6255.334,1733.037,578.171,267.547,10.819,6.478,12.745,21.358
AMNH4_8bit_trimmed.tif,5,4,149.938,96.916,102.489,1.8,96.916,102.489,-0.887,7.799,10.736,2475.42,6241.556,15.016,581.379,317.401,696.08,14.606,23.504,1.343,144.638,3.94,1.739,1.288,5.393,0.681,6241.519,2475.457,580.778,317.403,10.747,7.799,14.72,21.424
AMNH4_8bit_trimmed.tif,5,5,156.427,97.299,102.681,1.8,97.299,102.681,-0.878,8.522,10.717,3566.081,6432.513,15.426,600.191,418.441,786.118,16.452,24.407,0.262,229.46,4.141,1.669,1.331,5.393,0.681,6432.065,3566.529,598.388,418.386,10.749,8.524,16.487,21.539
AMNH4_8bit_trimmed.tif,5,6,175.169,97.288,102.582,1.8,97.288,102.582,-0.937,9.219,11.124,4460.033,7084.484,18.962,636.878,483.787,878.068,17.567,25.119,0.226,154.04,4.141,1.596,1.264,5.393,0.681,7078.669,4465.848,650.065,483.848,10.889,9.23,17.597,21.718
AMNH4_8bit_trimmed.tif,5,7,174.329,97.344,102.294,1.8,97.344,102.294,-1.008,9.742,11.615,4960.383,7155.283,20.783,616.046,509.149,914.368,18.317,25.376,0.21,222.238,3.755,1.43,1.067,5.393,0.681,7124.959,4990.707,648.546,506.991,10.986,9.844,18.336,21.608
AMNH4_8bit_trimmed.tif,5,8,172.815,97.136,102.241,1.8,97.136,102.241,-1.021,10.352,11.356,5360.584,7178.891,20.933,632.174,517.824,926.609,18.807,25.534,0.218,96.576,2.827,1.256,0.903,5.393,0.681,7148.043,5391.432,658.839,520.629,10.849,10.356,18.829,21.537
AMNH4_8bit_trimmed.tif,5,9,161.516,97.017,102.125,1.8,97.017,102.125,-0.977,10.676,11.523,5341.081,7166.9,18.501,621.961,500.277,922.667,19.019,25.831,0.265,256.501,2.522,1.235,0.804,5.393,0.681,7153.05,5354.931,640.464,498.101,11.169,10.751,19.025,22.186
AMNH4_8bit_trimmed.tif,5,10,146.54,96.829,102.052,1.8,96.829,102.052,-0.809,10.859,11.519,4975.657,7205.023,12.777,625.469,458.206,903.642,18.901,25.911,0.26,80.121,2.222,1.12,0.667,5.393,0.681,7190.224,4990.456,618.196,458.307,11.631,10.889,18.966,22.904
