Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
AMNH2_8bit_trimmed.tif,5,1,5.387,31.503,37.076,1.8,31.503,37.076,0.435,1.049,1.864,1.274,4.328,0.16,2.322,1.214,2.996,2.141,3.691,2.797,9.335,2.015,1.866,0.272,1.885,3.456,1.318,4.284,1.231,2.293,1.07,1.868,3.689,2.143
AMNH2_8bit_trimmed.tif,5,2,34.565,31.152,40.908,1.8,31.152,40.908,-1.324,4.225,13.729,136.28,927.443,5.418,67.555,32.253,77.006,4.245,12.663,1.3,43.609,1.992,0.853,0.546,1.885,3.456,923.834,139.889,66.942,31.134,13.801,4.493,5.088,12.651
AMNH2_8bit_trimmed.tif,5,3,72.486,32.292,38.192,1.8,32.292,38.192,-1.265,5.884,12.377,600.467,3289.018,10.984,265.733,102.057,309.967,10.157,23.371,1.468,94.263,2.203,0.907,0.61,1.885,3.456,3288.842,600.643,265.897,101.947,12.369,5.892,10.529,22.899
AMNH2_8bit_trimmed.tif,5,4,96.167,32.377,37.67,1.8,32.377,37.67,-1.31,6.514,12.152,1243.638,4378.002,14.964,360.276,190.91,447.972,7.3,22.488,1.327,124.416,2.817,0.968,0.763,1.885,3.456,4369.035,1252.605,356.775,191.389,12.246,6.545,7.328,22.452
AMNH2_8bit_trimmed.tif,5,5,113.906,32.74,37.16,1.8,32.74,37.16,-1.339,7.414,12.335,1945.255,5141.623,17.985,416.819,262.365,551.576,7.772,22.338,1.161,125.955,2.475,0.84,0.65,1.885,3.456,5119.834,1967.043,423.682,264.561,12.084,7.435,8.151,22.242
AMNH2_8bit_trimmed.tif,5,6,125.798,32.978,37.029,1.8,32.978,37.029,-1.354,8.188,12.779,2623.393,5789.327,19.999,453.022,320.391,629.262,14.965,26.167,1.731,246.543,2.878,0.889,0.76,1.885,3.456,5759.23,2653.49,466.383,323.156,12.349,8.211,15.019,23.854
AMNH2_8bit_trimmed.tif,5,7,133.914,33.215,36.738,1.8,33.215,36.738,-1.366,8.84,13.274,3244.8,6269.953,21.398,472.365,367.063,681.151,11.81,24.566,0.801,198.097,3.111,0.889,0.792,1.885,3.456,6233.776,3280.977,489.593,371.774,12.733,8.825,13.344,22.301
AMNH2_8bit_trimmed.tif,5,8,137.571,33.303,36.668,1.8,33.303,36.668,-1.348,9.29,13.32,3764.634,6553.051,21.812,491.977,405.234,724.003,8.099,22.175,1.222,152.698,2.938,0.846,0.743,1.885,3.456,6529.689,3787.996,510.004,408.117,12.803,9.282,8.401,22.162
AMNH2_8bit_trimmed.tif,5,9,141.22,33.313,36.524,1.8,33.313,36.524,-1.319,9.55,13.133,4149.022,6735.572,22.076,512.86,434.438,756.398,17.448,27.568,1.832,352.175,2.323,0.746,0.593,1.885,3.456,6725.536,4159.058,527.564,436.508,12.748,9.528,17.628,23.966
AMNH2_8bit_trimmed.tif,5,10,141.45,33.504,36.516,1.8,33.504,36.516,-1.269,9.944,12.673,4419.868,6974.643,21.489,550.333,444.476,793.618,17.971,27.651,1.855,108.842,2.077,0.745,0.571,1.885,3.456,6974.268,4420.243,553.87,444.964,12.592,9.934,18.175,23.574
AMNH2_8bit_trimmed.tif,5,11,140.435,33.704,36.653,1.8,33.704,36.653,-1.311,10.259,12.441,4485.116,7029.129,21.858,564.985,437.175,811.544,5.581,8.684,1.938,63.331,2.138,0.775,0.615,1.885,3.456,7021.712,4492.533,578.894,439.416,12.13,10.224,6.391,8.079
AMNH2_8bit_trimmed.tif,5,12,137.42,33.972,36.898,1.8,33.972,36.898,-1.276,10.645,12.342,4419.858,7138.737,20.97,578.414,415.215,812.721,18.582,27.232,0.613,314.483,1.992,0.802,0.602,1.885,3.456,7137.719,4420.876,580.72,415.632,12.291,10.637,18.829,23.271
AMNH2_8bit_trimmed.tif,5,13,134.786,34.434,37.264,1.8,34.434,37.264,-1.249,11.243,12.294,4106.716,7197.809,20.221,585.451,365.273,787.3,18.196,26.978,0.576,278.614,2.145,0.828,0.624,1.885,3.456,7197.64,4106.885,584.596,365.174,12.312,11.246,18.272,23.754
AMNH2_8bit_trimmed.tif,5,14,133.977,34.949,37.404,1.8,34.949,37.404,-1.241,11.715,12.45,3848.631,7091.166,19.982,569.58,328.509,754.546,1.581,4.65,1.279,15.525,2.031,0.856,0.632,1.885,3.456,7090.329,3849.468,568.211,328.381,12.478,11.723,1.918,4.648
AMNH2_8bit_trimmed.tif,5,15,128.614,35.106,37.529,1.8,35.106,37.529,-1.261,11.773,12.272,3606.69,6677.501,19.442,544.139,306.362,728.374,0.089,0.199,2.678,0.378,2.031,0.829,0.653,1.885,3.456,6677.447,3606.743,544.382,306.41,12.266,11.771,0.197,0.14
AMNH2_8bit_trimmed.tif,5,16,120.792,35.169,37.583,1.8,35.169,37.583,-1.267,11.596,12.247,3420.139,6197.869,18.335,506.073,294.95,690.702,0.355,2.056,1.263,4.583,2.031,0.756,0.613,1.885,3.456,6197.548,3420.46,505.977,295.045,12.249,11.593,0.383,2.056
AMNH2_8bit_trimmed.tif,5,17,106.695,35.596,37.999,1.8,35.596,37.999,-1.198,11.639,12.091,2861.534,5477.906,15.421,453.073,245.859,620.207,0.089,0.126,2.356,0.252,1.992,0.76,0.607,1.885,3.456,5468.842,2870.598,452.451,245.754,12.087,11.681,0.112,0.112
AMNH2_8bit_trimmed.tif,5,18,94.12,36.046,38.624,1.8,36.046,38.624,-1.21,12.097,12.362,2266.567,4780.45,13.733,386.718,187.364,525.555,0.828,3.024,1.333,8.015,2.031,0.743,0.592,1.885,3.456,4775.013,2272.004,384.881,187.722,12.406,12.103,0.944,3.016
