Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Miohippus,0.00769230769230769,0.11528,0.339529085646576,0.0005422,0.0020948,0.15259485058567,0.213936871838062
Miohippus,0.0153846153846154,0.48742,0.698154710648005,0.126533,0.0145713,0.596418287260625,0.347435806832812
Miohippus,0.0230769230769231,0.65879,0.811658795307486,0.1846313,0.0443887,0.655505487807273,0.459005729416752
Miohippus,0.0307692307692308,0.65943,0.81205295393835,0.1920118,0.0485171,0.661960354283746,0.469325021263586
Miohippus,0.0384615384615385,0.63235,0.795204376245503,0.1855592,0.0373639,0.656327532301444,0.439656046468936
Miohippus,0.0461538461538462,0.57971,0.761386892453502,0.1805663,0.0309825,0.651867268364372,0.419545545728317
Miohippus,0.0538461538461538,0.52297,0.723166647461012,0.1783843,0.02047,0.649888956527406,0.37825045635377
Miohippus,0.0615384615384615,0.48575,0.696957674468113,0.1822169,0.0162406,0.653351907612333,0.356985451626429
Miohippus,0.0692307692307692,0.50834,0.712979663104075,0.2143095,0.0210443,0.680393812935674,0.380876011922876
Miohippus,0.0769230769230769,0.46149,0.679330552823881,0.2063247,0.0180389,0.673965716978682,0.36648188515947
Miohippus,0.0846153846153846,0.41001,0.640320232383766,0.1741857,0.0160371,0.646030652347186,0.35586187224836
Miohippus,0.0923076923076923,0.39653,0.629706280737297,0.1469173,0.0150317,0.619110592625412,0.350148302216768
Miohippus,0.1,0.37317,0.610876419580917,0.137279,0.0158711,0.608696811375666,0.354937394557098
Miohippus,0.107692307692308,0.3344,0.578273291792038,0.1163843,0.0157759,0.584081700322181,0.35440393573313
Miohippus,0.115384615384615,0.32067,0.566277317221871,0.1060593,0.0161786,0.570672820835037,0.356644256497664
Miohippus,0.123076923076923,0.32015,0.565817991937337,0.1022995,0.0152093,0.565546576509561,0.351178004397234
Miohippus,0.130769230769231,0.32041,0.56604770117014,0.1007982,0.0149195,0.56346013397715,0.349493068819739
Miohippus,0.138461538461538,0.34544,0.587741439750508,0.1079334,0.0164751,0.573177276419468,0.358267171359639
Miohippus,0.146153846153846,0.35687,0.597385972383015,0.1102513,0.0167846,0.576230085913922,0.359938041276721
Miohippus,0.153846153846154,0.3276,0.572363520850167,0.1097071,0.0121979,0.575517698545152,0.332331315872312
Miohippus,0.161538461538462,0.31091,0.557593041563469,0.0915784,0.0143344,0.550108382684817,0.346014963056919
Miohippus,0.169230769230769,0.37599,0.613180234515106,0.1125085,0.017142,0.579157031760392,0.361838998495636
Miohippus,0.176923076923077,0.40321,0.634988188866533,0.1142973,0.0188159,0.581445472043308,0.370366117629531
Miohippus,0.184615384615385,0.39473,0.62827541731314,0.1103888,0.0181293,0.57640966340773,0.366940170913984
Miohippus,0.192307692307692,0.40706,0.638012539061733,0.1092755,0.0172075,0.574950823805999,0.36218415323097
Miohippus,0.2,0.42862,0.654690766698294,0.1128073,0.0165458,0.579541180604069,0.358650914544138
Miohippus,0.207692307692308,0.43556,0.659969696274003,0.1126413,0.0158072,0.579327858927693,0.354579592898332
Miohippus,0.215384615384615,0.46277,0.680272004421761,0.1127102,0.0155785,0.579416428877041,0.353290052803218
Miohippus,0.223076923076923,0.4905,0.700357051795725,0.1158052,0.0177036,0.58335377851694,0.364766878837878
Miohippus,0.230769230769231,0.54043,0.735139442554948,0.1196611,0.0188781,0.588150198199662,0.370671820121632
Miohippus,0.238461538461538,0.56893,0.754274485847162,0.125661,0.0192137,0.595388069426562,0.372308328414583
Miohippus,0.246153846153846,0.57676,0.759447167352674,0.1257812,0.0212101,0.595530396778395,0.381623999766852
Miohippus,0.253846153846154,0.56341,0.750606421501975,0.1260869,0.0217085,0.595891913349843,0.383846384223913
Miohippus,0.261538461538462,0.55404,0.744338632612872,0.1256833,0.0213752,0.595414482296248,0.382364484695039
Miohippus,0.269230769230769,0.54711,0.739668844821789,0.1253566,0.0199185,0.595027175840632,0.375676611030806
Miohippus,0.276923076923077,0.55301,0.743646421358968,0.1218898,0.0197961,0.590869865072687,0.37509813924581
Miohippus,0.284615384615385,0.55738,0.746578863885122,0.1261519,0.0220014,0.595968696681016,0.385134637582588
Miohippus,0.292307692307692,0.61874,0.786600279684669,0.1296978,0.0233401,0.600113162426082,0.390864005346457
Miohippus,0.3,0.68023,0.824760571317519,0.1324228,0.0249383,0.603240778344756,0.397389795973136
Miohippus,0.307692307692308,0.69242,0.832117780124905,0.1369675,0.0253416,0.60835121843817,0.398986781704589
Miohippus,0.315384615384615,0.72336,0.850505731903084,0.1407957,0.0289517,0.612558185785543,0.412494837396474
Miohippus,0.323076923076923,0.6724,0.82,0.1296439,0.0274453,0.600050803732273,0.407021167406642
Miohippus,0.330769230769231,0.74107,0.860854226916497,0.1404173,0.0301447,0.612146195230345,0.416680082552037
Miohippus,0.338461538461538,0.75943,0.871452809967356,0.152038,0.0306214,0.624436149432902,0.418317718945089
Miohippus,0.346153846153846,0.78331,0.88504802129602,0.1555273,0.0309837,0.627988452753736,0.419549608080796
Miohippus,0.353846153846154,0.79409,0.891117276232483,0.1561266,0.0322968,0.628592544232869,0.423925824522946
Miohippus,0.361538461538462,0.81245,0.90136008342948,0.158224,0.0330329,0.630693114811132,0.426320950642599
Miohippus,0.369230769230769,0.82798,0.909934063545266,0.1593073,0.0325111,0.631769883574241,0.424627303650978
Miohippus,0.376923076923077,0.83851,0.915701916564555,0.1589778,0.0323498,0.63144295280605,0.424099636289007
Miohippus,0.384615384615385,0.87085,0.933193441897231,0.1624932,0.0334679,0.63490507397936,0.427717594498012
Miohippus,0.392307692307692,0.85121,0.922610426995056,0.1593971,0.0328476,0.631858895419676,0.425721820718502
Miohippus,0.4,0.77021,0.877616089187066,0.1441729,0.0286885,0.616198885612473,0.411554126310788
Miohippus,0.407692307692308,0.66444,0.81513189116854,0.1394079,0.0243785,0.611043102747907,0.395140681945534
Miohippus,0.415384615384615,0.76739,0.876007990831134,0.1473084,0.0289955,0.619522206528643,0.412650761167035
Miohippus,0.423076923076923,0.88074,0.938477490406669,0.1525008,0.0336598,0.624910800105926,0.428329397961376
Miohippus,0.430769230769231,0.8543,0.924283506290143,0.1474245,0.0328541,0.619644238401597,0.425742879993116
Miohippus,0.438461538461538,0.8326,0.912469177561631,0.1434791,0.031983,0.615456214032209,0.422892321333702
Miohippus,0.446153846153846,0.84377,0.918569540100258,0.143332,0.0324704,0.615298406315269,0.424494345596143
Miohippus,0.453846153846154,0.84903,0.921428239202598,0.1445227,0.0328136,0.616572309698221,0.425611613552054
Miohippus,0.461538461538462,0.84762,0.920662804722772,0.1416578,0.0331065,0.613493722455459,0.426558221964213
Miohippus,0.469230769230769,0.8326,0.912469177561631,0.1396467,0.0341313,0.611304607754514,0.429821571339751
Miohippus,0.476923076923077,0.8507,0.92233399590387,0.1405041,0.0346349,0.612240773991609,0.431398354788467
Miohippus,0.484615384615385,0.84428,0.918847103712038,0.1398365,0.0345495,0.611512214746955,0.431132181551158
Miohippus,0.492307692307692,0.85609,0.925251317210627,0.1388546,0.0348616,0.610435901662434,0.432102549625529
Miohippus,0.5,0.87124,0.933402378398513,0.1433096,0.0367386,0.615274365117016,0.437804932944253
Miohippus,0.507692307692308,0.87727,0.936626926796363,0.1459385,0.0383905,0.618076838739443,0.442645386490156
