Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Neohipparion,0.00578034682080925,0.23509,0.484860804767719,0.0085606,0.0075142,0.304176775125426,0.29442229084722
Neohipparion,0.0115606936416185,0.62584,0.791100499304608,0.3385412,0.052662,0.762786296502875,0.479042822135874
Neohipparion,0.0173410404624277,1.23776,1.11254662823632,0.7112793,0.1857717,0.918353831896692,0.656515356114611
Neohipparion,0.023121387283237,1.51735,1.23180761484901,0.7737567,0.3103736,0.937888273034985,0.746399248368014
Neohipparion,0.0289017341040462,1.38548,1.17706414438636,0.6528137,0.3802663,0.898870887927083,0.785275340431709
Neohipparion,0.0346820809248555,1.21138,1.1006270939787,0.5025903,0.3877151,0.841983392820691,0.789092978303175
Neohipparion,0.0404624277456647,1.1499,1.07233390322231,0.5177139,0.4030138,0.848247242208696,0.796764506617714
Neohipparion,0.046242774566474,1.0991,1.04837970220717,0.5010278,0.3737176,0.841328219207835,0.781872408879474
Neohipparion,0.0520231213872832,1.09699,1.04737290398406,0.4788711,0.3530709,0.83186845717264,0.770842198101871
Neohipparion,0.0578034682080925,1.02952,1.01465264992509,0.4665869,0.3081151,0.826481497280523,0.745037693835836
Neohipparion,0.0635838150289017,1.08098,1.0397018803484,0.5458204,0.313183,0.859532773694798,0.748082585493283
Neohipparion,0.069364161849711,1.05897,1.0290626803067,0.5568795,0.2895659,0.863853918748604,0.733562047844117
Neohipparion,0.0751445086705202,1.00897,1.00447498724458,0.5798715,0.2057282,0.872635629303544,0.67347806676231
Neohipparion,0.0809248554913295,1.00897,1.00447498724458,0.6338144,0.1757812,0.892258153989921,0.647504969983032
Neohipparion,0.0867052023121387,1.10783,1.05253503504634,0.6902469,0.2206121,0.911488337465225,0.685341975619649
Neohipparion,0.092485549132948,1.17838,1.08553212757615,0.6775502,0.2726035,0.907267532440774,0.722574875742684
Neohipparion,0.0982658959537572,1.2219,1.10539585669569,0.6823129,0.2624647,0.908857709578205,0.71576049616277
Neohipparion,0.104046242774566,1.32513,1.15114291032869,0.6965468,0.2714842,0.91356105073,0.721832014449201
Neohipparion,0.109826589595376,1.31526,1.14684785390216,0.6642843,0.2590491,0.902793652811179,0.713420397159005
Neohipparion,0.115606936416185,1.28096,1.13179503444749,0.6332348,0.2457885,0.892054099670276,0.704109801294876
