Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Miohippus,0.00520833333333333,0.04651,0.21566177222679,9.54e-05,0.000453,0.0988296127568039,0.145889672882602
Miohippus,0.0104166666666667,0.79283,0.890410017913096,0.1436365,0.0269848,0.615624937180132,0.40530298372092
Miohippus,0.015625,1.20931,1.09968631891099,0.2167631,0.076484,0.682332941179589,0.52588725801755
Miohippus,0.0208333333333333,1.50834,1.22814494258618,0.2881991,0.1369829,0.732694877164867,0.6083683177752
Miohippus,0.0260416666666667,1.67393,1.29380446745248,0.3177092,0.1857459,0.750770929040583,0.656492560690986
Miohippus,0.03125,1.74546,1.32115858245708,0.3220903,0.2149184,0.753345869575914,0.680876585646255
Miohippus,0.0364583333333333,1.7585,1.32608446186508,0.3192812,0.2257663,0.751697899640879,0.689310317318982
Miohippus,0.0416666666666667,1.83492,1.35459218955374,0.3455154,0.2425944,0.766684798403365,0.701811035423108
Miohippus,0.046875,1.89165,1.37537267676801,0.3727425,0.2511495,0.781361895798019,0.707918202675162
Miohippus,0.0520833333333333,1.93415,1.39073721457362,0.4030094,0.2533547,0.796762331891822,0.709467068205568
Miohippus,0.0572916666666667,2.00717,1.4167462722732,0.458923,0.2623864,0.823066557514975,0.715707107728334
Miohippus,0.0625,2.0519,1.43244546143998,0.5170566,0.2549741,0.847977875979476,0.710598058993641
Miohippus,0.0677083333333333,2.0639,1.43662799638598,0.5368284,0.2518865,0.855970644571377,0.708436979894766
Miohippus,0.0729166666666667,1.96896,1.40319635119252,0.5151311,0.2117373,0.847187311405349,0.678342992098573
Miohippus,0.078125,1.90853,1.3814955664062,0.4799083,0.1937302,0.832318533430511,0.663436454890891
Miohippus,0.0833333333333333,1.88365,1.37246129271466,0.4568414,0.1876595,0.822131641803766,0.658176904393427
Miohippus,0.0885416666666667,1.87002,1.36748674582242,0.4437559,0.1854321,0.816180162813382,0.656215114451941
Miohippus,0.09375,1.84351,1.35775918336058,0.4285355,0.1800218,0.80908975350893,0.651375283135978
Miohippus,0.0989583333333333,1.801,1.34201341274966,0.4114308,0.1693238,0.800892450823167,0.641474654649118
Miohippus,0.104166666666667,1.75909,1.32630690264358,0.3960861,0.1592707,0.793318168281002,0.631733594009777
Miohippus,0.109375,1.7311,1.31571273460433,0.3834507,0.1540441,0.786914202595749,0.626485851386773
Miohippus,0.114583333333333,1.70473,1.3056530932832,0.3768769,0.1473115,0.783519626664267,0.619525465853441
Miohippus,0.119791666666667,1.66741,1.2912823084051,0.3650463,0.1395469,0.777296993186832,0.611195359636346
Miohippus,0.125,1.6252,1.27483332243866,0.3516729,0.1310426,0.770078016455647,0.601662751292764
Miohippus,0.130208333333333,1.58062,1.25722710756649,0.3370296,0.1224238,0.761933399257323,0.591515955764068
Miohippus,0.135416666666667,1.56092,1.24936784014957,0.3304217,0.119159,0.75817095051658,0.58753225296167
Miohippus,0.140625,1.54344,1.24235260695183,0.3245011,0.1162856,0.754751601688285,0.58395782793052
Miohippus,0.145833333333333,1.52123,1.23338153058978,0.3130531,0.1135335,0.74800500222227,0.580471640358248
Miohippus,0.151041666666667,1.52123,1.23338153058978,0.3104963,0.114811,0.746473005940993,0.582097688768697
Miohippus,0.15625,1.50271,1.22585072500692,0.3001624,0.1126313,0.74018294203953,0.579315000696595
Miohippus,0.161458333333333,1.46332,1.20967764301073,0.2860005,0.1078152,0.731293474439727,0.573020287492585
Miohippus,0.166666666666667,1.42659,1.19439943067635,0.2864831,0.0997816,0.731601777334906,0.562034035041528
Miohippus,0.171875,1.4251,1.19377552328736,0.2828294,0.1017403,0.729257892527684,0.564772125028127
Miohippus,0.177083333333333,1.4291,1.19544970617755,0.2762639,0.1033456,0.72498836127618,0.566986864672724
Miohippus,0.182291666666667,1.38289,1.17596343480569,0.2612338,0.1041979,0.714919827605047,0.568152263948128
Miohippus,0.1875,1.40304,1.18449989447024,0.2566814,0.1079458,0.711784620262912,0.573193738172841
Miohippus,0.192708333333333,1.40526,1.18543662842009,0.2497252,0.1090278,0.706912388095886,0.574624729354975
Miohippus,0.197916666666667,1.44673,1.20280089790455,0.2664557,0.1094396,0.718466054508758,0.575166554561434
Miohippus,0.203125,1.46465,1.21022725138711,0.2799571,0.1083281,0.727399287853906,0.573700570160207
Miohippus,0.208333333333333,1.4568,1.20697970156917,0.2773503,0.106919,0.725700061680234,0.57182576815199
Miohippus,0.213541666666667,1.45576,1.20654879718974,0.2740169,0.1078327,0.723509665297149,0.573043538492242
Miohippus,0.21875,1.45043,1.20433799242571,0.2706696,0.107718,0.721289932125404,0.572891093250947
Miohippus,0.223958333333333,1.45132,1.20470743336297,0.2693784,0.1081906,0.7204281801367,0.573518435045439
Miohippus,0.229166666666667,1.44614,1.20255561201967,0.2656475,0.1078908,0.717920629976766,0.573120711522111
Miohippus,0.234375,1.43769,1.19903711368748,0.2593673,0.1079459,0.71363937676378,0.573193870923152
Miohippus,0.239583333333333,1.40541,1.18549989455925,0.2457191,0.1045438,0.704060093522652,0.568623194011837
Miohippus,0.244791666666667,1.28381,1.13305339679999,0.2072822,0.0955616,0.674746285378914,0.555994957890826
Miohippus,0.25,1.15851,1.07634102402538,0.1542727,0.0878236,0.626718146937351,0.544380811744885
Miohippus,0.255208333333333,1.23197,1.10994143989672,0.2028607,0.1000802,0.671118916040027,0.562454040732512
Miohippus,0.260416666666667,1.28529,1.13370631117587,0.2250205,0.1073804,0.688740341079584,0.572441688879617
Miohippus,0.265625,1.28944,1.13553511614569,0.2278201,0.1065046,0.690872664630099,0.571270885969837
Miohippus,0.270833333333333,1.22057,1.1047940984636,0.215461,0.0958296,0.681305928104963,0.556384366915009
Miohippus,0.276041666666667,1.11926,1.05795084951996,0.1930389,0.0812044,0.662843815467112,0.533820060842026
Miohippus,0.28125,1.13377,1.06478636354905,0.1889503,0.0827032,0.659305800214833,0.536266389569855
Miohippus,0.286458333333333,1.19687,1.09401553919494,0.2075642,0.0903009,0.67497566042211,0.548179789420256
Miohippus,0.291666666666667,1.22456,1.1065983914682,0.1949796,0.0940889,0.664503532165745,0.553840356047714
Miohippus,0.296875,1.1942,1.09279458270985,0.1802762,0.0902772,0.651605286014453,0.548143817630727
Miohippus,0.302083333333333,1.24012,1.11360675285309,0.207294,0.0895195,0.674755888031967,0.546990031822995
Miohippus,0.307291666666667,1.25641,1.12089696225835,0.2167794,0.0885364,0.682345768216716,0.545482050991796
Miohippus,0.3125,1.31269,1.14572684353645,0.2202963,0.0998374,0.685096581924578,0.562112593925487
Miohippus,0.317708333333333,1.31698,1.14759749041203,0.2174636,0.1027468,0.682883537746569,0.566163772225588
Miohippus,0.322916666666667,1.32024,1.14901697115404,0.2150349,0.1041113,0.680968836941553,0.568034177767625
Miohippus,0.328125,1.23982,1.11347204724681,0.1830503,0.0979533,0.654097683760636,0.559441613685399
Miohippus,0.333333333333333,1.27522,1.12925639249906,0.1923805,0.1065928,0.662277898875764,0.571389121361309
Miohippus,0.338541666666667,1.31447,1.14650337984674,0.2058277,0.1098815,0.673559483550834,0.575746285637581
Miohippus,0.34375,1.33624,1.1559584767629,0.2180691,0.111127,0.683358393015038,0.577370908355007
Miohippus,0.348958333333333,1.34053,1.15781259278002,0.2169608,0.1127832,0.682488469391425,0.579510225024185
Miohippus,0.354166666666667,1.34409,1.15934895523307,0.2170919,0.1147524,0.682591545581865,0.582023398292634
Miohippus,0.359375,1.34409,1.15934895523307,0.2178269,0.1157466,0.683168569718709,0.583279967021136
Miohippus,0.364583333333333,1.35194,1.16272954722928,0.2200993,0.1173734,0.684943368605047,0.585318729558777
Miohippus,0.369791666666667,1.35046,1.16209293948462,0.2204832,0.118149,0.685241845183428,0.586283284949224
Miohippus,0.375,1.3469,1.16056020955399,0.2240197,0.1170226,0.687973251016294,0.584880895385236
Miohippus,0.380208333333333,1.31076,1.14488427362769,0.2251882,0.1109101,0.68886862882384,0.577088970761636
Miohippus,0.385416666666667,1.23863,1.11293755440276,0.219039,0.0987797,0.684116967606164,0.560617855405487
Miohippus,0.390625,1.12518,1.06074502119972,0.1871525,0.0928383,0.657731903868317,0.55199074331414
Miohippus,0.395833333333333,0.99781,0.998904399830134,0.167628,0.0939503,0.639862473988607,0.55363628119526
Miohippus,0.401041666666667,0.79401,0.891072387631892,0.1807086,0.0695184,0.651995660693731,0.51348166647792
Miohippus,0.40625,0.81001,0.900005555538409,0.1241235,0.100714,0.593558465366683,0.563342427976108
Miohippus,0.411458333333333,0.95945,0.979515186201827,0.1514375,0.1146201,0.623818654835213,0.581855569538694
Miohippus,0.416666666666667,1.16443,1.07908757753947,0.2141556,0.1223026,0.680271628876845,0.591369500653069
Miohippus,0.421875,1.2567,1.1210263154806,0.2270468,0.1259738,0.690285651873839,0.595758239555423
Miohippus,0.427083333333333,1.38497,1.1768474837463,0.2392019,0.1304199,0.699344487960755,0.600946715300773
Miohippus,0.432291666666667,1.39637,1.18168100602489,0.2429386,0.1307463,0.702059840566839,0.601322358107063
Miohippus,0.4375,1.39282,1.18017795268341,0.2425626,0.1316646,0.701788035419752,0.602375439283894
