Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Protohippus,0.00485436893203883,0.05387,0.232099116758337,0.0001318,0.0004284,0.107146713019359,0.143867390234175
Protohippus,0.00970873786407767,0.34565,0.587920062593547,0.0923834,0.0139889,0.55131332003644,0.34391086097958
Protohippus,0.0145631067961165,0.72486,0.851387103496406,0.3288842,0.0600643,0.757287437555676,0.495055745303476
Protohippus,0.0194174757281553,0.96167,0.980647745115442,0.4369035,0.1252605,0.8130109238802,0.594913104149034
Protohippus,0.0242718446601942,1.13906,1.06726753909224,0.5119834,0.1967043,0.845890154277302,0.665968156078289
Protohippus,0.029126213592233,1.25798,1.12159707560246,0.575923,0.265349,0.871146318674895,0.717718868556195
Protohippus,0.0339805825242718,1.33914,1.15721216723641,0.6233776,0.3280977,0.888562126373882,0.756834283037043
Protohippus,0.0388349514563107,1.37571,1.17290664590154,0.6529689,0.3787996,0.898924307580472,0.784517034347083
Protohippus,0.0436893203883495,1.4122,1.18836021474972,0.6725536,0.4159058,0.905590223659942,0.803061386370565
Protohippus,0.0485436893203883,1.4145,1.18932754109202,0.6974268,0.4420243,0.913849456738344,0.815382781654759
Protohippus,0.0533980582524272,1.40435,1.18505274144234,0.7021712,0.4492533,0.915399673432331,0.818696283648618
Protohippus,0.058252427184466,1.3742,1.17226276917763,0.7137719,0.4420876,0.919157344208493,0.815411971768606
Protohippus,0.0631067961165049,1.34786,1.16097372924627,0.719764,0.4106885,0.921080377433374,0.800530965298914
Protohippus,0.0679611650485437,1.33977,1.15748434114678,0.7090329,0.3849468,0.917627873102872,0.787680652953212
Protohippus,0.0728155339805825,1.28614,1.13408112584594,0.6677447,0.3606743,0.903967074712513,0.77495913039819
Protohippus,0.0776699029126214,1.20792,1.0990541387939,0.6197548,0.342046,0.887268318970091,0.764752893774399
Protohippus,0.0825242718446602,1.06695,1.03293271804121,0.5468842,0.2870598,0.859951273733929,0.731969684394977
Protohippus,0.087378640776699,0.9412,0.970154626850792,0.4775013,0.2272004,0.831272932736661,0.69040236898711
Protohippus,0.0922330097087379,0.82752,0.909681262860789,0.4120082,0.1911822,0.801173295215981,0.661244181737374
Protohippus,0.0970873786407767,0.76897,0.876909345371573,0.3857029,0.1819077,0.788067152576243,0.653074566314353
Protohippus,0.101941747572816,0.80213,0.89561710568747,0.4120742,0.1791143,0.801205378473879,0.650552821879056
Protohippus,0.106796116504854,0.84394,0.918662070622272,0.4328854,0.1722873,0.81113517421285,0.644263186480643
Protohippus,0.111650485436893,0.91209,0.95503403080728,0.4440903,0.1738013,0.816333881081388,0.645673935405986
Protohippus,0.116504854368932,0.93256,0.965691462114065,0.4451004,0.1681672,0.816797681157191,0.640376407303472
