Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Equus,0.00234741784037559,0.05363,0.231581519124476,9.6e-05,0.0007252,0.0989846400767953,0.164102217188982
Equus,0.00469483568075117,0.25987,0.509774459933018,0.0029605,0.0162756,0.233260534450851,0.357177630578208
Equus,0.00704225352112676,0.46008,0.678291972531004,0.0105283,0.0496577,0.320324061848053,0.472059400060428
Equus,0.00938967136150235,0.6356,0.79724525711979,0.0240196,0.0987324,0.393678269232926,0.560550731321567
Equus,0.0117370892018779,0.8319,0.912085522305885,0.0469488,0.1719086,0.46548546455887,0.643908859963003
Equus,0.0140845070422535,1.06217,1.03061632046072,0.0783029,0.2552275,0.528986345213122,0.710774546016553
Equus,0.0164319248826291,1.21389,1.10176676297663,0.1573174,0.3311912,0.629787722622353,0.758611980671426
Equus,0.0187793427230047,1.57867,1.25645135202283,1.0126312,0.4146234,1.00314295171089,0.802441631338502
Equus,0.0211267605633803,1.81866,1.34857702783341,1.5105617,0.5175927,1.10862487072157,0.848197592878996
Equus,0.0234741784037559,2.13998,1.46286704795754,1.6530408,0.6698062,1.13388991654067,0.904663963266915
Equus,0.0258215962441315,2.35069,1.53319600834336,1.7306519,0.845569,1.14697098291611,0.958930789294763
Equus,0.028169014084507,2.57682,1.60524764444618,1.8993673,1.0937026,1.1739571336671,1.02264479238279
Equus,0.0305164319248826,2.75123,1.65868321267203,2.0608737,1.342255,1.1981545580568,1.07636299290614
Equus,0.0328638497652582,2.91379,1.70698271813162,2.1885332,1.5499048,1.21629321707038,1.11577404790205
Equus,0.0352112676056338,3.04138,1.74395527465586,2.3032535,1.7692863,1.23192830835691,1.15331921757856
Equus,0.0375586854460094,3.19153,1.78648537637452,2.4213872,2.0215586,1.2474296443891,1.19239894674352
Equus,0.039906103286385,3.28996,1.81382468833126,2.463955,2.2330437,1.25287629706016,1.22243086141508
Equus,0.0422535211267606,3.39007,1.8412142732447,2.5402403,2.4563285,1.26246312107837,1.25190568560388
Equus,0.0446009389671361,3.37968,1.83839060049816,2.5324931,2.5878585,1.26149945634428,1.26833837152377
Equus,0.0469483568075117,3.38214,1.8390595422661,2.4972897,2.6994879,1.25709248886138,1.28180023328847
Equus,0.0492957746478873,3.41666,1.84842094772809,2.5190888,2.8379145,1.25982687686321,1.29792568458797
Equus,0.0516431924882629,3.32315,1.82295090444038,2.4165428,2.8040497,1.24680525155395,1.29403620319069
Equus,0.0539906103286385,3.28795,1.81327052587307,2.4026412,2.8567964,1.24500825206818,1.30007923717946
Equus,0.0563380281690141,3.26907,1.80805696812905,2.4343338,2.9072577,1.2490937413105,1.30578261556189
Equus,0.0586854460093897,3.22416,1.79559460903624,2.3684132,2.9787548,1.24055027179855,1.3137377782431
Equus,0.0610328638497653,3.19265,1.78679881352099,2.3715588,3.0050917,1.24096197496883,1.31663207906081
Equus,0.0633802816901408,3.12383,1.7674359960123,2.3196733,2.9897086,1.23411805467223,1.31494387106082
Equus,0.0657276995305164,3.13522,1.7706552459471,2.3434541,3.008615,1.23726894637089,1.31701782865661
Equus,0.068075117370892,3.13254,1.76989830216315,2.335394,2.9539065,1.23620370258865,1.31098941780957
Equus,0.0704225352112676,3.06461,1.75060275333955,2.2698162,2.9332494,1.22743265392642,1.30869139743707
Equus,0.0727699530516432,3.03478,1.74206199660058,2.2420345,2.9989008,1.22365946210308,1.31595344400547
Equus,0.0751173708920188,3.08595,1.75668722315613,2.2408475,3.0355056,1.22349746947526,1.3199508487449
Equus,0.0774647887323944,3.12483,1.7677188690513,2.3136898,3.063966,1.23332144475733,1.32303394024067
Equus,0.07981220657277,3.14159,1.7724531023415,2.3267067,3.0309578,1.2350524743944,1.31945618255252
Equus,0.0821596244131455,3.16651,1.77946902192761,2.3882119,2.9930853,1.24313477237848,1.31531500184723
Equus,0.0845070422535211,3.11925,1.7661398585616,2.329837,2.8599953,1.23546766808699,1.30044302564321
Equus,0.0868544600938967,3.11366,1.76455660152912,2.3205984,2.76165,1.2342410797455,1.28911647651828
Equus,0.0892018779342723,3.03881,1.74321828810967,2.2741488,2.6816337,1.22801796259206,1.27967552485345
Equus,0.0915492957746479,2.9673,1.72258526639467,2.2099231,2.5676613,1.21925428448619,1.26585637719304
Equus,0.0938967136150235,2.99367,1.7302225290407,2.281357,2.5318203,1.22898989736125,1.26141566328252
Equus,0.0962441314553991,2.97568,1.72501594195532,2.2847743,2.4507271,1.22944987251002,1.25119136449828
Equus,0.0985915492957746,2.87613,1.69591568186629,2.2120122,2.3501675,1.2195423308968,1.23815411123908
Equus,0.10093896713615,2.78731,1.66952388422568,2.1644859,2.2519502,1.2129382458693,1.22501017378039
Equus,0.103286384976526,2.68777,1.63944197823528,2.0794929,2.1718489,1.20085165369233,1.21396845519145
Equus,0.105633802816901,2.57146,1.60357725102347,2.0085522,2.0651349,1.1904763736443,1.19877342449127
Equus,0.107981220657277,2.48219,1.57549674706107,1.9413351,1.9737657,1.18038892669202,1.18528803224762
Equus,0.110328638497653,2.40264,1.55004516063243,1.9165037,1.9136888,1.1765961297708,1.17616385481344
Equus,0.112676056338028,2.30366,1.51778127541487,1.8723025,1.8492917,1.16975255994933,1.16614177941112
Equus,0.115023474178404,2.24131,1.49710053102656,1.8568256,1.7622507,1.16732766660375,1.15217095502485
Equus,0.117370892018779,2.1964,1.48202564080383,1.8464701,1.7291415,1.16569670766207,1.1467206506239
Equus,0.119718309859155,2.21327,1.48770628821686,1.837056,1.7425342,1.16420805245928,1.14893465103746
Equus,0.122065727699531,2.21819,1.48935892248981,1.8445361,1.7257227,1.16539134887615,1.14615341557481
Equus,0.124413145539906,2.25673,1.50224165832265,1.8607591,1.728736,1.16794539293245,1.14665341550728
Equus,0.126760563380282,2.33349,1.52757651199539,1.9422967,1.7614741,1.18053506983042,1.15204399751108
Equus,0.129107981220657,2.44208,1.56271558512738,2.0681358,1.8324283,1.19920867941427,1.1634741741052
Equus,0.131455399061033,2.48968,1.57787198466796,2.1627571,1.8667852,1.21269597633113,1.16888984947153
Equus,0.133802816901408,2.51102,1.58461982822379,2.2772563,1.8914024,1.22843725265335,1.17272446118232
Equus,0.136150234741784,2.68039,1.63718966524957,3.0461925,1.9228275,1.32111108358128,1.17756552126732
Equus,0.13849765258216,2.80698,1.67540442878727,3.5983465,1.9307714,1.37729111321693,1.17877987942782
Equus,0.140845070422535,2.94485,1.71605652587553,4.0933276,1.9535941,1.4223914266124,1.18224798844378
Equus,0.143192488262911,3.12372,1.76740487721405,4.5209395,2.0191642,1.45816669241917,1.19204571075104
Equus,0.145539906103286,3.28583,1.81268585254037,4.8786443,2.0856981,1.4861915535509,1.20174648734611
Equus,0.147887323943662,3.43733,1.85400377561644,5.2090748,2.140873,1.51074146178776,1.20961656679504
Equus,0.150234741784038,3.57743,1.89140952731025,5.3425876,2.1936705,1.52033016672893,1.21700636256492
Equus,0.152582159624413,3.6438,1.90887401365308,5.4013348,2.1953589,1.52449243789867,1.21724046799941
Equus,0.154929577464789,3.72279,1.92945329044266,5.4385435,2.2171386,1.527111162432,1.22024829850116
Equus,0.157276995305164,3.782,1.94473648600524,5.4136293,2.2430734,1.52535920952814,1.22380119040545
Equus,0.15962441314554,3.83753,1.95896145954942,5.3671838,2.2633607,1.52207697754191,1.22655899768622
Equus,0.161971830985915,3.93774,1.98437395669264,5.3965697,2.3095432,1.52415609680544,1.2327684826276
Equus,0.164319248826291,4.01405,2.00350942099108,5.3871584,2.3521149,1.5234911521519,1.23841052194642
Equus,0.166666666666667,4.09863,2.02450734747988,5.3892781,2.388639,1.52364099310551,1.24319034819003
Equus,0.169014084507042,4.1527,2.03781745993109,5.3608967,2.4105669,1.52163104271816,1.2460337255009
Equus,0.171361502347418,4.22331,2.05506934189579,5.3226565,2.4414964,1.51891023976786,1.25001153904022
Equus,0.173708920187793,4.27236,2.06696879512004,5.2602965,2.4626288,1.51444168834486,1.25270767587787
Equus,0.176056338028169,4.3061,2.07511445467473,5.2043029,2.4764947,1.5103953549784,1.25446731619379
Equus,0.178403755868545,4.35325,2.08644434385392,5.1847452,2.4628061,1.50897433951326,1.25273022282796
Equus,0.18075117370892,4.3966,2.09680709651603,5.147556,2.470414,1.50626113345068,1.25369656216228
Equus,0.183098591549296,4.44006,2.10714498789239,5.1521445,2.4789613,1.50659668929954,1.25477956338317
Equus,0.185446009389671,4.48743,2.11835549424548,5.1228513,2.4865277,1.50445061944288,1.2557359434252
