Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Hyracotherium,0.00649350649350649,0.02078,0.144152696818339,1.27e-05,9.54e-05,0.0596967832989441,0.0988296127568039
Hyracotherium,0.012987012987013,0.06889,0.262469045793976,0.0003202,0.0006082,0.1337689542336,0.157040476355443
Hyracotherium,0.0194805194805195,0.18493,0.430034882306075,0.0045604,0.0018886,0.259866761522088,0.208465886240365
Hyracotherium,0.025974025974026,0.25634,0.506300306142511,0.0082504,0.0035927,0.301382999725873,0.24482470421965
Hyracotherium,0.0324675324675325,0.31262,0.559124315336044,0.0117254,0.0054694,0.329065170066922,0.27194740660703
Hyracotherium,0.038961038961039,0.35223,0.593489679775479,0.0145537,0.0071302,0.347330846365072,0.290586495908403
Hyracotherium,0.0454545454545455,0.37649,0.613587809526884,0.015554,0.0087117,0.353151067732932,0.305510209390657
Hyracotherium,0.051948051948052,0.38565,0.621007246334534,0.0152781,0.0096854,0.351574475132163,0.313710742302969
Hyracotherium,0.0584415584415584,0.38721,0.622262002696613,0.0149666,0.0099976,0.349768575234076,0.316208790643008
Hyracotherium,0.0649350649350649,0.38955,0.624139407504445,0.0155188,0.009786,0.352951095360726,0.314522198606282
Hyracotherium,0.0714285714285714,0.39433,0.627957004897628,0.0169684,0.0094455,0.360919397192974,0.311749839162028
Hyracotherium,0.0779220779220779,0.39799,0.630864486240904,0.0184608,0.0088889,0.368606194474936,0.307052052726819
Hyracotherium,0.0844155844155844,0.40523,0.636576782485821,0.0205891,0.0085072,0.378799450858204,0.303701306862446
Hyracotherium,0.0909090909090909,0.40808,0.638811396266535,0.0226148,0.0080244,0.387791412740595,0.299297536574916
Hyracotherium,0.0974025974025974,0.40847,0.639116577785305,0.0243688,0.0075681,0.395101370291342,0.294948855621513
Hyracotherium,0.103896103896104,0.41196,0.641841101831287,0.0262201,0.0072498,0.402400568794322,0.291797459517888
Hyracotherium,0.11038961038961,0.41223,0.642051399811573,0.0268599,0.0071274,0.404833178072686,0.290557963678111
Hyracotherium,0.116883116883117,0.41553,0.644616164860919,0.0270951,0.0072372,0.405716517988398,0.291670592340568
Hyracotherium,0.123376623376623,0.41451,0.643824510251047,0.0261064,0.0073803,0.4019636183819,0.293101812409363
Hyracotherium,0.12987012987013,0.41319,0.642798568760074,0.0248148,0.0076641,0.396896889026238,0.295879782429743
Hyracotherium,0.136363636363636,0.40889,0.639445071917831,0.0234278,0.0078095,0.391230655212624,0.2972732336691
Hyracotherium,0.142857142857143,0.39262,0.626593967414306,0.0216178,0.0072972,0.383444818619384,0.292273245646996
Hyracotherium,0.149350649350649,0.3819,0.617980582219215,0.0198999,0.0070722,0.375588878104253,0.289993746978866
