Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Parahippus,0.00564971751412429,0.02187,0.147885090526395,3.36e-05,4.76e-05,0.0761350819167864,0.0830618764793099
Parahippus,0.0112994350282486,0.2117,0.460108682813094,0.0028232,0.0049538,0.230507686183985,0.265298391703667
Parahippus,0.0169491525423729,0.31457,0.560865402748289,0.0062972,0.0140651,0.281700016027001,0.344378243087746
Parahippus,0.0225988700564972,0.50555,0.711020393519061,0.0117701,0.1071834,0.329378341293843,0.572178957786587
Parahippus,0.0282485875706215,0.85501,0.92466750781024,0.0410227,0.1505551,0.450045123527938,0.622907941721769
Parahippus,0.0338983050847458,1.01922,1.00956426244197,0.0900874,0.1610632,0.547855483972916,0.633503590758447
Parahippus,0.0395480225988701,1.13614,1.06589868186428,0.171198,0.1773172,0.64324241189715,0.648914855036899
Parahippus,0.0451977401129944,1.17598,1.08442611550995,0.1983231,0.2024114,0.667334112616609,0.670747005051143
Parahippus,0.0508474576271186,1.21575,1.10261053867628,0.2053657,0.2169389,0.673181197785407,0.682471246161152
Parahippus,0.0564971751412429,1.29176,1.13655620186597,0.2206403,0.2371628,0.685363875730026,0.697849292079112
Parahippus,0.0621468926553672,1.34841,1.16121057521881,0.2370627,0.2399935,0.69777564459595,0.699922363178229
Parahippus,0.0677966101694915,1.3403,1.15771326329104,0.2381266,0.2256296,0.698557207253269,0.689205950410023
Parahippus,0.0734463276836158,1.34514,1.15980170718964,0.2401649,0.2079862,0.70004729841291,0.675318473416707
Parahippus,0.0790960451977401,1.4212,1.1921409312661,0.2768694,0.2083347,0.725385282583494,0.675601185384919
Parahippus,0.0847457627118644,1.38308,1.17604421685581,0.2723125,0.1413772,0.722381964138933,0.61318968985241
Parahippus,0.0903954802259887,1.50802,1.22801465789297,0.240264,0.2004133,0.700119502922182,0.669085525527186
Parahippus,0.096045197740113,1.37052,1.17069210298866,0.2763937,0.1774458,0.725073503520354,0.649032480066953
Parahippus,0.101694915254237,1.24682,1.11661094388332,0.2572769,0.1730612,0.712197096074582,0.64498546491611
Parahippus,0.107344632768362,1.20649,1.09840338673913,0.240337,0.1692848,0.700172676620241,0.641437714076294
Parahippus,0.112994350282486,1.19882,1.09490638869266,0.2381908,0.1683293,0.69860428603329,0.640530669719458
Parahippus,0.11864406779661,1.16511,1.07940261255937,0.2313066,0.1548426,0.693500863603624,0.627296137981543
Parahippus,0.124293785310734,1.15203,1.07332660453377,0.2230841,0.1414766,0.687253807233679,0.613297442360638
Parahippus,0.129943502824859,1.10127,1.04941412226061,0.2086203,0.1320008,0.675832606969794,0.602759606687273
Parahippus,0.135593220338983,1.0305,1.01513545894132,0.1929825,0.1234445,0.662795394542817,0.592745050485948
Parahippus,0.141242937853107,1.00358,1.00178840081127,0.1863161,0.1182776,0.656995804515633,0.586442755777359
Parahippus,0.146892655367232,0.98231,0.991115533124166,0.179212,0.1122774,0.650641516659364,0.578859395559958
Parahippus,0.152542372881356,0.98044,0.990171702281983,0.1761262,0.1105196,0.647822445611993,0.576580334948861
Parahippus,0.15819209039548,0.96707,0.983397173068949,0.1737027,0.1066657,0.645582340868913,0.571486791157665
Parahippus,0.163841807909605,0.94876,0.974043120195405,0.169791,0.1033719,0.641916688431733,0.567022933774094
Parahippus,0.169491525423729,0.96855,0.984149378905459,0.1669639,0.1007169,0.639227786711459,0.563346483210239
Parahippus,0.175141242937853,0.98326,0.991594675257991,0.1659095,0.0987991,0.638216185043135,0.560645379242581
Parahippus,0.180790960451977,0.97158,0.985687577277912,0.1624203,0.0958947,0.63483385197015,0.556478835113696
Parahippus,0.186440677966102,0.96819,0.98396646284312,0.1593834,0.0937,0.631845318093165,0.553267166295163
Parahippus,0.192090395480226,0.91686,0.957528067473743,0.1552285,0.0905266,0.627686611390223,0.548522001908411
Parahippus,0.19774011299435,0.89588,0.946509376604374,0.1526576,0.0891775,0.625071370174185,0.546466851967837
Parahippus,0.203389830508475,0.89031,0.943562398572559,0.150207,0.0884451,0.622547571145228,0.545341369357613
Parahippus,0.209039548022599,0.89242,0.944679839945788,0.1490052,0.088254,0.621298573082613,0.545046555732858
Parahippus,0.214689265536723,0.88803,0.94235343688024,0.1471746,0.0877409,0.619381480812676,0.544252611011956
Parahippus,0.220338983050847,0.89343,0.945214261424361,0.1453626,0.0878005,0.617466173271899,0.544345011466546
Parahippus,0.225988700564972,0.90135,0.9493945439068,0.1445245,0.0881331,0.616574229509043,0.544859793638316
Parahippus,0.231638418079096,0.89893,0.948119190819382,0.1438706,0.0874984,0.615875621720243,0.543876166649176
Parahippus,0.23728813559322,0.88914,0.942942203955258,0.142301,0.0877368,0.614188934887063,0.544246252874508
Parahippus,0.242937853107345,0.89099,0.943922666323889,0.1410538,0.0878998,0.612838721163967,0.54449885611969
Parahippus,0.248587570621469,0.89523,0.94616594738978,0.1404869,0.0882995,0.612222036060183,0.545116792847089
Parahippus,0.254237288135593,0.9001,0.948736001214247,0.1400422,0.0890686,0.611736974974154,0.546299944644154
Parahippus,0.259887005649718,0.90075,0.949078500441349,0.1384418,0.0893343,0.609981704694141,0.546706905687715
Parahippus,0.265536723163842,0.90905,0.953441136095984,0.1382407,0.0902738,0.609760069687118,0.548138656539937
Parahippus,0.271186440677966,0.91155,0.954751276511323,0.136889,0.0906953,0.608264033817982,0.548777371781577
Parahippus,0.27683615819209,0.91527,0.956697444336505,0.1361988,0.0911436,0.607495856741339,0.549454259641532
Parahippus,0.282485875706215,0.92152,0.95995833242907,0.1361315,0.0922429,0.607420797252573,0.551103586099098
Parahippus,0.288135593220339,0.92748,0.963057630674302,0.1359177,0.0932151,0.607182161959031,0.552549979906908
Parahippus,0.293785310734463,0.93148,0.965132115308573,0.1354602,0.0934703,0.606670570817614,0.552927778718103
Parahippus,0.299435028248588,0.93676,0.967863626757406,0.1354166,0.093944,0.60662174830352,0.553626999702058
Parahippus,0.305084745762712,0.93815,0.96858143694787,0.1349891,0.0938507,0.606142415688621,0.553489490527803
Parahippus,0.310734463276836,0.94055,0.969819570848104,0.1343542,0.0943251,0.605428431280595,0.554187618374414
Parahippus,0.31638418079096,0.94355,0.971365018929548,0.1337446,0.0946074,0.604740513076199,0.554601802635901
Parahippus,0.322033898305085,0.94826,0.973786424222478,0.1337211,0.0948631,0.604713946884835,0.554976160711047
Parahippus,0.327683615819209,0.95319,0.976314498509574,0.1337742,0.0950809,0.604773970191028,0.555294434827452
Parahippus,0.333333333333333,0.95785,0.978698114844409,0.1337606,0.0956733,0.604758598692675,0.556157359506716
Parahippus,0.338983050847458,0.96385,0.981758626139847,0.1338718,0.0961189,0.604884248924029,0.556803809588529
Parahippus,0.344632768361582,0.96942,0.984591285762778,0.1340836,0.0965896,0.605123355563294,0.557484236711957
Parahippus,0.350282485875706,0.97214,0.985971602025129,0.1340048,0.0965789,0.605034429265085,0.557468796827257
Parahippus,0.355932203389831,0.97456,0.987198055103433,0.134075,0.0966363,0.605113652314665,0.557551608858934
Parahippus,0.361581920903955,0.97947,0.989681767034232,0.1345464,0.0972802,0.605644838681367,0.558478056553664
Parahippus,0.367231638418079,0.97964,0.989767649501639,0.1342828,0.0971783,0.605347979371859,0.558331749078085
Parahippus,0.372881355932203,0.98537,0.992658047869456,0.1345851,0.0984931,0.605688384862374,0.56021076723225
Parahippus,0.378531073446328,0.99483,0.997411650222715,0.1353417,0.100615,0.606537849069392,0.563203938117878
Parahippus,0.384180790960452,0.99334,0.996664437009769,0.1340868,0.1003725,0.605126965955258,0.562864275618895
Parahippus,0.389830508474576,1.00035,1.00017498469018,0.1357556,0.1011254,0.607001044492148,0.563916838949009
Parahippus,0.395480225988701,0.99791,0.998954453416171,0.1359438,0.1005472,0.607211308849708,0.563109034574544
Parahippus,0.401129943502825,1.00128,1.00063979533097,0.1366577,0.1014304,0.608006926406381,0.564341560254913
Parahippus,0.406779661016949,0.99295,0.99646876519036,0.1364939,0.099346,0.607824652867561,0.561419633585027
Parahippus,0.412429378531073,0.99919,0.999594917954268,0.1370049,0.1006677,0.608392742898681,0.563277672201999
Parahippus,0.418079096045198,0.9973,0.998649087517733,0.1366529,0.1000515,0.608001587388368,0.562413712657637
Parahippus,0.423728813559322,0.99513,0.997562028146621,0.1366011,0.0999025,0.607943961534637,0.562204204347337
Parahippus,0.429378531073446,1.001,1.00049987506246,0.1378065,0.1011472,0.609280706090896,0.563947227934897
Parahippus,0.435028248587571,0.99859,0.999294751312144,0.1373802,0.1008048,0.608808960895308,0.563469357221155
Parahippus,0.440677966101695,0.99557,0.997782541438765,0.137288,0.1003575,0.608706787658681,0.562843245363273
Parahippus,0.446327683615819,0.9912,0.995590277172291,0.1372676,0.0990441,0.6086841740463,0.560992625752589
Parahippus,0.451977401129944,0.99243,0.99620780964616,0.1372431,0.09949,0.608657012209678,0.561622964672776
Parahippus,0.457627118644068,0.98884,0.994404344318748,0.1370869,0.0987708,0.608483756088156,0.56060522713393
Parahippus,0.463276836158192,0.98858,0.994273604195545,0.1377981,0.0985491,0.609271421197,0.560290379703351
Parahippus,0.468926553672316,0.99234,0.996162637323846,0.1388089,0.0999325,0.610385668604944,0.562246406061939
Parahippus,0.474576271186441,0.99078,0.995379324679793,0.1390993,0.0997509,0.610704663108642,0.561990799525163
Parahippus,0.480225988700565,0.98573,0.992839362636273,0.1389919,0.0985529,0.610586746123615,0.560295780748761
Parahippus,0.485875706214689,0.98536,0.992653010875401,0.1393919,0.0988956,0.611025569468851,0.560782228854937
Parahippus,0.491525423728814,0.98718,0.993569323197934,0.1389783,0.1000405,0.610571809489788,0.562398253604251
Parahippus,0.497175141242938,0.98189,0.990903628008294,0.1386219,0.0993283,0.610179990458672,0.561394625553746
Parahippus,0.502824858757062,0.9794,0.98964640149904,0.1388108,0.0986141,0.610387757316146,0.560382744500061
