Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Hyracotherium,0.00952380952380952,0.05767,0.240145789053233,0.0003391,0.0003324,0.135700656102014,0.135025331994131
Hyracotherium,0.019047619047619,0.2183,0.467225855448947,0.0051844,0.003244,0.268333333233492,0.238654820742412
Hyracotherium,0.0285714285714286,0.28863,0.537242961796616,0.0079167,0.0060976,0.298288181826277,0.279440746531214
Hyracotherium,0.0380952380952381,0.31775,0.563693178954651,0.0091336,0.0078095,0.309143768704636,0.2972732336691
Hyracotherium,0.0476190476190476,0.34082,0.583797910239494,0.0115501,0.008007,0.327828295822861,0.29913515629794
Hyracotherium,0.0571428571428571,0.34251,0.585243539050197,0.0162679,0.0060394,0.357135377822197,0.278771549261107
Hyracotherium,0.0666666666666667,0.36346,0.602876438418354,0.021733,0.0056351,0.383954639733948,0.273984129349226
Hyracotherium,0.0761904761904762,0.36839,0.606951398383759,0.0218294,0.0057257,0.384379705525949,0.275078816597938
Hyracotherium,0.0857142857142857,0.34968,0.591337467103176,0.0197395,0.0050434,0.37482973592753,0.266489961156619
Hyracotherium,0.0952380952380952,0.32197,0.567424003722084,0.0171632,0.0042252,0.361950820799546,0.254953992797391
Hyracotherium,0.104761904761905,0.29946,0.547229385175906,0.0151022,0.0036,0.350558138718046,0.244948974278318
Hyracotherium,0.114285714285714,0.27682,0.526136864323343,0.0131805,0.0029961,0.338830870359999,0.233958633536172
Hyracotherium,0.123809523809524,0.25136,0.501358155413872,0.0109473,0.0024008,0.323464597425872,0.221354826333587
Hyracotherium,0.133333333333333,0.22829,0.477797028035964,0.0091501,0.0019486,0.309283292557956,0.210102236082652
Hyracotherium,0.142857142857143,0.21029,0.458573876272951,0.0081684,0.0015586,0.300631337600002,0.19869350366646
Hyracotherium,0.152380952380952,0.20691,0.454873608818977,0.0075169,0.0015961,0.29444873521567,0.199878013439968
Hyracotherium,0.161904761904762,0.20199,0.44943297609321,0.0070511,0.0015455,0.289777204534651,0.198274677588205
Hyracotherium,0.171428571428571,0.19777,0.444713390848533,0.0065255,0.0015299,0.284219223435068,0.197772435226315
Hyracotherium,0.180952380952381,0.19158,0.437698526385456,0.0061159,0.001488,0.279650174029972,0.196404182857626
Hyracotherium,0.19047619047619,0.19524,0.441859706241698,0.0059478,0.0016145,0.277708446580852,0.200451593173337
Hyracotherium,0.2,0.19467,0.441214233677927,0.0055066,0.0017252,0.272408642889181,0.203802666719224
Hyracotherium,0.20952380952381,0.19439,0.440896813324841,0.0054463,0.0017276,0.271659808371462,0.203873509438938
Hyracotherium,0.219047619047619,0.18989,0.43576369743245,0.0051748,0.0016653,0.268209028073564,0.202010117156896
Hyracotherium,0.228571428571429,0.18708,0.432527455775931,0.0050745,0.0016145,0.266899840474667,0.200451593173337
