Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Mesohippus,0.00584795321637427,NA,NA,NA,NA,NA,NA
Mesohippus,0.0116959064327485,0.1228,0.350428309358705,0.0051673,0.0008208,0.268111794271226,0.169261948846018
Mesohippus,0.0175438596491228,0.32436,0.569526118804046,0.0215932,0.0054381,0.383335686671844,0.271557497203741
Mesohippus,0.0233918128654971,0.5068,0.711898869222307,0.0482589,0.015013,0.468699353659092,0.350039351963327
Mesohippus,0.0292397660818713,0.60343,0.776807569479083,0.0584636,0.025708,0.491723980502401,0.400421209218295
Mesohippus,0.0350877192982456,0.66659,0.816449631024474,0.0653202,0.0336768,0.50554739449601,0.428383470037506
Mesohippus,0.0409356725146199,0.67235,0.819969511628329,0.0701084,0.0374758,0.514567690982783,0.43998485552917
Mesohippus,0.0467836257309941,0.59372,0.770532283554687,0.0672252,0.0332175,0.509193704728992,0.426915316099243
Mesohippus,0.0526315789473684,0.49737,0.70524463840571,0.063066,0.027337,0.501128175910423,0.406619042348296
Mesohippus,0.0584795321637427,0.40341,0.635145652586869,0.05452,0.0170984,0.483213391746483,0.361608697918351
Mesohippus,0.064327485380117,0.27851,0.527740466517397,0.044751,0.0097945,0.459939476015218,0.314590473906087
Mesohippus,0.0701754385964912,0.22126,0.47038282281563,0.039186,0.0060235,0.444920824682194,0.278587886546487
Mesohippus,0.0760233918128655,0.19495,0.441531425835127,0.0337187,0.004212,0.428516654447268,0.254754632849634
Mesohippus,0.0818713450292398,0.20635,0.454257636149355,0.0342441,0.0038498,0.430176259713958,0.249091863703123
Mesohippus,0.087719298245614,0.19481,0.441372858250255,0.0383758,0.0045453,0.44260300737478,0.259651381850387
Mesohippus,0.0935672514619883,0.1958,0.442492937796752,0.0369595,0.005336,0.438461557101135,0.270273804633373
Mesohippus,0.0994152046783626,0.23926,0.489142106140945,0.041489,0.0065628,0.451318609905676,0.284624507639691
Mesohippus,0.105263157894737,0.25009,0.500089991901458,0.0380503,0.009262,0.441661477840008,0.310224572073001
Mesohippus,0.111111111111111,0.26697,0.516691397257589,0.0357942,0.011945,0.43496385101196,0.330595196100889
Mesohippus,0.116959064327485,0.27935,0.528535713079069,0.0371018,0.0126716,0.438882985946246,0.335511850087453
Mesohippus,0.12280701754386,0.27232,0.521842888233614,0.0371879,0.012713,0.439137387249068,0.335785556741718
Mesohippus,0.128654970760234,0.25881,0.508733722098309,0.0360336,0.011463,0.435689319049721,0.327208497098819
Mesohippus,0.134502923976608,0.22295,0.472175814713121,0.0233173,0.0097282,0.39076851554845,0.314056743163038
Mesohippus,0.140350877192982,0.23082,0.480437300800011,0.0291329,0.009544,0.413138748436289,0.312559431044015
Mesohippus,0.146198830409357,0.24123,0.491151707723795,0.0333038,0.0094258,0.427192330862562,0.31158716166898
Mesohippus,0.152046783625731,0.21746,0.466326066181165,0.0275503,0.0076978,0.407409904687365,0.296204502523136
Mesohippus,0.157894736842105,0.21887,0.467835441154259,0.0243394,0.0083633,0.394982147767848,0.302408795868549
Mesohippus,0.16374269005848,0.22154,0.470680358629931,0.0178939,0.0089657,0.36574319254055,0.307713146230317
Mesohippus,0.169590643274854,0.21141,0.459793431880013,0.0119261,0.0090933,0.330464347210221,0.308802195803949
Mesohippus,0.175438596491228,0.24784,0.497835314135106,0.0127101,0.0116014,0.335766405844508,0.328191705080182
Mesohippus,0.181286549707602,0.2816,0.530659966456864,0.0187498,0.0137153,0.370040415465123,0.342216801502104
Mesohippus,0.187134502923977,0.35531,0.59607885384402,0.0297202,0.0158701,0.415205341462128,0.354931803486201
Mesohippus,0.192982456140351,0.42029,0.648297771089798,0.0381424,0.0171101,0.441928493819058,0.361670541958691
Mesohippus,0.198830409356725,0.42887,0.654881668700537,0.0392461,0.0172787,0.445091321646476,0.362558228414008
Mesohippus,0.204678362573099,0.41073,0.640882204465064,0.0370348,0.0171005,0.438684713261588,0.361619800467324
Mesohippus,0.210526315789474,0.43225,0.65745722294306,0.0372457,0.0176586,0.439307922291237,0.364534861352283
Mesohippus,0.216374269005848,0.43844,0.662148019705564,0.0346799,0.0181021,0.431538412033174,0.366802460232902
Mesohippus,0.222222222222222,0.46122,0.679131798695953,0.0386734,0.0178577,0.443458607322271,0.365558074151891
Mesohippus,0.228070175438596,0.48401,0.695708272194603,0.0403556,0.0184155,0.448204231273475,0.368379860189636
Mesohippus,0.233918128654971,0.48359,0.695406356025022,0.0405835,0.0180253,0.448835681037916,0.366412790544641
Mesohippus,0.239766081871345,0.47895,0.692062135938674,0.0409327,0.0172674,0.449798080871455,0.362498937016112
Mesohippus,0.245614035087719,0.48218,0.69439182022832,0.0407809,0.0167458,0.449380477643878,0.359729848667819
Mesohippus,0.251461988304094,0.42128,0.649060860012372,0.0328056,0.0156945,0.425585670008471,0.353945887883463
Mesohippus,0.257309941520468,0.33941,0.582589048987363,0.0225888,0.0122983,0.387679904717239,0.33301306371877
Mesohippus,0.263157894736842,0.33477,0.578593121286453,0.02679,0.0095133,0.404569536948505,0.31230777631298
Mesohippus,0.269005847953216,0.38611,0.62137750200663,0.0320697,0.0104888,0.423178626177792,0.320023190838245
Mesohippus,0.274853801169591,0.45236,0.672577133123034,0.0236049,0.0163648,0.391967935259042,0.357666014620427
Mesohippus,0.280701754385965,0.51228,0.715737382005439,0.0277926,0.0183291,0.408302739891691,0.367947015962053
Mesohippus,0.286549707602339,0.56081,0.748872485807831,0.0353838,0.0194769,0.43371167989983,0.373576852414544
Mesohippus,0.292397660818713,0.57544,0.75857761633204,0.0396294,0.0197684,0.446174118472891,0.374966854865118
Mesohippus,0.298245614035088,0.58571,0.765316927814876,0.0410378,0.0198674,0.450086531964828,0.375435433595669
Mesohippus,0.304093567251462,0.585,0.764852927038918,0.040481,0.0195228,0.44855201098386,0.373796754512555
Mesohippus,0.309941520467836,0.58599,0.765499836708017,0.0405709,0.0198023,0.448800839364999,0.375127505325196
Mesohippus,0.315789473684211,0.58725,0.766322386466688,0.0407927,0.0200059,0.449412981305862,0.376088040688855
Mesohippus,0.321637426900585,0.58261,0.763288936117903,0.0405501,0.0196784,0.448743305192003,0.374539344473453
Mesohippus,0.327485380116959,0.58782,0.766694202404061,0.0401318,0.0198625,0.447581533377585,0.375412282556863
Mesohippus,0.333333333333333,0.5895,0.767789033524184,0.0402917,0.0199962,0.448026701561247,0.376042445171077
Mesohippus,0.339181286549708,0.58768,0.766602895898522,0.0401152,0.0200437,0.447535242118497,0.376265564148389
Mesohippus,0.345029239766082,0.58613,0.765591274767418,0.0397598,0.0199037,0.446540698909313,0.375606807032865
Mesohippus,0.350877192982456,0.57558,0.758669888686773,0.039884,0.0196694,0.446889012445578,0.374496512835941
