Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Archaeohippus,0.00684931506849315,0.00464,0.0681175454637056,2.3e-06,1.5e-06,0.038943229049609,0.0349963551158058
Archaeohippus,0.0136986301369863,0.40383,0.635476199396956,0.0425765,0.0051119,0.454247440957245,0.267390262361327
Archaeohippus,0.0205479452054795,0.64436,0.802720374725844,0.0737094,0.0191247,0.521051582216657,0.371876434051488
Archaeohippus,0.0273972602739726,0.75028,0.866187046774541,0.0832862,0.0339276,0.537208977698591,0.429178823402879
Archaeohippus,0.0342465753424658,0.79796,0.893286068401383,0.0854214,0.0461021,0.540619456065716,0.463372415900744
Archaeohippus,0.0410958904109589,0.81189,0.901049388213543,0.0827169,0.0539041,0.536288596670659,0.481842884280819
Archaeohippus,0.0479452054794521,0.80598,0.897763888781455,0.0790581,0.0581567,0.530257223163285,0.491077389828813
Archaeohippus,0.0547945205479452,0.80542,0.897451948574407,0.0800195,0.0587768,0.531861995098215,0.492381225014018
Archaeohippus,0.0616438356164384,0.71554,0.845895974691924,0.077026,0.052553,0.526816460737699,0.478794748357896
Archaeohippus,0.0684931506849315,0.63325,0.795770067293311,0.0759689,0.0463812,0.524999584277662,0.464072138206705
Archaeohippus,0.0753424657534247,0.66588,0.816014705749841,0.0877812,0.0388566,0.544315094994422,0.443982854579784
Archaeohippus,0.0821917808219178,0.63409,0.796297683030662,0.0872697,0.0376772,0.543520427051876,0.440574802414597
Archaeohippus,0.089041095890411,0.57699,0.759598578197721,0.0771149,0.0361856,0.526968402052496,0.436148059471183
Archaeohippus,0.0958904109589041,0.48767,0.698333731105694,0.0707587,0.0315065,0.5157567984424,0.421308324418062
Archaeohippus,0.102739726027397,0.44561,0.667540260958094,0.0651624,0.0285881,0.505241793199902,0.411193577898264
Archaeohippus,0.10958904109589,0.4428,0.665432190384565,0.0618033,0.0282946,0.498600737141362,0.41013410954571
Archaeohippus,0.116438356164384,0.44139,0.664371883812071,0.0582756,0.0269394,0.491328196654537,0.405132402726232
Archaeohippus,0.123287671232877,0.4255,0.652303610292017,0.0534516,0.0257443,0.480828473290633,0.400562484305111
Archaeohippus,0.13013698630137,0.40749,0.638349434087632,0.0503071,0.0235643,0.473595231214573,0.391799282004439
Archaeohippus,0.136986301369863,0.38738,0.622398586116646,0.0474368,0.0211597,0.466690377201648,0.381397091214121
Archaeohippus,0.143835616438356,0.37739,0.614320763119724,0.0448671,0.0197685,0.460237497850921,0.374967329064021
Archaeohippus,0.150684931506849,0.37922,0.615808411764568,0.0428984,0.0190001,0.455103602819917,0.371269242273784
Archaeohippus,0.157534246575342,0.384,0.619677335393187,0.041956,0.0187423,0.452583294191483,0.370003405476842
Archaeohippus,0.164383561643836,0.38062,0.616944081744853,0.0402196,0.0182335,0.447826136529339,0.367466294796757
Archaeohippus,0.171232876712329,0.38724,0.622286107831438,0.0393308,0.0181546,0.445331273913709,0.367068123068103
Archaeohippus,0.178082191780822,0.38921,0.623866972999853,0.0379924,0.0181926,0.441493366125373,0.367260053122044
Archaeohippus,0.184931506849315,0.39427,0.627909229108794,0.0373643,0.0181871,0.439657223150924,0.367232292393333
Archaeohippus,0.191780821917808,0.39975,0.632257858788643,0.0371189,0.0181205,0.438933546850953,0.366895634425466
Archaeohippus,0.198630136986301,0.40229,0.63426335224416,0.0369472,0.0179824,0.438425072906731,0.366194581174228
Archaeohippus,0.205479452054795,0.40566,0.636914436953662,0.0368669,0.0179243,0.438186663346585,0.365898434222575
Archaeohippus,0.212328767123288,0.40848,0.639124401036293,0.0363203,0.0177233,0.43655338169638,0.364868311750747
Archaeohippus,0.219178082191781,0.41298,0.642635199782894,0.0363569,0.0176103,0.436663318973055,0.364285335310003
Archaeohippus,0.226027397260274,0.41424,0.643614791626171,0.0362745,0.0174884,0.436415692810311,0.363653288733093
Archaeohippus,0.232876712328767,0.41523,0.644383426230067,0.0361394,0.0172976,0.436008779654019,0.362657332246519
Archaeohippus,0.23972602739726,0.41931,0.647541504461297,0.0360227,0.0172536,0.435656366802507,0.362426488568989
Archaeohippus,0.246575342465753,0.42381,0.651006912405698,0.0358907,0.0172455,0.435256717195731,0.362383944237347
Archaeohippus,0.253424657534247,0.42648,0.653054362208844,0.0357305,0.0172634,0.434770204365907,0.362477941936879
Archaeohippus,0.26027397260274,0.42775,0.654025993367236,0.0353972,0.0172229,0.433752736197798,0.362265161004164
Archaeohippus,0.267123287671233,0.42915,0.655095412897999,0.0353509,0.0170643,0.433610828010873,0.36142827037387
Archaeohippus,0.273972602739726,0.43211,0.657350743515211,0.0352117,0.0169881,0.433183342716606,0.361024106810608
Archaeohippus,0.280821917808219,0.43408,0.658847478556304,0.0349672,0.0169526,0.432429401294407,0.360835350984177
Archaeohippus,0.287671232876712,0.43661,0.660764708500689,0.0352811,0.016975,0.433396629280171,0.360954487723804
Archaeohippus,0.294520547945205,0.44083,0.663950299344763,0.035611,0.0169386,0.434406227316586,0.360760830554978
Archaeohippus,0.301369863013699,0.44223,0.66500375938787,0.0358689,0.0169157,0.4351906084373,0.360638836785027
Archaeohippus,0.308219178082192,0.44406,0.666378270954268,0.0354936,0.0170104,0.43404775337752,0.361142526138519
Archaeohippus,0.315068493150685,0.44659,0.668273895943871,0.0350626,0.0171887,0.432724046169709,0.362085186885375
Archaeohippus,0.321917808219178,0.45222,0.672473047787047,0.0352268,0.0174461,0.433229776266031,0.363433192751628
Archaeohippus,0.328767123287671,0.45208,0.672368946338244,0.0349265,0.0173906,0.432303515007722,0.36314380644753
Archaeohippus,0.335616438356164,0.45644,0.675603433975879,0.0349159,0.0175577,0.43227071084127,0.36401301018664
Archaeohippus,0.342465753424658,0.45728,0.676224814688133,0.0345188,0.0177233,0.431036375746095,0.364868311750747
Archaeohippus,0.349315068493151,0.45728,0.676224814688133,0.0341118,0.0178573,0.429760166434661,0.365556027073349
Archaeohippus,0.356164383561644,0.45996,0.678203509280216,0.034202,0.0179446,0.430043983088615,0.366001988973892
Archaeohippus,0.363013698630137,0.46516,0.682026392451201,0.0345902,0.0181878,0.431259096076388,0.367235825926641
Archaeohippus,0.36986301369863,0.46038,0.678513080198164,0.0331552,0.018235,0.426715003382019,0.367473852073728
Archaeohippus,0.376712328767123,0.39441,0.628020700295779,0.0263561,0.0163217,0.402921355817537,0.357430285288195
Archaeohippus,0.383561643835616,0.38935,0.623979166318876,0.0265028,0.0138924,0.403480861832964,0.343316218141938
Archaeohippus,0.39041095890411,0.38878,0.623522253011069,0.0261318,0.0136136,0.402061354501349,0.341580638862566
Archaeohippus,0.397260273972603,0.41818,0.646668384877442,0.0271436,0.0158269,0.405897953530291,0.354690016562983
Archaeohippus,0.404109589041096,0.42718,0.653590085604119,0.0276753,0.0163279,0.407871241034879,0.357464224034824
Archaeohippus,0.410958904109589,0.43759,0.661505857872778,0.0283502,0.0171306,0.410335443652691,0.36177882474554
Archaeohippus,0.417808219178082,0.45152,0.671952379265079,0.0295318,0.0181561,0.414545762031071,0.367075704963678
Archaeohippus,0.424657534246575,0.45855,0.677163200417743,0.0303843,0.0186405,0.41750560366224,0.369499954581562
Archaeohippus,0.431506849315068,0.46783,0.683980993887988,0.0312202,0.0192266,0.420347936910224,0.372370804261218
Archaeohippus,0.438356164383562,0.47402,0.688491103791472,0.0319905,0.0197293,0.422917111171568,0.374781305060759
Archaeohippus,0.445205479452055,0.48274,0.694794933775427,0.0331068,0.020282,0.426559188292818,0.377378969819854
Archaeohippus,0.452054794520548,0.49372,0.702652118761482,0.034455,0.0208486,0.430837069848308,0.379987424656433
Archaeohippus,0.458904109589041,0.50173,0.708329019594708,0.0357675,0.0211886,0.434882715067996,0.38152725297242
Archaeohippus,0.465753424657534,0.50483,0.710513898526975,0.0360641,0.0213582,0.435781485169497,0.38228843703494
Archaeohippus,0.472602739726027,0.50525,0.710809397799438,0.0364356,0.0213945,0.436899433317658,0.382450766193865
Archaeohippus,0.479452054794521,0.50736,0.712292074924325,0.0366796,0.0214565,0.437629054838746,0.382727545536024
Archaeohippus,0.486301369863014,0.50905,0.713477399782222,0.0368993,0.0216019,0.438282905310169,0.38337429276898
Archaeohippus,0.493150684931507,0.5113,0.71505244562899,0.0373011,0.0218586,0.439471190101622,0.384508182049545
Archaeohippus,0.5,0.51664,0.718776738633075,0.0380114,0.0221194,0.441548553487059,0.385649999897674
Archaeohippus,0.506849315068493,0.51974,0.720929954988694,0.0383704,0.0223287,0.442587436478748,0.386559062809007
Archaeohippus,0.513698630136986,0.51777,0.719562366998164,0.0378867,0.0223804,0.441185971656475,0.386782629052659
Archaeohippus,0.520547945205479,0.51735,0.719270463733914,0.0375462,0.0224751,0.440191343030937,0.387191137584464
Archaeohippus,0.527397260273973,0.51805,0.719756903405587,0.0370608,0.0226721,0.438761686817642,0.388036820242488
Archaeohippus,0.534246575342466,0.51749,0.719367777982862,0.0371049,0.0226601,0.438892153255037,0.387985464541567
Archaeohippus,0.541095890410959,0.51805,0.719756903405587,0.0371728,0.0226622,0.439092802959103,0.387994453261405
