Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Anchitherium,0.00327868852459016,0.09734,0.311993589677737,0.0010201,0.0005813,0.178714868904914,0.155274479010165
Anchitherium,0.00655737704918033,0.6912,0.831384387633061,0.1340187,0.0225949,0.605050118351327,0.387706074854381
Anchitherium,0.00983606557377049,1.33767,1.15657684569595,0.5280221,0.0888529,0.852438438766273,0.545968896264397
Anchitherium,0.0131147540983607,2.09062,1.44589764506344,1.264294,0.1996849,1.06038119977422,0.668476749125559
Anchitherium,0.0163934426229508,2.51513,1.58591613901871,1.6158429,0.3393995,1.12745647101027,0.763269308579712
Anchitherium,0.019672131147541,2.80475,1.6747387856021,1.8458144,0.4874728,1.16559320623825,0.835579154594086
Anchitherium,0.0229508196721311,3.0156,1.7365483005088,2.0197533,0.63375,1.19213264737949,0.892235488200583
Anchitherium,0.0262295081967213,3.17975,1.7831853521157,2.1514628,0.7722686,1.2111096381856,0.937437007399524
Anchitherium,0.0295081967213115,3.28089,1.81132272110742,2.182066,0.8986004,1.21539367129387,0.973624854384364
Anchitherium,0.0327868852459016,3.36261,1.8337420756475,2.1723333,1.0030345,1.21403613912918,1.00075776325708
Anchitherium,0.0360655737704918,3.38118,1.83879852077382,2.1487848,1.0939838,1.21073258464926,1.02271051865832
Anchitherium,0.039344262295082,3.41817,1.84882935935148,2.1426212,1.1818179,1.20986342922509,1.04264782328056
Anchitherium,0.0426229508196721,3.39004,1.84120612642909,2.0953288,1.2433648,1.20313135618357,1.05596528769684
Anchitherium,0.0459016393442623,3.34531,1.82901886266927,2.0638521,1.2687973,1.19858722056715,1.06132418644259
Anchitherium,0.0491803278688525,3.2581,1.80502077550371,2.0286137,1.2829805,1.19343793548905,1.06427782620717
Anchitherium,0.0524590163934426,3.20183,1.78936580944199,2.0163337,1.2871537,1.19162773328656,1.06514222689559
Anchitherium,0.0557377049180328,3.07693,1.75411801199349,1.9985317,1.2609611,1.18898879078663,1.05968167031024
Anchitherium,0.059016393442623,2.98789,1.72855141664921,2.0034003,1.2303127,1.18971225068343,1.0531830884179
Anchitherium,0.0622950819672131,2.91855,1.70837642222082,2.0469233,1.1802154,1.19612176330223,1.04229419574427
Anchitherium,0.0655737704918033,2.84695,1.68729072776448,2.1107595,1.1041583,1.20534033027746,1.02508017732763
Anchitherium,0.0688524590163934,2.73555,1.65394981786026,2.1614703,1.0233165,1.21251555321771,1.00577883926213
Anchitherium,0.0721311475409836,2.62344,1.61970367660261,2.1675949,0.9613858,1.21337356811928,0.990203428687557
Anchitherium,0.0754098360655738,2.4856,1.57657857400131,2.097105,0.8884108,1.20338624731668,0.970852956198363
Anchitherium,0.0786885245901639,2.32707,1.52547369692171,1.9411318,0.8334655,1.18035802238121,0.955480673258177
Anchitherium,0.0819672131147541,2.16545,1.47154680523591,1.7658559,0.7787449,1.15275977928223,0.939396210397211
Anchitherium,0.0852459016393443,2.01115,1.41815020361032,1.6620623,0.7077263,1.135433816596,0.917204831373395
Anchitherium,0.0885245901639344,1.96206,1.40073552107455,1.6542507,0.6628846,1.13409733988817,0.902317712021807
Anchitherium,0.0918032786885246,1.96234,1.40083546499937,1.6924211,0.6283664,1.14058356074381,0.89033457423695
Anchitherium,0.0950819672131148,2.00665,1.4165627412861,1.7285418,0.6263787,1.14662121141791,0.889629642683802
Anchitherium,0.0983606557377049,2.04491,1.43000349649922,1.7251309,0.6233458,1.1460551406845,0.888550794230985
Anchitherium,0.101639344262295,2.0089,1.41735669469615,1.6806522,0.6023828,1.13859549747949,0.880984242756161
Anchitherium,0.104918032786885,1.97542,1.40549635360608,1.636158,0.5792585,1.13098360683887,0.872404915331135
