Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Archaeohippus,0.0036101083032491,0.03711,0.192639559800162,8.4e-05,0.0001457,0.095734797173816,0.109866398419194
Archaeohippus,0.0072202166064982,0.21373,0.462309420193878,0.0294407,0.0022406,0.414225692779142,0.217566027902567
Archaeohippus,0.0108303249097473,0.50655,0.711723260825442,0.0657587,0.0093723,0.506393712490877,0.31114408223702
Archaeohippus,0.0144404332129964,0.65762,0.810937728805363,0.0824772,0.0197361,0.535899654673118,0.374813594391183
Archaeohippus,0.0180505415162455,0.76147,0.872622484239319,0.09589,0.0313071,0.5564720164402,0.420640136908173
Archaeohippus,0.0216606498194946,0.81538,0.902983942271401,0.1035634,0.0425373,0.567285358909126,0.454142848923628
Archaeohippus,0.0252707581227437,0.85006,0.921986984723754,0.1074762,0.0523203,0.572569322917558,0.478263850887584
Archaeohippus,0.0288808664259928,0.87153,0.933557711124492,0.1104074,0.060325,0.576433942461351,0.495592051809049
Archaeohippus,0.0324909747292419,0.87835,0.937203286379214,0.1110791,0.0669742,0.577308681043138,0.508717741251794
Archaeohippus,0.036101083032491,0.86089,0.927841581305774,0.1076823,0.0709458,0.572843620325392,0.516097401644863
Archaeohippus,0.0397111913357401,0.84355,0.918449780880806,0.1045668,0.0733696,0.568654466202587,0.520450029924835
Archaeohippus,0.0433212996389892,0.81051,0.900283288748603,0.1038002,0.0731762,0.567609358852564,0.520106717826251
Archaeohippus,0.0469314079422383,0.79262,0.890292086901821,0.1071766,0.0718587,0.572169882431908,0.517749679853709
Archaeohippus,0.0505415162454874,0.75855,0.870947759627407,0.1096337,0.0686488,0.575421411245189,0.511868303516845
Archaeohippus,0.0541516245487365,0.74937,0.865661596699311,0.113097,0.0665292,0.579912902191938,0.50787060293198
Archaeohippus,0.0577617328519856,0.75612,0.869551608589162,0.1193448,0.0658224,0.587761148219684,0.506516302993449
Archaeohippus,0.0613718411552347,0.76944,0.877177291087725,0.1260998,0.0632987,0.595907154248734,0.501589801508024
Archaeohippus,0.0649819494584837,0.76299,0.873492987951249,0.1265583,0.0614592,0.596448098162506,0.497905273084591
Archaeohippus,0.0685920577617329,0.74176,0.861254898389553,0.1230664,0.0585444,0.592290646313187,0.49189379010454
Archaeohippus,0.0722021660649819,0.70361,0.838814639834094,0.1132094,0.0561429,0.580056933270552,0.486769894622522
Archaeohippus,0.075812274368231,0.64947,0.805897015753254,0.1017254,0.0518006,0.564751445988323,0.477071746863435
Archaeohippus,0.0794223826714801,0.60767,0.779531910828543,0.0940693,0.0477934,0.553811510670976,0.467564986628621
Archaeohippus,0.0830324909747292,0.58437,0.764440972214336,0.0882927,0.0465239,0.545106297597273,0.46442867720199
Archaeohippus,0.0866425992779783,0.55955,0.748030748031122,0.0831166,0.0457085,0.53693528199518,0.462380214759931
Archaeohippus,0.0902527075812274,0.54957,0.741329886083112,0.0799453,0.0459285,0.531738656754914,0.462935584977763
Archaeohippus,0.0938628158844765,0.55918,0.747783391096646,0.0785127,0.0478133,0.52934032316433,0.467613649680255
Archaeohippus,0.0974729241877256,0.56283,0.750219967742795,0.0772929,0.0488118,0.527272232090241,0.470036090927601
