Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Pseudhipparion,0.00581395348837209,0.00097,0.0311448230047949,1e-07,5.4e-08,0.0177827941003892,0.0152439824446384
Pseudhipparion,0.0116279069767442,0.06565,0.256222559506379,0.0005099,0.0004686,0.150269642428259,0.147129775082487
Pseudhipparion,0.0174418604651163,0.64258,0.801610878169701,0.2282854,0.0151374,0.691225154527943,0.350762229441901
Pseudhipparion,0.0232558139534884,1.1458,1.07042047812997,0.405703,0.0778322,0.798090341099127,0.528189576709854
Pseudhipparion,0.0290697674418605,1.46597,1.21077248069156,0.5300339,0.1565473,0.853249243287886,0.629015569653945
Pseudhipparion,0.0348837209302326,1.62645,1.27532348837462,0.5722342,0.2368234,0.869748027617874,0.697599487658788
Pseudhipparion,0.0406976744186047,1.68161,1.29676906193817,0.5636732,0.301904,0.866476615920114,0.741254284760574
Pseudhipparion,0.0465116279069767,1.72209,1.31228426798465,0.5647421,0.3428374,0.866887101535898,0.765194867241449
Pseudhipparion,0.0523255813953488,1.70467,1.30563011607423,0.5250485,0.3679205,0.851235751549581,0.778822512547155
Pseudhipparion,0.0581395348837209,1.63435,1.27841698987459,0.4986664,0.3755623,0.840335143827984,0.782835474250413
Pseudhipparion,0.063953488372093,1.4979,1.22388724970889,0.4654762,0.3425198,0.825989202279121,0.765017589061276
Pseudhipparion,0.0697674418604651,1.36355,1.16771143695692,0.4346526,0.2997823,0.811961749130131,0.739948504584948
Pseudhipparion,0.0755813953488372,1.26064,1.12278225849895,0.4195761,0.2561846,0.80482727421986,0.71143995997212
Pseudhipparion,0.0813953488372093,1.1658,1.07972218649058,0.3964713,0.2180804,0.793510976597386,0.683367245484041
Pseudhipparion,0.0872093023255814,1.10887,1.05302896446394,0.3866084,0.1782432,0.788529274740649,0.649760404653368
Pseudhipparion,0.0930232558139535,1.02742,1.01361728477764,0.3730205,0.1511889,0.78150754452398,0.623562481699015
Pseudhipparion,0.0988372093023256,0.96306,0.981356204443626,0.3340542,0.1544799,0.760246158081976,0.626928473600456
Pseudhipparion,0.104651162790698,0.89661,0.946894925532923,0.2952425,0.1481179,0.73713107250076,0.620371569268602
Pseudhipparion,0.11046511627907,0.86322,0.929096335155833,0.2766996,0.1439132,0.725274039919886,0.615921206761212
Pseudhipparion,0.116279069767442,0.86032,0.927534365940152,0.2761345,0.1368202,0.724903451542646,0.608187591490254
Pseudhipparion,0.122093023255814,0.85726,0.925883361984651,0.269236,0.1350389,0.720332952275295,0.606198312270544
Pseudhipparion,0.127906976744186,0.87532,0.935585378252568,0.2647253,0.1359402,0.717296748662964,0.607207288838461
Pseudhipparion,0.133720930232558,0.8629,0.928924108848511,0.2568479,0.130841,0.711900019472024,0.601431213513936
Pseudhipparion,0.13953488372093,0.87806,0.937048557973385,0.2566267,0.1293235,0.711746696078937,0.599679720495698
Pseudhipparion,0.145348837209302,0.89548,0.946298050299164,0.2556605,0.1279073,0.711075816228935,0.598031187102304
Pseudhipparion,0.151162790697674,0.91677,0.957481070308964,0.2574407,0.1270423,0.712310427316663,0.597017534930319
Pseudhipparion,0.156976744186047,0.94516,0.972193396398062,0.2587858,0.1274809,0.713239046181222,0.597532154009994
Pseudhipparion,0.162790697674419,0.96484,0.982262693987713,0.259554,0.1263888,0.713767766620031,0.596248291496987
Pseudhipparion,0.168604651162791,0.97758,0.988726453575507,0.259756,0.1247998,0.713906599993012,0.594365335112792
Pseudhipparion,0.174418604651163,0.99371,0.996850038872447,0.2578259,0.1247753,0.712576729571016,0.594336162343979
Pseudhipparion,0.180232558139535,1.01048,1.00522634267114,0.2578606,0.1260843,0.712600704242169,0.595888841399158
Pseudhipparion,0.186046511627907,1.02016,1.01002970253354,0.2553062,0.1273629,0.710829331932754,0.59739383273645
Pseudhipparion,0.191860465116279,1.02484,1.01234381511421,0.2526371,0.1284811,0.708964161394566,0.598700762897976
Pseudhipparion,0.197674418604651,1.02822,1.01401183425047,0.250718,0.1292874,0.707613937973925,0.59963786672507
Pseudhipparion,0.203488372093023,1.0379,1.01877377272876,0.2486436,0.1320919,0.706145703924469,0.602863578016479
Pseudhipparion,0.209302325581395,1.04806,1.02374801587109,0.2465717,0.1342396,0.70467004014251,0.605299287007338
Pseudhipparion,0.215116279069767,1.05322,1.02626507297092,0.2457823,0.1361608,0.704105360971119,0.607453478874877
Pseudhipparion,0.22093023255814,1.0608,1.0299514551667,0.245259,0.1393133,0.703730280172173,0.610939415308299
Pseudhipparion,0.226744186046512,1.06887,1.03386169287773,0.2437656,0.1415673,0.70265655902058,0.613395714283189
Pseudhipparion,0.232558139534884,1.07468,1.03666773847747,0.2432395,0.1439701,0.702277129789123,0.6159820780394
Pseudhipparion,0.238372093023256,1.07097,1.03487680426223,0.2410355,0.1443263,0.700680857310503,0.616362729193682
Pseudhipparion,0.244186046511628,1.07871,1.03860964755773,0.2415721,0.1453912,0.701070501023882,0.617496542551492
Pseudhipparion,0.25,1.07419,1.03643137737141,0.240713,0.1451619,0.700446365873188,0.617252931220688
Pseudhipparion,0.255813953488372,1.0779,1.03821962994349,0.240756,0.1473565,0.700477645006745,0.619572772840583
Pseudhipparion,0.261627906976744,1.08322,1.04077855473679,0.2404304,0.1490148,0.700240692156541,0.621308579985399
Pseudhipparion,0.267441860465116,1.09177,1.04487798330714,0.2404659,0.1512953,0.700266538688724,0.623672161618809
Pseudhipparion,0.273255813953488,1.10177,1.04965232339094,0.2401461,0.1538222,0.700033598164077,0.626260116729022
Pseudhipparion,0.27906976744186,1.11403,1.05547619584716,0.2395672,0.1568844,0.699611338231731,0.629353918094497
Pseudhipparion,0.284883720930233,1.12209,1.05928749638613,0.2400121,0.1587463,0.699935924147183,0.631212953814097
Pseudhipparion,0.290697674418605,1.12919,1.06263352102218,0.2391951,0.1607951,0.699339517689599,0.633239799226201
Pseudhipparion,0.296511627906977,1.12806,1.06210169004667,0.2389519,0.1611466,0.699161687691374,0.633585583329228
Pseudhipparion,0.302325581395349,1.12951,1.06278407967,0.237446,0.1626524,0.698057527185163,0.635060526289579
Pseudhipparion,0.308139534883721,1.1329,1.06437775249204,0.2370531,0.1633095,0.697768580275081,0.635700952692368
Pseudhipparion,0.313953488372093,1.14193,1.06861124830314,0.2370497,0.1653309,0.697766078276654,0.637659020142949
Pseudhipparion,0.319767441860465,1.14597,1.07049988323213,0.2369712,0.1656463,0.697708304062504,0.637962916659869
Pseudhipparion,0.325581395348837,1.1508,1.07275346655231,0.2359768,0.1679973,0.696975202751619,0.640214602272085
Pseudhipparion,0.331395348837209,1.15548,1.07493255602387,0.236033,0.1692923,0.697016696776266,0.641444818528276
Pseudhipparion,0.337209302325581,1.16338,1.0786009456699,0.2350912,0.1710318,0.69632035891154,0.643086239175221
Pseudhipparion,0.343023255813953,1.16548,1.07957399005348,0.2341026,0.1730682,0.695587164181353,0.644991986929383
Pseudhipparion,0.348837209302326,1.17177,1.08248325622155,0.2330004,0.1742409,0.69476697516585,0.646081828555823
Pseudhipparion,0.354651162790698,1.18806,1.08998165122171,0.2339029,0.1768144,0.695438774955237,0.648454349925813
Pseudhipparion,0.36046511627907,1.19661,1.093896704447,0.2328836,0.1781437,0.694679889433686,0.649669707366728
Pseudhipparion,0.366279069767442,1.19855,1.09478308353756,0.2323862,0.1787796,0.694308662270239,0.650248696559224
Pseudhipparion,0.372093023255814,1.20242,1.09654913250615,0.23105,0.1795397,0.693308449726514,0.650938747281343
Pseudhipparion,0.377906976744186,1.2058,1.09808924956034,0.2300866,0.1797187,0.692584601745829,0.651100932160459
Pseudhipparion,0.383720930232558,1.21838,1.10380251856933,0.2296036,0.1810423,0.692220845208473,0.65229644943599
Pseudhipparion,0.38953488372093,1.22306,1.10592043113418,0.2296179,0.1812931,0.692231623052227,0.65252224063419
Pseudhipparion,0.395348837209302,1.23355,1.11065296109991,0.2286812,0.1851679,0.691524570540782,0.655981248872981
Pseudhipparion,0.401162790697674,1.23532,1.11144950402616,0.2282234,0.1851482,0.691178217311427,0.655963800726992
Pseudhipparion,0.406976744186047,1.23306,1.11043234823198,0.2266229,0.1854432,0.689963232467328,0.656224934521212
