Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Protohippus,0.00452488687782805,0.06258,0.250159948832742,0.0005339,0.0005959,0.152007487327644,0.15624040151558
Protohippus,0.00904977375565611,0.33516,0.578930047587789,0.1963744,0.0155383,0.66568875038285,0.35306191748712
Protohippus,0.0135746606334842,0.7121,0.843860177991591,0.3913827,0.0599029,0.79095250574278,0.494722841071735
Protohippus,0.0180995475113122,1.01726,1.00859307949242,0.5223264,0.1359798,0.850130297738658,0.607251504571524
Protohippus,0.0226244343891403,1.31064,1.14483186538461,0.6473059,0.2334698,0.896968912538229,0.695116628568168
Protohippus,0.0271493212669683,1.44822,1.20342012614049,0.6657283,0.3234832,0.90328386938934,0.754159025096764
Protohippus,0.0316742081447964,1.48629,1.21913493920895,0.6628127,0.3775027,0.902293243478381,0.783844680786401
Protohippus,0.0361990950226244,1.50774,1.22790064744669,0.6376489,0.4215789,0.893604616419577,0.805785998229375
Protohippus,0.0407239819004525,1.5179,1.23203084376975,0.6261587,0.4667515,0.889551517300286,0.826554378056597
Protohippus,0.0452488687782805,1.48516,1.21867140772236,0.6144019,0.4849358,0.885346220230703,0.834489855792135
Protohippus,0.0497737556561086,1.33758,1.15653793712096,0.5671855,0.4591417,0.8678232474163,0.823164598197767
Protohippus,0.0542986425339367,1.22306,1.10592043113418,0.5279709,0.4259677,0.852417773705486,0.807874996851852
Protohippus,0.0588235294117647,1.13339,1.06460790904445,0.5077828,0.3750586,0.844149750627054,0.782572859564125
Protohippus,0.0633484162895928,0.99387,0.996930288435455,0.4517879,0.298352,0.819848580036673,0.739064323629128
Protohippus,0.0678733031674208,0.94742,0.973355022589394,0.4174311,0.2644989,0.803796666169623,0.717143336718696
Protohippus,0.0723981900452489,0.96968,0.984723311392596,0.4109234,0.2418549,0.80064540994734,0.701275590684341
Protohippus,0.0769230769230769,0.9679,0.983819089060585,0.3920715,0.2117614,0.791300278459109,0.678362293573062
Protohippus,0.081447963800905,0.91951,0.958910840485183,0.3738876,0.1878065,0.781961309992155,0.658305759576635
Protohippus,0.085972850678733,0.9108,0.954358423235212,0.3979887,0.1611889,0.794269133170774,0.63362715732528
Protohippus,0.0904977375565611,0.95935,0.979464139210824,0.4257746,0.1687121,0.807783424657362,0.640894519501838
Protohippus,0.0950226244343891,1.00387,1.0019331315013,0.4146047,0.2064501,0.802432583421584,0.674068099346405
Protohippus,0.0995475113122172,0.9679,0.983819089060585,0.3858498,0.202916,0.788142178285221,0.671164648262662
Protohippus,0.104072398190045,0.91613,0.957146801697629,0.3486055,0.1946635,0.768393281087055,0.664234045785277
Protohippus,0.108597285067873,0.87484,0.935328819186066,0.3241843,0.1840358,0.75456732427454,0.654976289151851
Protohippus,0.113122171945701,0.83387,0.913164826304649,0.3047496,0.1703559,0.742994820172124,0.642449942839867
Protohippus,0.117647058823529,0.81871,0.904825950114164,0.2947662,0.162607,0.73683359827891,0.635016206675736
Protohippus,0.122171945701357,0.8229,0.907138357694128,0.2865549,0.1595868,0.731647612561676,0.632046806892816
Protohippus,0.126696832579186,0.8371,0.914931691439312,0.2821401,0.1589371,0.728813156642952,0.631402534905212
Protohippus,0.131221719457014,0.87371,0.934724558359306,0.2850408,0.1625021,0.730679220954834,0.634913767480229
Protohippus,0.135746606334842,0.90355,0.950552470934667,0.2855532,0.1649288,0.731007373897184,0.637270954644538
Protohippus,0.14027149321267,0.92451,0.961514430468935,0.2825565,0.1655562,0.729081914950937,0.637876147159104
Protohippus,0.144796380090498,0.95839,0.97897395266677,0.2864696,0.1677607,0.731593158328645,0.639989070612373
Protohippus,0.149321266968326,0.99403,0.997010531539161,0.2924595,0.1698229,0.735387821329797,0.641946836819776
Protohippus,0.153846153846154,1.04306,1.02130308919537,0.2980171,0.1737112,0.738856836418071,0.645590238485363
Protohippus,0.158371040723982,1.06032,1.02971840810971,0.298597,0.1727222,0.739216002708504,0.644669376056433
Protohippus,0.16289592760181,1.08387,1.04109077414028,0.2988812,0.1732589,0.739391833549184,0.645169589141185
Protohippus,0.167420814479638,1.08935,1.04371931092607,0.2934194,0.171344,0.735990495889112,0.643379509545902
Protohippus,0.171945701357466,1.10532,1.05134199954154,0.2909019,0.1714215,0.734406715504603,0.643452248388371
Protohippus,0.176470588235294,1.12129,1.05890981674551,0.290208,0.1716702,0.733968370741266,0.643685503237871
Protohippus,0.180995475113122,1.13758,1.06657395430415,0.2904006,0.1723323,0.734090117161528,0.644305251398028
Protohippus,0.18552036199095,1.16113,1.07755742306385,0.2921678,0.173379,0.735204383189194,0.645281365122275
