Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Neohipparion,0.00546448087431694,1.43467,1.19777710781263,0.8971494,0.0592074,0.973231580045322,0.493280556725144
Neohipparion,0.0109289617486339,2.33048,1.52659097337827,1.5851964,0.3036824,1.12207211407721,0.742343492426698
Neohipparion,0.0163934426229508,2.47661,1.57372488065735,1.6663898,0.5798046,1.1361721763374,0.872610459136754
Neohipparion,0.0218579234972678,2.77854,1.66689531764895,1.7083203,0.8627046,1.14325293610838,0.963752523968536
Neohipparion,0.0273224043715847,3.12935,1.76899689089608,1.7699417,1.1358382,1.15342600928836,1.03235512387094
Neohipparion,0.0327868852459016,3.27774,1.81045298199097,1.6709459,1.326314,1.13694798747398,1.07315286283575
Neohipparion,0.0382513661202186,3.23064,1.79739811950497,1.5333945,1.4117692,1.11279066888487,1.0900362116702
Neohipparion,0.0437158469945355,3.0587,1.74891394871217,1.4257621,1.3892885,1.09272723244527,1.08567068230665
Neohipparion,0.0491803278688525,2.89032,1.70009411504187,1.3613088,1.3236845,1.08016266710162,1.0726205688576
Neohipparion,0.0546448087431694,2.8358,1.68398337283953,1.3992133,1.2472771,1.08760446324876,1.05679496922659
Neohipparion,0.0601092896174863,2.66306,1.63188847658166,1.3959381,1.1019644,1.08696745294265,1.02457060342251
Neohipparion,0.0655737704918033,2.42225,1.55635792798443,1.3226865,0.9832364,1.07241833446561,0.99578249390267
Neohipparion,0.0710382513661202,2.18661,1.47871904025072,1.3080839,0.7476817,1.06944609763526,0.929884883589266
Neohipparion,0.0765027322404372,2.01,1.41774468787578,1.2306316,0.6312314,1.0532513286803,0.891347700802153
Neohipparion,0.0819672131147541,1.88129,1.37160125400934,1.1686573,0.5627519,1.03973291819247,0.866122343861693
Neohipparion,0.087431693989071,1.90967,1.38190810114132,1.2233124,0.5520205,1.05168176666687,0.861963352323301
Neohipparion,0.092896174863388,2.05742,1.43437094226006,1.2620295,0.5624509,1.05990606350276,0.866006504566982
Neohipparion,0.0983606557377049,2.16306,1.47073451037228,1.2414781,0.570061,1.05556447524292,0.868921078512424
Neohipparion,0.103825136612022,2.07209,1.43947559895957,1.1777277,0.5368603,1.04174451486947,0.85598336039226
Neohipparion,0.109289617486339,1.96193,1.40068911611392,1.1206356,0.5113931,1.02888326578271,0.845646227914368
Neohipparion,0.114754098360656,1.8958,1.37688053221766,1.0731188,0.4928954,1.01779883829484,0.837893248986337
Neohipparion,0.120218579234973,1.87242,1.36836398666437,1.0473242,0.4854875,1.01162670338376,0.834727099448388
Neohipparion,0.12568306010929,1.87096,1.36783039884337,1.0255339,0.4788523,1.00632324660371,0.831860292471721
Neohipparion,0.131147540983607,1.88854,1.37424160903387,1.010498,0.4707983,1.00261423081799,0.828340167525782
Neohipparion,0.136612021857924,1.90871,1.3815607116591,0.9922302,0.4718299,0.998051864542383,0.828793554074961
Neohipparion,0.14207650273224,1.93887,1.39243312227195,0.9751334,0.4757439,0.993724524358723,0.830507018785901
Neohipparion,0.147540983606557,1.9579,1.39924979899945,0.9542216,0.474127,0.988353514189496,0.829800461295983
Neohipparion,0.153005464480874,1.95613,1.39861717421173,0.9381522,0.4699218,0.984165927386578,0.827954361336356
Neohipparion,0.158469945355191,1.94967,1.39630584042322,0.921071,0.4631384,0.979655265702153,0.82495013461154
Neohipparion,0.163934426229508,1.95758,1.39913544733882,0.911,0.4576242,0.976966324864476,0.822483597389642
Neohipparion,0.169398907103825,1.93758,1.3919698272592,0.8946976,0.4542665,0.972565966684313,0.82097073789838
Neohipparion,0.174863387978142,1.94129,1.39330183377472,0.8845551,0.4524953,0.969797862806321,0.820169317191351
Neohipparion,0.180327868852459,1.95951,1.39982498906113,0.8793429,0.4525277,0.968366072868554,0.820183998433553
Neohipparion,0.185792349726776,1.97467,1.40522951861965,0.8741424,0.4540494,0.966931139137422,0.820872632106664
Neohipparion,0.191256830601093,1.97596,1.40568844343261,0.8638679,0.4546241,0.964077248921144,0.821132257904117
Neohipparion,0.19672131147541,1.98967,1.41055662771829,0.8567841,0.4605507,0.962094760662019,0.82379539832648
Neohipparion,0.202185792349727,2.00742,1.41683449986228,0.8552623,0.467388,0.96166726322813,0.826836023127552
Neohipparion,0.207650273224044,2.05854,1.43476130418966,0.8589912,0.4776668,0.962713758831554,0.831344952327391
Neohipparion,0.213114754098361,2.0679,1.43801947135635,0.8549394,0.479883,0.961576482209095,0.832307563587311
Neohipparion,0.218579234972678,2.07774,1.44143678321319,0.8489061,0.4831037,0.959875514932642,0.833700555594742
Neohipparion,0.224043715846995,2.07742,1.44132577858026,0.8421082,0.4829261,0.957948086096316,0.833623923168248
Neohipparion,0.229508196721311,2.07903,1.44188418397595,0.838851,0.4839084,0.957020424860912,0.834047510187903
Neohipparion,0.234972677595628,2.09387,1.44702107793909,0.8398617,0.4877043,0.957308564178674,0.835678340710376
Neohipparion,0.240437158469945,2.07451,1.4403159375637,0.8293268,0.4880241,0.954292311856165,0.83581530087381
Neohipparion,0.245901639344262,2.08145,1.44272311965949,0.8280043,0.4915823,0.953911639546949,0.837334642385319
Neohipparion,0.251366120218579,2.09032,1.4457938995583,0.8263425,0.4963932,0.953432655069775,0.839375823100529
Neohipparion,0.256830601092896,2.10596,1.45119261299112,0.8245995,0.5027763,0.952929489244607,0.842061282894081
Neohipparion,0.262295081967213,2.11048,1.4527491180517,0.8209935,0.5068219,0.951885978655362,0.843750111380357
Neohipparion,0.26775956284153,2.12113,1.4564099697544,0.8190477,0.5131956,0.951321471086176,0.846390404328617
Neohipparion,0.273224043715847,2.12274,1.45696259389183,0.8178208,0.5179,0.950965010610861,0.848323460722903
Neohipparion,0.278688524590164,2.14064,1.46309261497692,0.8159522,0.5246972,0.950421340837166,0.851093329383179
Neohipparion,0.284153005464481,2.15451,1.46782492143988,0.8167785,0.5320717,0.950661868130078,0.854068176791528
Neohipparion,0.289617486338798,2.16758,1.47227035560728,0.8134387,0.5364089,0.949688562442273,0.855803372795934
Neohipparion,0.295081967213115,2.17145,1.47358406614621,0.8106591,0.5392952,0.948876225968995,0.856952280233262
Neohipparion,0.300546448087432,2.17209,1.47380120776175,0.8037957,0.5424341,0.94686141588943,0.858196513590674
Neohipparion,0.306010928961749,2.18209,1.47718989977592,0.8002402,0.5442891,0.945812590741101,0.858929283272389
Neohipparion,0.311475409836066,2.20338,1.48437865789023,0.8030442,0.5502587,0.946640023822117,0.861274778284567
Neohipparion,0.316939890710383,2.20903,1.48628059262038,0.8001061,0.5507542,0.945772964688987,0.86146860421523
Neohipparion,0.322404371584699,2.21887,1.4895871911372,0.7978251,0.554414,0.945098173463217,0.862896181454069
Neohipparion,0.327868852459016,2.23112,1.49369340896986,0.7919993,0.5628906,0.943368128128219,0.866175706661327
Neohipparion,0.333333333333333,2.24483,1.49827567556842,0.7915254,0.5684534,0.943226978222896,0.868307829586296
Neohipparion,0.33879781420765,2.25242,1.50080644987953,0.7902857,0.5700853,0.942857436736871,0.868930338242827
Neohipparion,0.344262295081967,2.25338,1.50112624385826,0.7910592,0.5721229,0.94308805988409,0.869705732864752
Neohipparion,0.349726775956284,2.25709,1.50236147447943,0.7921564,0.5749289,0.943414905982121,0.870770153946576
Neohipparion,0.355191256830601,2.26822,1.50606108773848,0.7898246,0.5771354,0.942719876763622,0.87160442897886
Neohipparion,0.360655737704918,2.27742,1.50911232186342,0.7939013,0.5826603,0.943933997492358,0.873682943018477
Neohipparion,0.366120218579235,2.30161,1.51710579723367,0.7999339,0.5910771,0.945722072922741,0.87682118328829
Neohipparion,0.371584699453552,2.32322,1.52421127144501,0.8083153,0.5963612,0.948189626808148,0.878774295183772
Neohipparion,0.377049180327869,2.3358,1.52833242457261,0.8128251,0.6024087,0.949509417470172,0.880993712284508
Neohipparion,0.382513661202186,2.34435,1.53112703587913,0.8168455,0.6078865,0.950681363129625,0.882989673692979
Neohipparion,0.387978142076503,2.34371,1.53091802523845,0.8179036,0.6111502,0.950989079732592,0.884172472376362
Neohipparion,0.39344262295082,2.35242,1.53376008554141,0.8215321,0.6145926,0.952042057756179,0.885414911374223
Neohipparion,0.398907103825137,2.3679,1.53879823238786,0.8245822,0.6203168,0.952924491118284,0.887469396605481
Neohipparion,0.404371584699454,2.36516,1.53790766953026,0.8243063,0.6233508,0.952844770484676,0.888552576043186
Neohipparion,0.409836065573771,2.36483,1.53780037716213,0.8236597,0.626319,0.952657858549113,0.889608444330466
Neohipparion,0.415300546448087,2.37532,1.54120731895485,0.8243409,0.6319119,0.952854769167851,0.891587833442111
Neohipparion,0.420765027322404,2.37951,1.542566043967,0.8269017,0.6383744,0.953593915169191,0.893858687947566
Neohipparion,0.426229508196721,2.38242,1.54350898928383,0.8273935,0.6427323,0.953735671114025,0.895380292812704
Neohipparion,0.431693989071038,2.37951,1.542566043967,0.8293438,0.6430479,0.954297202221639,0.895490186932642
Neohipparion,0.437158469945355,2.37774,1.5419922178792,0.8322662,0.6434376,0.9551367697546,0.895625827390851
Neohipparion,0.442622950819672,2.38854,1.54549021349215,0.837303,0.6512692,0.956578602080417,0.898338753139605
Neohipparion,0.448087431693989,2.39532,1.54768213790817,0.8419401,0.6580491,0.957900276584147,0.900667672293184
Neohipparion,0.453551912568306,2.39854,1.54872205382373,0.8486594,0.6579805,0.959805770145747,0.900644198278157
Neohipparion,0.459016393442623,2.40177,1.54976449823836,0.8532469,0.6578376,0.961100226877863,0.900595293888489
Neohipparion,0.46448087431694,2.40629,1.5512220988627,0.8556983,0.6653432,0.961789800722111,0.903153211693995
Neohipparion,0.469945355191257,2.41983,1.55558027758133,0.8626474,0.6727149,0.963736548623361,0.905644516197984
Neohipparion,0.475409836065574,2.42209,1.55630652507788,0.8676107,0.6742169,0.965119798516128,0.906149611525998
Neohipparion,0.480874316939891,2.43241,1.55961854310597,0.8736877,0.6772971,0.966805373193302,0.907182792746803
Neohipparion,0.486338797814208,2.43274,1.55972433461814,0.87802,0.6764146,0.968001660184117,0.906887139520226
Neohipparion,0.491803278688525,2.44193,1.56266759101224,0.8848699,0.6768865,0.969884135451261,0.90704527039309
Neohipparion,0.497267759562842,2.44145,1.56251399993728,0.8857433,0.6777173,0.970123374982578,0.907323465708049
Neohipparion,0.502732240437158,2.43758,1.56127511989399,0.8862027,0.6779439,0.970249141675367,0.907399298848003
Neohipparion,0.508196721311475,2.44016,1.56210114909375,0.8907662,0.6784316,0.971495811124022,0.907562446309542
Neohipparion,0.513661202185792,2.45629,1.56725556307834,0.8967339,0.6847386,0.9731188764168,0.909664408053162
Neohipparion,0.519125683060109,2.46016,1.56848971944352,0.9008663,0.6870983,0.974238045049521,0.910447103340146
Neohipparion,0.524590163934426,2.4758,1.57346750840302,0.9088297,0.6951383,0.976383940979027,0.913098867992131
Neohipparion,0.530054644808743,2.4758,1.57346750840302,0.9133309,0.6946882,0.977590646796614,0.912951024882987
Neohipparion,0.53551912568306,2.47387,1.57285409367811,0.9171639,0.6929645,0.978614706711196,0.912384180633908
Neohipparion,0.540983606557377,2.47887,1.57444275856571,0.9195567,0.6967951,0.979252363142093,0.91364245476926
Neohipparion,0.546448087431694,2.47725,1.57392820674896,0.9206641,0.6936055,0.979547052605237,0.912595098906391
Neohipparion,0.551912568306011,2.47467,1.57310838787415,0.9206285,0.6914685,0.979537583250252,0.911891358445635
Neohipparion,0.557377049180328,2.48806,1.57735855150311,0.9292637,0.6966687,0.981826485048346,0.913601017816336
