Genus,PercentOfBone,A,normA,IAP,IML,normIAP,normIML
Pliohippus,0.00641025641025641,0.60355,0.776884804845609,0.5454504,0.0123457,0.859387071920837,0.33333347499991
Pliohippus,0.0128205128205128,2.24903,1.499676631811,2.0693264,0.203643,1.19938123453909,0.671764998290959
Pliohippus,0.0192307692307692,3.00983,1.73488616341246,2.5806004,0.5450498,1.26744811566601,0.859229236616856
Pliohippus,0.0256410256410256,3.69403,1.92198595208186,2.9661267,0.9335179,1.31234319788283,0.982948269586162
Pliohippus,0.032051282051282,4.1279,2.03172340637204,3.1196629,1.3095773,1.32900592475763,1.06975120564328
Pliohippus,0.0384615384615385,4.45451,2.11057101278303,3.2093916,1.6231441,1.33846086636404,1.12872792406507
Pliohippus,0.0448717948717949,4.59499,2.14359277849129,3.2349162,1.8794746,1.34111419310579,1.17087117695583
Pliohippus,0.0512820512820513,4.57967,2.14001635507769,3.1158632,2.0332772,1.32860106275079,1.19412323184268
Pliohippus,0.0576923076923077,4.50935,2.12352301612203,2.9329123,2.0866517,1.30865379588811,1.20188382613686
Pliohippus,0.0641025641025641,4.26193,2.06444423513933,2.7633393,2.0490429,1.28931356929834,1.19643129075132
Pliohippus,0.0705128205128205,3.89257,1.97295970561996,2.5021459,1.8317002,1.257703175511,1.16335858270665
Pliohippus,0.0769230769230769,3.61693,1.90182280983271,2.3839364,1.6235046,1.24257801748368,1.12879059141094
Pliohippus,0.0833333333333333,3.47628,1.86447847936092,2.3049617,1.4847377,1.23215665870182,1.10385602908573
Pliohippus,0.0897435897435897,3.24467,1.80129675511838,2.2348604,1.2971839,1.22267941375456,1.06721123215491
Pliohippus,0.0961538461538462,3.00983,1.73488616341246,2.2203711,1.1225482,1.22069282392308,1.02932198643722
Pliohippus,0.102564102564103,2.85193,1.68876582153951,2.1700685,1.009952,1.2137195872594,1.0024787683217
Pliohippus,0.108974358974359,2.60145,1.61290111290184,2.0175529,0.878687,1.19180782540394,0.968185446788617
Pliohippus,0.115384615384615,2.33467,1.52796269587971,1.7859841,0.7801041,1.15603077857402,0.939805841483311
Pliohippus,0.121794871794872,2.24564,1.49854596192442,1.6874867,0.725647,1.13975128273417,0.922956751452701
Pliohippus,0.128205128205128,2.21129,1.48704068538826,1.5756926,0.6848103,1.12038651719709,0.909688220197357
Pliohippus,0.134615384615385,2.15548,1.46815530513635,1.5292328,0.6417676,1.11203485852718,0.895044126429645
Pliohippus,0.141025641025641,2.03209,1.42551394240814,1.4481058,0.5883601,1.09698344431619,0.875811822261465
Pliohippus,0.147435897435897,1.92903,1.3888952444299,1.3468291,0.5502774,1.07727882349875,0.861282095585095
Pliohippus,0.153846153846154,1.88129,1.37160125400934,1.2777292,0.5272598,1.06318711575569,0.85213060794017
Pliohippus,0.16025641025641,1.84903,1.3597904250288,1.2274736,0.5105278,1.05257497409483,0.845288282901199
Pliohippus,0.166666666666667,1.83613,1.35503874483352,1.1912458,0.499244,1.04472105061058,0.840578376023659
Pliohippus,0.173076923076923,1.83322,1.35396454901892,1.163283,0.4920779,1.0385354972632,0.837545607187375
Pliohippus,0.179487179487179,1.82258,1.35002962930448,1.1275841,0.4824053,1.03047446813819,0.833399081818437
Pliohippus,0.185897435897436,1.83645,1.35515681749383,1.1089476,0.4742957,1.02618994825974,0.829874264656298
Pliohippus,0.192307692307692,1.83209,1.35354719164128,1.080012,0.462719,1.01942937863688,0.824763310521984
Pliohippus,0.198717948717949,1.83596,1.35497601454786,1.0701065,0.4474754,1.01708383170514,0.817885090252294
Pliohippus,0.205128205128205,1.93306,1.39034528085652,1.0660086,0.4952861,1.01610871695976,0.838907418622244
Pliohippus,0.211538461538462,1.96338,1.40120662287901,1.0546789,0.506526,1.01339805026406,0.843626931848334
Pliohippus,0.217948717948718,1.98145,1.40763986871643,1.0456557,0.5072646,1.01122355494379,0.84393430127293
Pliohippus,0.224358974358974,1.9929,1.41170110150839,1.029889,0.5106369,1.00738992910435,0.845333438895748
Pliohippus,0.230769230769231,2.00967,1.4176283010719,1.015411,0.5138585,1.00383068254114,0.846663594816377
Pliohippus,0.237179487179487,2.02338,1.42245562320939,1.0063742,0.5128953,1.00158975499915,0.846266559331114
Pliohippus,0.243589743589744,2.06613,1.43740390983189,1.0041447,0.5254282,1.00103456839474,0.851389607145591
Pliohippus,0.25,2.11306,1.45363681846602,1.0074498,0.5434094,1.00185726941594,0.858582014475597
