Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
combinedTIFFStack_bonejtrimmed.tif,10,1,5.363,94.001,90.752,1.8,94.001,90.752,-0.456,0.871,2.265,0.953,7.259,0.173,3.204,1.095,3.619,1.788,4.605,0.556,10.929,1.138,0.832,0.285,1.082,2.653,0.96,7.252,1.085,3.197,0.885,2.269,4.594,1.864
combinedTIFFStack_bonejtrimmed.tif,10,2,25.987,94.285,90.484,1.8,94.285,90.484,-0.48,2.261,5.006,29.596,162.765,0.924,32.512,13.09,38.383,4.443,9.88,0.454,27.797,1.196,0.702,0.25,1.082,2.653,29.605,162.756,13.106,32.524,2.259,5.004,9.874,4.446
combinedTIFFStack_bonejtrimmed.tif,10,3,46.008,94.653,90.273,1.8,94.653,90.273,-0.463,3.141,6.946,105.019,496.841,1.528,71.527,33.436,86.504,6.146,13.144,0.485,42.025,2.207,0.948,0.592,1.082,2.653,105.283,496.577,33.695,71.559,3.125,6.939,13.144,6.173
combinedTIFFStack_bonejtrimmed.tif,10,4,63.56,94.902,90.25,1.8,94.902,90.25,-0.465,3.804,8.36,239.776,987.744,2.13,118.149,63.032,146.267,7.659,15.702,0.431,87.792,1.704,0.908,0.493,1.082,2.653,240.196,987.324,63.346,118.144,3.792,8.357,15.7,7.684
combinedTIFFStack_bonejtrimmed.tif,10,5,83.19,94.857,90.238,1.8,94.857,90.238,-0.453,4.611,9.557,467.896,1720.678,2.656,180.04,101.483,228.906,9.219,18.013,0.482,47.934,2.277,1.06,0.648,1.082,2.653,469.488,1719.086,102.722,180.058,4.57,9.547,18.013,9.227
combinedTIFFStack_bonejtrimmed.tif,10,6,106.217,94.714,90.3,1.8,94.714,90.3,-0.456,5.273,10.253,781.185,2554.119,3.439,249.102,148.147,324.939,10.684,19.81,0.483,55.166,2.335,1.044,0.636,1.082,2.653,783.029,2552.275,147.332,249.139,5.315,10.244,19.81,10.7
combinedTIFFStack_bonejtrimmed.tif,10,7,121.389,94.737,90.466,1.8,94.737,90.466,-0.471,18.855,11.042,1572.609,3312.478,4.16,299.996,83.405,258.89,12.574,21.513,0.442,60.135,2.364,0.989,0.649,1.082,2.653,1573.174,3311.912,83.507,300.358,18.839,11.027,21.501,12.715
combinedTIFFStack_bonejtrimmed.tif,10,8,157.867,96.258,93.691,1.8,96.258,93.691,1.181,11.993,17.581,4087.275,10185.271,22.504,579.35,340.818,809.929,14.937,23.022,0.472,93.333,2.649,0.827,0.667,1.082,2.653,10126.312,4146.234,578.738,357.011,17.497,11.614,23.018,15.563
combinedTIFFStack_bonejtrimmed.tif,10,9,181.866,97.086,95.429,1.8,97.086,95.429,1.175,12.775,16.23,5089.328,15192.217,25.801,936.048,398.376,1230.369,11.489,19.658,2.368,167.469,2.125,0.618,0.457,1.082,2.653,15105.617,5175.927,940.706,422.927,16.058,12.238,17.331,18.82
combinedTIFFStack_bonejtrimmed.tif,10,10,213.998,97.729,96.919,1.8,97.729,96.919,1.204,13.656,15.969,6547.562,16680.908,31.085,1044.573,479.462,1396.693,15.25,31.395,2.342,243.734,2.691,0.569,0.467,1.082,2.653,16530.408,6698.062,1037.468,524.715,15.933,12.765,18.79,30.583
