Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,1,2.078,38.7,57.251,1.8,38.7,57.251,-0.503,0.557,1.382,0.127,0.954,0.08,0.69,0.229,0.782,1.147,2.801,0.534,6.505,1.079,0.928,0.165,4.224,5.794,0.127,0.954,0.229,0.691,0.556,1.382,2.798,1.174
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,2,6.889,38.46,57.468,1.8,38.46,57.468,-0.65,1.986,2.275,3.123,6.16,0.42,2.707,1.573,4.026,2.635,4.346,0.402,11.843,2.094,1.735,0.529,4.224,5.794,3.202,6.082,1.623,2.638,1.972,2.306,4.33,2.786
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,3,18.493,38.227,57.468,1.8,38.227,57.468,1.161,2.779,3.442,18.719,45.771,2.592,13.297,6.737,18.709,4.704,6.699,1.802,20.676,3.1,2.522,0.708,4.224,5.794,45.604,18.886,13.323,6.789,3.423,2.782,4.939,6.669
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,4,25.634,38.244,57.553,1.8,38.244,57.553,1.199,3.102,3.835,35.274,83.156,3.708,21.684,11.373,30.861,5.417,7.575,1.872,22.275,4.195,3.599,0.95,4.224,5.794,82.504,35.927,21.567,11.492,3.826,3.126,5.56,7.474
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,5,31.262,38.269,57.539,1.8,38.269,57.539,1.177,3.355,3.935,54.116,117.833,4.445,29.946,16.132,43.696,5.957,7.851,1.704,24.103,4.438,3.567,1.253,4.224,5.794,117.254,54.694,29.853,16.24,3.928,3.368,6.006,7.69
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,6,35.223,38.323,57.465,1.8,38.323,57.465,1.201,3.474,4.023,70.224,146.615,5.104,36.444,20.212,52.219,6.225,8.334,1.604,25.738,4.057,3.308,1.144,4.224,5.794,145.537,71.302,36.963,20.478,3.937,3.482,6.231,7.885
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,7,37.649,38.355,57.42,1.8,38.355,57.42,1.26,3.464,4.046,84.818,157.839,5.689,39.01,24.487,57.252,6.41,8.515,1.5,26.086,3.779,3.216,0.863,4.224,5.794,155.54,87.117,40.018,25.068,3.887,3.475,6.424,7.846
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,8,38.565,38.342,57.404,1.8,38.342,57.404,1.267,3.383,4.071,94.83,154.805,5.851,38.027,28.031,57.886,6.464,8.621,1.507,29.047,4.758,3.913,1.265,4.224,5.794,152.781,96.854,38.42,28.425,3.977,3.407,6.473,7.942
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,9,38.721,38.31,57.42,1.8,38.31,57.42,1.27,3.309,4.043,98.105,151.538,5.888,37.48,29.647,57.95,6.385,8.396,1.623,27.983,5.1,4.211,1.41,4.224,5.794,149.666,99.976,38.22,29.874,3.916,3.347,6.479,7.884
HyracotheriumspMCIII_MCZ17665_8bit_trimmed.tif,5,10,38.955,38.3,57.46,1.8,38.3,57.46,1.222,3.236,4.146,96.699,156.349,5.734,37.708,29.878,59.137,6.23,8.503,1.616,26.981,5.963,5.446,1.235,4.224,5.794,155.188,97.86,38.951,29.827,3.984,3.281,6.388,7.808
