Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
17876_metacarpal_slices_trimmed.tif,5,1,2.187,44.309,42.74,1.8,44.309,42.74,-0.277,0.92,1.087,0.323,0.488,0.027,0.449,0.351,0.731,1.674,2.076,0.387,9.091,1.282,1.008,0.42,1.571,3.142,0.336,0.476,0.4,0.471,0.838,1.01,1.922,1.709
17876_metacarpal_slices_trimmed.tif,5,2,21.17,44.187,42.73,1.8,44.187,42.73,0.091,2.404,3.27,28.055,49.715,0.029,15.205,11.669,23.708,4.592,6.13,2.949,19.193,2.638,1.985,0.652,1.571,3.142,28.232,49.538,11.613,15.326,2.431,3.232,6.052,4.592
17876_metacarpal_slices_trimmed.tif,5,3,31.457,44.269,42.671,1.8,44.269,42.671,0.166,2.938,10.671,60.719,142.905,0.144,13.392,20.663,19.077,5.578,8.186,2.913,24.104,2.751,1.586,0.813,1.571,3.142,62.972,140.651,20.185,13.416,3.12,10.484,8.01,5.66
17876_metacarpal_slices_trimmed.tif,5,4,50.555,47.924,43.142,1.8,47.924,43.142,0.118,4.59,8.316,104.052,1085.484,0.117,130.523,22.667,136.203,6.485,15.988,2.94,52.94,2.684,1.151,0.749,1.571,3.142,117.701,1071.834,31.231,131.006,3.769,8.182,15.735,6.55
17876_metacarpal_slices_trimmed.tif,5,5,85.501,50.399,42.925,1.8,50.399,42.925,-0.054,4.788,9.104,406.972,1508.805,0.042,165.73,85.007,210.362,9.343,16.017,2.671,48.975,5.595,2.561,2.15,1.571,3.142,410.227,1505.551,82.452,165.383,4.975,9.103,15.308,9.505
17876_metacarpal_slices_trimmed.tif,5,6,101.922,51.016,43.741,1.8,51.016,43.741,0.077,6.52,9.524,896.586,1614.92,0.101,169.567,137.508,263.679,12.635,17.132,2.563,55.648,4.093,2.091,1.548,1.571,3.142,900.874,1610.632,140.327,169.427,6.42,9.506,15.379,12.816
17876_metacarpal_slices_trimmed.tif,5,7,113.614,51.412,45.011,1.8,51.412,45.011,0.724,8.16,9.279,1493.232,1991.921,8.306,214.678,182.993,340.206,14.638,17.377,2.521,65.35,6.052,2.612,2.364,1.571,3.142,1711.98,1773.172,225.403,175.28,7.595,10.116,15.628,15.023
17876_metacarpal_slices_trimmed.tif,5,8,117.598,51.505,45.482,1.8,51.505,45.482,0.752,8.53,9.823,1699.744,2307.601,9.141,234.929,199.259,375.406,14.971,17.866,2.632,130.647,6.062,2.573,2.49,1.571,3.142,1983.231,2024.114,233.674,195.539,8.487,10.351,16.162,16.696
17876_metacarpal_slices_trimmed.tif,5,9,121.575,51.612,45.372,1.8,51.612,45.372,0.685,8.674,10.288,1821.693,2401.353,8.109,233.402,210.027,379.249,15.322,18.299,2.614,71.345,5.891,2.368,2.34,1.571,3.142,2053.657,2169.389,240.86,199.935,8.526,10.85,16.661,16.803
17876_metacarpal_slices_trimmed.tif,5,10,129.176,51.542,45.176,1.8,51.542,45.176,0.641,8.799,10.625,1998.062,2579.969,7.708,242.829,227.068,400.77,15.427,18.738,2.638,65.596,4.483,1.526,1.387,1.571,3.142,2206.403,2371.628,260.393,212.295,8.473,11.171,17.159,16.839
17876_metacarpal_slices_trimmed.tif,5,11,134.841,51.395,44.897,1.8,51.395,44.897,0.761,8.526,9.879,2081.115,2689.448,10.695,272.245,244.092,425.041,15.341,18.566,2.663,63.031,4.041,1.398,1.223,1.571,3.142,2370.627,2399.935,281.973,218.396,8.407,10.989,17.088,16.803
17876_metacarpal_slices_trimmed.tif,5,12,134.03,51.214,44.612,1.8,51.214,44.612,0.882,7.954,8.728,1994.702,2642.86,13.323,302.799,250.791,439.427,14.791,18.043,2.614,59.036,4.078,1.589,1.3,1.571,3.142,2381.266,2256.296,281.212,215.881,8.468,10.452,16.483,16.661
17876_metacarpal_slices_trimmed.tif,5,13,134.514,51.144,44.426,1.8,51.144,44.426,1.104,8.285,8.574,1970.172,2511.34,17.875,292.914,237.797,441.73,14.006,17.142,2.544,55.99,3.939,1.735,1.183,1.571,3.142,2401.649,2079.862,248.997,212.733,9.645,9.777,15.664,14.525
17876_metacarpal_slices_trimmed.tif,5,14,142.12,51.204,43.858,1.8,51.204,43.858,-1.526,9.022,9.866,2081.968,2770.073,23.639,280.773,230.777,479.06,11.317,16.418,2.332,63.694,5.127,3.102,1.657,1.571,3.142,2768.694,2083.347,283.867,231.926,9.753,8.983,14.703,13.03
17876_metacarpal_slices_trimmed.tif,5,15,138.308,51.833,42.575,1.8,51.833,42.575,1.428,8.75,9.307,1386.218,2750.679,22.586,295.563,158.42,444.498,0.665,2.66,1.3,6.082,6.35,4.258,1.832,1.571,3.142,2723.125,1413.772,294.115,162.759,9.259,8.686,0.926,2.563
17876_metacarpal_slices_trimmed.tif,5,16,150.802,51.23,41.978,1.8,51.23,41.978,1.308,7.773,9.668,1973.163,2433.61,23.443,251.71,253.846,455.498,14.353,16.09,1.35,57.34,6.48,2.998,2.372,1.571,3.142,2402.64,2004.133,252.928,250.158,9.499,8.011,14.703,15.7
