Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,1,41.609,19.584,13.552,1.8,19.584,13.552,-1.26,2.65,9.277,55.638,1196.095,6.285,128.927,20.994,134.883,4.95,9.797,1.195,44.993,1.351,0.779,0.34,1.85,3.421,1194.935,56.798,128.907,21.2,9.27,2.679,5.384,9.766
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,2,60.42,19.182,14.796,1.8,19.182,14.796,-1.31,4.051,9.291,212.126,1525.31,9.398,164.177,52.367,184.786,0.934,2.038,1.232,7.912,2.666,0.846,0.789,1.85,3.421,1524.886,212.55,164.619,54.007,9.263,3.936,1.116,2.034
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,3,84.938,19.214,14.902,1.8,19.214,14.902,-1.338,5.062,9.507,522.676,2305.08,13.4,242.466,103.248,287.802,8.549,11.42,2.005,99.049,3.184,1.156,0.991,1.85,3.421,2301.306,526.451,245.215,110.592,9.385,4.76,8.578,9.927
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,4,106.442,19.2,14.797,1.8,19.2,14.797,-1.334,6.425,9.629,975.418,2945.319,16.767,305.867,151.828,387.428,11.912,19.688,1.742,173.895,3.73,1.221,1.121,1.85,3.421,2941.708,979.029,309.899,151.59,9.492,6.458,11.912,17.93
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,5,121.934,19.161,14.687,1.8,19.161,14.687,-1.335,6.999,9.735,1374.801,3310.452,19.209,340.057,196.423,452.738,12.984,20.284,1.783,159.744,3.025,1.252,0.966,1.85,3.421,3306.882,1378.372,344.905,196.034,9.588,7.031,12.984,18.324
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,6,134.654,19.129,14.874,1.8,19.129,14.874,-1.305,7.587,9.869,1694.108,3480.002,20.895,352.634,223.284,482.214,13.841,20.498,1.82,158.299,3.26,1.258,0.974,1.85,3.421,3479.675,1694.435,354.502,222.953,9.816,7.6,13.894,18.494
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,7,138.064,19.086,14.986,1.8,19.086,14.986,-1.336,7.918,10.019,1944.243,3444.984,21.763,343.853,245.532,494.466,14.393,20.534,1.859,176.035,3.595,1.276,1.028,1.85,3.421,3442.053,1947.173,348.668,244.427,9.872,7.966,14.49,18.412
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,8,134.904,19.137,15.058,1.8,19.137,15.058,-1.358,8.215,10.045,2087.004,3306.277,21.478,329.134,254.035,491.835,14.821,20.566,0.7,162.761,2.961,1.033,0.785,1.85,3.421,3300.948,2092.333,336.871,251.827,9.799,8.309,14.92,18.049
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,9,126.997,19.17,15.198,1.8,19.17,15.198,-1.302,8.546,9.778,2040.265,3056.869,19.672,312.616,238.728,465.049,15.063,20.531,0.706,193.676,1.851,0.764,0.511,1.85,3.421,3056.761,2040.373,314.048,238.369,9.733,8.56,15.194,17.581
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,10,119.432,19.197,15.209,1.8,19.197,15.209,-1.282,8.624,9.74,2080.243,2985.983,18.293,306.578,241.222,465.403,15.079,20.562,0.702,249.473,1.91,0.668,0.47,1.85,3.421,2985.903,2080.323,307.772,241.538,9.702,8.613,15.253,17.824
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,11,109.919,19.224,15.449,1.8,19.224,15.449,-1.22,8.788,10.665,1977.828,3035.054,16.159,284.57,225.067,445.069,15.079,20.864,0.719,101.19,1.6,0.646,0.458,1.85,3.421,3029.685,1983.197,291.762,227.951,10.384,8.7,15.273,18.65
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,12,103.531,19.032,15.632,1.8,19.032,15.632,-1.263,8.623,10.998,1958.866,3198.658,15.676,290.841,227.165,436.258,15.26,20.677,1.864,194.056,1.78,0.66,0.501,1.85,3.421,3197.681,1959.842,293.72,228.53,10.887,8.576,15.46,18.021
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,13,100.709,18.921,15.506,1.8,18.921,15.506,-1.275,8.366,11.07,1882.278,3430.29,15.362,309.882,224.98,444.844,14.149,21.015,0.719,204.564,1.759,0.581,0.454,1.85,3.421,3429.882,1882.685,311.892,225.825,10.997,8.337,14.355,20.113
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,14,92.425,19.131,15.323,1.8,19.131,15.323,-1.297,8.345,11.027,1783.145,3409.973,14.278,309.239,213.678,442.848,14.873,19.879,0.515,213.746,1.745,0.558,0.429,1.85,3.421,3409.925,1783.193,308.722,213.517,11.045,8.352,14.92,17.772
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,15,79.41,19.657,15.629,1.8,19.657,15.629,-1.346,8.748,11.143,1600.515,3010.406,12.579,270.149,182.95,392.212,14.18,19.955,0.511,193.246,1.529,0.463,0.317,1.85,3.421,3006.189,1604.733,266.58,181.455,11.277,8.844,15.168,18.013
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,16,65.379,20.185,15.836,1.8,20.185,15.836,-1.23,9.259,11.546,1366.541,2610.761,9.682,226.127,147.587,337.624,6.909,14.317,2.652,91.449,1.068,0.4,0.23,1.85,3.421,2606.118,1371.184,228.784,149.784,11.391,9.154,14.056,10.003
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,17,45.314,19.937,15.77,1.8,19.937,15.77,-1.236,8.79,11.559,1053.445,1732.141,6.738,149.85,119.85,235.697,5.912,15.626,2.13,83.703,1.084,0.42,0.262,1.85,3.421,1730.062,1055.525,151.564,121.364,11.415,8.697,11.746,10.968
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,18,39.724,19.613,15.926,1.8,19.613,15.926,-1.32,7.887,11.337,952.532,1493.485,6.213,131.734,120.776,202.96,3.244,5.37,1.247,29.002,0.958,0.415,0.24,1.85,3.421,1493.049,952.968,130.522,120.032,11.439,7.939,3.345,5.365
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,19,40.108,19.911,16.06,1.8,19.911,16.06,-1.448,8.256,10.674,962.777,1578.637,6.585,147.889,116.621,213.028,3.297,5.9,1.358,33.119,0.958,0.441,0.226,1.85,3.421,1563.623,977.79,137.896,126.653,11.339,7.72,3.611,5.887
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,20,41.444,20.184,16.288,1.8,20.184,16.288,-1.357,7.57,10.992,983.236,1691.331,6.595,153.868,129.879,226.611,2.844,10.144,1.167,37.804,1.179,0.498,0.27,1.85,3.421,1688.332,986.236,150.746,130.11,11.2,7.58,3.219,10.084
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,21,44.501,20.439,16.385,1.8,20.439,16.385,-1.307,7.419,11.023,1080.616,1795.333,6.913,162.871,145.664,247.378,13.439,17.567,0.365,109.722,1.084,0.528,0.253,1.85,3.421,1795.159,1080.791,162.067,144.951,11.077,7.456,14.885,14.751
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,22,46.883,20.738,16.408,1.8,20.738,16.408,-1.288,7.341,10.873,1080.488,1989.45,7.206,182.976,147.19,267.932,14.706,19.487,1.253,168.656,1.368,0.599,0.32,1.85,3.421,1989.439,1080.499,183.182,147.313,10.86,7.335,14.706,19.473
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,23,50.407,20.639,16.328,1.8,20.639,16.328,-1.289,7.7,10.687,1162.802,2065.314,7.751,193.251,151.007,283.956,14.647,19.345,1.229,159.496,1.307,0.683,0.353,1.85,3.421,2065.308,1162.809,193.415,150.956,10.678,7.703,14.753,19.316
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,24,55.218,20.786,16.483,1.8,20.786,16.483,-1.307,7.761,10.612,1285.843,2128.632,8.576,200.593,165.685,300.508,14.561,19.22,1.32,165.888,1.402,0.707,0.348,1.85,3.421,2128.437,1286.038,199.865,166.59,10.649,7.72,14.802,19.212
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,25,58.574,20.867,16.516,1.8,20.867,16.516,-1.321,7.852,10.48,1348.956,2227.666,9.165,212.573,171.797,317.694,14.474,19.159,1.218,65.699,1.402,0.773,0.371,1.85,3.421,2226.917,1349.705,210.458,173.09,10.581,7.798,14.802,19.135
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,26,60.843,20.95,16.439,1.8,20.95,16.439,-1.335,7.932,10.207,1392.737,2249.43,9.589,220.382,175.578,326.875,14.36,19.063,1.06,66.101,1.424,0.788,0.381,1.85,3.421,2247.785,1394.382,217.112,178.014,10.353,7.833,14.7,19.009
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,27,62.684,21.063,16.525,1.8,21.063,16.525,-1.334,7.889,10.13,1432.668,2231.511,9.875,220.285,181.604,331.257,14.304,18.923,1.158,61.189,1.592,0.824,0.396,1.85,3.421,2230.039,1434.14,216.783,184.103,10.287,7.79,14.603,18.886
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,28,63.251,21.205,16.587,1.8,21.205,16.587,-1.32,7.768,10.095,1425.456,2225.274,9.891,220.435,183.506,333.956,14.289,18.841,1.183,61.724,1.568,0.912,0.419,1.85,3.421,2224.641,1426.09,218.414,184.771,10.185,7.718,14.515,18.75
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,29,65.501,21.518,16.53,1.8,21.518,16.53,-1.29,7.497,9.937,1461.571,2304.41,10.079,231.908,194.964,354.468,14.242,18.718,1.141,58.42,1.88,0.995,0.455,1.85,3.421,2304.409,1461.572,232.023,194.945,9.932,7.497,14.403,18.608
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,30,67.346,21.678,16.496,1.8,21.678,16.496,-1.306,7.423,9.666,1458.203,2347.006,10.455,242.809,196.449,364.418,14.188,18.594,1.147,59.144,1.857,1.06,0.476,1.85,3.421,2346.824,1458.385,241.615,196.773,9.713,7.412,14.31,18.428
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,31,68.325,21.765,16.535,1.8,21.765,16.535,-1.312,7.388,9.56,1447.486,2340.457,10.64,244.813,195.915,367.896,14.143,18.425,1.13,56.734,1.692,1.064,0.434,1.85,3.421,2340.092,1447.851,243.029,196.962,9.629,7.351,14.214,18.266
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,32,70.995,21.913,16.569,1.8,21.913,16.569,-1.3,7.261,9.454,1465.239,2381.588,10.983,251.907,201.801,379.968,14.087,18.184,1.168,56.071,1.863,1.138,0.464,1.85,3.421,2381.529,1465.298,251.244,202.022,9.479,7.253,14.18,18.08
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,33,74.295,22.086,16.533,1.8,22.086,16.533,-1.294,7.133,9.322,1516.319,2415.166,11.456,259.071,212.584,396.913,14.087,18.063,1.174,55.632,2.014,1.164,0.503,1.85,3.421,2415.162,1516.323,258.883,212.626,9.329,7.131,14.175,17.972
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,34,75.781,22.135,16.532,1.8,22.135,16.532,-1.287,7.091,9.225,1520.872,2400.477,11.637,260.202,214.478,401.185,14.005,17.883,1.183,55.079,1.995,1.194,0.508,1.85,3.421,2400.455,1520.894,260.605,214.387,9.211,7.094,14.097,17.825
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,35,77.469,22.253,16.608,1.8,22.253,16.608,-1.287,7.009,9.18,1524.115,2402.777,11.9,261.742,217.459,407.268,13.946,17.742,1.214,54.392,2.165,1.283,0.539,1.85,3.421,2402.76,1524.133,262.066,217.41,9.169,7.01,14.019,17.708
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,36,79.6,22.346,16.534,1.8,22.346,16.534,-1.289,6.996,9.007,1521.661,2433.998,12.243,270.227,217.504,420.032,13.884,17.598,1.196,54.906,2.113,1.427,0.544,1.85,3.421,2433.994,1521.666,270.361,217.497,9.003,6.996,13.951,17.59
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,37,82.143,22.407,16.533,1.8,22.407,16.533,-1.284,6.963,8.945,1537.515,2451.379,12.598,274.049,220.804,428.203,13.836,17.534,1.274,53.208,2.248,1.514,0.542,1.85,3.421,2451.332,1537.562,274.456,220.852,8.932,6.962,13.849,17.531
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,38,84.331,22.446,16.499,1.8,22.446,16.499,-1.264,6.906,8.858,1537.513,2456.895,12.77,277.352,222.621,436.111,13.742,17.432,1.272,52.982,2.417,1.578,0.588,1.85,3.421,2456.179,1538.229,278.798,223.176,8.81,6.892,13.746,17.428
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,39,86.521,22.48,16.515,1.8,22.48,16.515,-1.27,6.854,8.794,1534.085,2473.595,13.154,281.292,223.811,441.331,13.643,17.353,1.273,52.407,2.48,1.754,0.542,1.85,3.421,2473.156,1534.524,282.559,224.134,8.753,6.846,13.648,17.35
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,40,88.359,22.536,16.534,1.8,22.536,16.534,-1.273,6.832,8.73,1521.662,2474.239,13.457,283.429,222.729,444.967,13.522,17.296,1.291,51.859,2.563,1.836,0.557,1.85,3.421,2473.906,1521.995,284.324,223.069,8.701,6.823,13.526,17.296
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,41,89.943,22.572,16.561,1.8,22.572,16.561,-1.291,6.786,8.683,1507.121,2469.909,13.851,284.459,222.085,446.118,13.417,17.258,1.284,51.624,2.568,1.88,0.581,1.85,3.421,2469.909,1507.121,284.461,222.085,8.683,6.786,13.418,17.257
MCZ17877_Pleonensis_metatarsal_bonejtrimmed.tif,10,42,91.081,22.612,16.594,1.8,22.612,16.594,-1.285,6.772,8.67,1490.095,2451.837,13.976,282.783,220.051,444.653,13.332,17.218,1.292,51.025,2.673,2.061,0.548,1.85,3.421,2451.799,1490.132,283.004,220.095,8.663,6.77,13.335,17.218
