Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ19205hyracotherium_bonejtrimmed.tif,5,1,5.767,89.029,141.669,1.8,89.029,141.669,-0.082,1.794,1.796,3.319,3.396,0.006,1.891,1.85,3.331,3.084,3.705,0.695,11.511,1.853,1.494,0.404,2.705,4.276,3.391,3.324,1.783,1.683,1.902,1.976,3.203,3.582
MCZ19205hyracotherium_bonejtrimmed.tif,5,2,21.83,89.119,141.742,1.8,89.119,141.742,-0.389,2.812,3.054,32.398,51.886,0.523,16.992,11.523,24.514,5.154,6.638,0.849,22.321,3.89,3.31,0.917,2.705,4.276,51.844,32.44,16.654,11.486,3.113,2.824,5.202,6.276
MCZ19205hyracotherium_bonejtrimmed.tif,5,3,28.863,89.199,141.759,1.8,89.199,141.759,-0.474,3.202,3.361,60.948,79.195,1.004,23.566,19.032,37.097,5.958,7.434,0.978,24.375,4.981,4.367,1.088,2.705,4.276,79.167,60.976,23.95,19.072,3.306,3.197,6.004,6.62
MCZ19205hyracotherium_bonejtrimmed.tif,5,4,31.775,89.253,141.724,1.8,89.253,141.724,-0.658,3.25,3.803,77.379,92.052,1.983,24.204,23.807,42.958,6.24,7.832,1.012,25.422,5.304,4.56,1.277,2.705,4.276,91.336,78.095,26.098,23.57,3.5,3.313,6.262,6.9
MCZ19205hyracotherium_bonejtrimmed.tif,5,5,34.082,89.303,141.713,1.8,89.303,141.713,-0.561,3.407,3.845,79.498,116.072,1.609,30.186,23.332,48.034,6.228,7.974,1.041,26.052,5.071,4.399,1.26,2.705,4.276,115.501,80.07,31.516,23.53,3.665,3.403,6.283,7.272
MCZ19205hyracotherium_bonejtrimmed.tif,5,6,34.251,89.325,141.529,1.8,89.325,141.529,-0.479,2.727,4.311,60.206,162.868,1.213,37.783,22.074,50.706,5.449,8.354,0.896,26.804,4.563,4.067,0.918,2.705,4.276,162.679,60.394,38.105,21.283,4.269,2.838,5.467,8.34
MCZ19205hyracotherium_bonejtrimmed.tif,5,7,36.346,89.212,141.403,1.8,89.212,141.403,-0.455,2.741,4.815,56.291,217.389,1.172,45.151,20.537,56.25,5.452,9.406,0.402,26.608,4.513,4.087,0.716,2.705,4.276,217.33,56.351,45.227,20.184,4.805,2.792,5.46,9.4
MCZ19205hyracotherium_bonejtrimmed.tif,5,8,36.839,89.053,141.303,1.8,89.053,141.303,-0.45,2.754,4.857,57.224,218.327,1.164,44.947,20.776,56.443,5.403,9.551,0.436,26.215,4.475,4.19,0.57,2.705,4.276,218.294,57.257,45.007,20.512,4.85,2.791,5.417,9.551
MCZ19205hyracotherium_bonejtrimmed.tif,5,9,34.968,88.997,141.245,1.8,88.997,141.245,-0.442,2.583,4.823,50.429,197.4,1.065,40.93,19.524,50.996,5.122,9.393,0.43,25.642,4.501,4.246,0.493,2.705,4.276,197.395,50.434,40.957,19.431,4.82,2.595,5.152,9.393
MCZ19205hyracotherium_bonejtrimmed.tif,5,10,32.197,89.02,141.156,1.8,89.02,141.156,-0.414,2.393,4.638,42.189,171.694,0.869,37.017,17.632,45.587,4.819,9.176,0.469,24.595,4.296,3.976,0.617,2.705,4.276,171.632,42.252,36.887,17.76,4.653,2.379,4.864,9.171
