Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,1,6.829,20.241,15.314,1.8,20.241,15.314,1.51,1.429,1.956,2.489,5.931,1.134,3.032,1.741,4.304,2.612,3.772,1.907,11.256,2.117,1.934,0.313,0.035,1.606,2.52,5.899,1.806,3.025,1.395,1.951,3.662,2.656
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,2,39.064,20.048,14.602,1.8,20.048,14.602,1.283,4.363,4.22,126.335,144.52,5.986,34.247,28.954,61.734,7.411,8.016,2.112,25.966,2.856,2.059,0.678,0.035,1.606,128.162,142.693,32.054,33.233,3.998,4.294,7.67,7.885
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,3,95.768,21.132,14.101,1.8,21.132,14.101,-0.009,6.041,9.019,530.875,1720.871,0.001,190.799,87.878,249.426,10.438,17.712,3.095,50.441,3.454,1.756,0.965,0.035,1.606,1718.61,533.136,190.372,87.591,9.028,6.087,10.547,17.711
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,4,150.168,21.55,14.12,1.8,21.55,14.12,0.009,7.006,11.223,1187.066,5141.398,0.002,458.103,169.447,563.215,12.59,21.959,0.052,61.804,4.003,1.643,1.156,0.035,1.606,5138.663,1189.801,458.443,168.865,11.209,7.046,12.653,21.929
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,5,191.582,21.593,14.193,1.8,21.593,14.193,0.012,7.686,12.303,2100.51,8503.674,0.005,691.167,273.3,859.51,14.241,23.979,0.068,69.123,4.486,1.454,1.237,0.035,1.606,8500.279,2103.905,691.003,272.477,12.301,7.721,14.283,23.906
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,6,222.586,21.46,14.249,1.8,21.46,14.249,0.01,8.265,12.843,3171.216,11488.172,0.004,894.499,383.701,1134.958,15.557,25.572,0.178,74.404,3.851,1.164,0.951,0.035,1.606,11482.908,3176.48,894.764,382.819,12.833,8.298,15.563,25.275
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,7,246.342,21.264,14.267,1.8,21.264,14.267,0.003,8.735,13.178,4358.916,13964.638,4.81E-04,1059.71,499.011,1358.74,16.696,26.95,0.258,78.988,2.994,0.985,0.758,0.035,1.606,13955.109,4368.445,1063.596,497.954,13.121,8.773,16.706,26.227
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,8,264.18,21.053,14.308,1.8,21.053,14.308,0.002,9.19,13.687,5667.268,15874.876,1.68E-04,1159.875,616.679,1517.856,17.693,28.152,0.285,83.519,2.68,0.863,0.647,0.035,1.606,15863.803,5678.341,1168.778,616.029,13.573,9.218,17.731,26.99
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,9,275.139,20.968,14.335,1.8,20.968,14.335,0.007,9.559,14.036,6958.047,17252.183,0.002,1229.12,727.879,1648.179,18.583,29.136,0.331,86.875,2.367,0.776,0.6,0.035,1.606,17243.999,6966.232,1238.981,726.949,13.918,9.583,18.632,27.609
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,10,286.043,20.978,14.397,1.8,20.978,14.397,0.018,9.894,14.155,8193.983,18604.454,0.015,1314.323,828.148,1766.623,19.414,29.963,0.356,90.176,2.517,0.719,0.561,0.035,1.606,18601.466,8196.971,1321.144,827.698,14.08,9.903,19.44,28.105
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,11,297.087,20.95,14.394,1.8,20.95,14.394,0.029,10.227,14.338,9455,19999.085,0.043,1394.8,924.499,1888.141,20.114,30.628,0.386,92.559,2.036,0.67,0.498,0.035,1.606,19998.77,9455.315,1397.322,924.262,14.312,10.23,20.16,28.578
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,12,306.436,20.884,14.444,1.8,20.884,14.444,0.032,10.429,14.571,10641.9,21502.624,0.053,1475.698,1020.394,2012.414,20.684,31.199,0.395,94.987,2.104,0.672,0.517,0.035,1.606,21502.538,10641.986,1477.045,1020.248,14.558,10.431,20.742,28.874
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,13,313.227,20.852,14.422,1.8,20.852,14.422,0.035,10.674,14.847,11792.286,22565.501,0.064,1519.902,1104.718,2107.497,21.215,31.776,0.42,97.098,2.124,0.649,0.516,0.035,1.606,22565.501,11792.286,1519.838,1104.729,14.847,10.674,21.234,29.228
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,14,316.057,20.78,14.373,1.8,20.78,14.373,0.044,10.931,14.94,12723.082,23093.223,0.101,1545.758,1163.977,2151.549,21.704,32.253,0.421,99.102,2.036,0.662,0.538,0.035,1.606,23092.401,12723.903,1542.725,1164.479,14.969,10.927,21.704,29.424
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,15,320.261,20.698,14.347,1.8,20.698,14.347,0.053,11.146,15.223,13668.434,23627.648,0.151,1552.107,1226.258,2211.038,22.148,32.682,0.436,100.914,2.207,0.653,0.544,0.035,1.606,23624.333,13671.75,1562.719,1220.066,15.117,11.206,22.192,29.793
TapirusbairdiiMCIII_63107_8bit_trimmed.tif,5,16,318.505,20.682,14.269,1.8,20.682,14.269,0.051,11.365,15.308,14365.554,23572.028,0.136,1539.851,1263.964,2223.952,22.525,33.072,0.446,102.69,2.142,0.642,0.541,0.035,1.606,23569.731,14367.851,1549.321,1248.572,15.213,11.507,22.628,30.032
