Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
T bairdiiTIFFstack_bonejtrimmed.tif,10,1,13.812,44.326,58.796,1.8,44.326,58.796,-1.217,2.081,2.45,12.521,20.528,2.025,8.378,6.018,12.43,3.806,5.038,0.746,19.278,2.094,1.554,0.516,2.81,4.381,15.736,17.313,6.353,6.875,2.477,2.518,4.749,4.646
T bairdiiTIFFstack_bonejtrimmed.tif,10,2,40.141,44.16,59.168,1.8,44.16,59.168,-0.756,4.381,5.821,160.379,229.108,3.149,39.358,36.607,64.434,7.676,9.494,0.298,38.274,1.628,0.814,0.433,2.81,4.381,217.453,172.034,36.265,34.71,5.996,4.956,8.608,9.491
T bairdiiTIFFstack_bonejtrimmed.tif,10,3,75.244,43.382,59.458,1.8,43.382,59.458,-0.305,6.223,10.258,467.288,1618.958,1.13,157.825,75.095,200.924,2.515,3.183,2.875,20.19,1.424,0.56,0.362,2.81,4.381,1618.134,468.111,158.314,75.617,10.221,6.191,2.517,3.094
T bairdiiTIFFstack_bonejtrimmed.tif,10,4,120.7,42.859,59.344,1.8,42.859,59.344,-0.278,6.85,11.412,967.875,4676.492,1.519,409.797,141.302,493.345,12.499,22.522,0.27,73.669,1.375,0.528,0.33,2.81,4.381,4665.999,978.368,407.9,144.997,11.439,6.748,12.684,22.488
T bairdiiTIFFstack_bonejtrimmed.tif,10,5,155.379,42.933,59.177,1.8,42.933,59.177,-0.276,7.508,12.433,1654.612,7487.452,1.923,602.202,220.377,732.954,14.023,24.343,0.101,78.057,1.561,0.517,0.297,2.81,4.381,7469.415,1672.649,599.188,224.968,12.466,7.435,14.146,24.211
T bairdiiTIFFstack_bonejtrimmed.tif,10,6,179.481,43.118,59.057,1.8,43.118,59.057,-0.278,8.132,12.752,2426.191,9658.59,2.258,757.413,298.363,924.532,15.29,25.671,0.065,95.479,1.836,0.526,0.339,2.81,4.381,9638.058,2446.723,755.236,303.297,12.762,8.067,15.427,25.119
T bairdiiTIFFstack_bonejtrimmed.tif,10,7,198.896,43.197,58.982,1.8,43.197,58.982,-0.277,8.638,13.056,3323.25,11305.099,2.475,865.894,384.718,1073.479,16.371,26.537,0.032,92.648,1.766,0.525,0.352,2.81,4.381,11281.118,3347.231,860.348,390.491,13.112,8.572,16.488,25.879
T bairdiiTIFFstack_bonejtrimmed.tif,10,8,214.579,43.361,58.859,1.8,43.361,58.859,-0.291,9.027,13.188,4268.89,12696.866,2.95,962.774,472.888,1201.223,17.357,27.188,3.09,91.692,1.542,0.5,0.315,2.81,4.381,12683.194,4282.562,957.251,476.016,13.25,8.997,17.437,26.48
T bairdiiTIFFstack_bonejtrimmed.tif,10,9,228.469,43.446,58.841,1.8,43.446,58.841,-0.303,9.448,13.378,5230.281,13833.595,3.38,1034.068,553.558,1317.318,18.202,27.8,3.061,97.593,1.675,0.512,0.335,2.81,4.381,13826.318,5237.557,1027.594,555.548,13.455,9.428,18.258,26.9
T bairdiiTIFFstack_bonejtrimmed.tif,10,10,239.592,43.534,58.785,1.8,43.534,58.785,-0.308,9.817,13.621,6195.792,14747.214,3.678,1082.683,631.127,1415.716,18.979,28.398,3.023,94.488,1.592,0.503,0.334,2.81,4.381,14742.589,6200.416,1076.688,632.585,13.693,9.802,19.006,27.195
