Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,1,10.136,55.734,39.957,1.8,55.734,39.957,-0.469,1.753,2.82,5.112,20.131,0.345,7.139,2.916,8.903,3.16,5.373,0.234,15.536,2.19,1.89,0.361,5.445,0.733,18.183,7.06,6.602,2.941,2.754,2.401,3.878,4.951
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,2,22.231,55.588,40.213,1.8,55.588,40.213,-0.472,2.68,3.995,37.553,76.19,0.766,19.074,14.014,27.056,5.266,7.119,3.065,23.034,1.324,0.772,0.358,5.445,0.733,71.251,42.492,16.964,12.564,4.2,3.382,5.884,6.308
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,3,33.638,56.025,39.86,1.8,56.025,39.86,-0.642,3.806,5.288,87.214,197.93,2.013,37.433,22.916,53.186,6.456,8.196,2.998,40.902,1.744,0.91,0.458,5.445,0.733,193.762,91.382,36.175,22.812,5.356,4.006,7.183,6.633
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,4,45.825,56.436,39.462,1.8,56.436,39.462,-0.691,4.399,5.844,145.951,368.697,3.101,63.088,33.179,87.204,6.572,9.027,2.924,39.756,1.779,0.935,0.457,5.445,0.733,363.924,150.724,61.759,33.796,5.893,4.46,8.116,6.703
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,5,57.056,56.584,39.341,1.8,56.584,39.341,-0.751,4.753,6.225,219.483,511.234,4.426,82.125,46.178,115.887,7.046,9.612,2.879,32.745,2.34,1.086,0.643,5.445,0.733,509.032,221.685,81.168,46.558,6.271,4.761,8.795,7.102
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,6,64.399,56.607,39.297,1.8,56.607,39.297,-0.747,5.1,6.295,287.042,600.762,4.954,95.441,56.283,137.161,7.188,10.093,2.852,37.459,2.19,1.016,0.557,5.445,0.733,598.18,289.624,93.415,56.868,6.403,5.093,9.398,7.252
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,7,70.288,56.648,39.249,1.8,56.648,39.249,-0.753,5.282,6.291,351.099,692.62,5.484,110.094,66.467,159.497,7.264,10.41,2.806,36.17,2.868,1.213,0.79,5.445,0.733,690.2,353.519,107.583,67.166,6.415,5.263,9.763,7.27
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,8,75.429,56.645,39.217,1.8,56.645,39.217,-0.712,5.578,6.185,403.199,754.903,5.368,122.05,72.285,177.171,7.709,10.691,2.776,43.291,2.271,1.143,0.62,5.445,0.733,749.386,408.716,118.388,73.675,6.33,5.548,10.169,7.757
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,9,79.195,56.577,39.239,1.8,56.577,39.239,-0.707,5.672,6.535,443.853,796.702,5.567,121.909,78.256,181.224,8.332,10.675,2.76,38.897,3.309,1.369,0.877,5.445,0.733,790.687,449.868,126.454,79.756,6.253,5.641,10.285,8.389
MCZ6927mesohippusbarbouri_3digits_bonejtrimmed.tif,5,10,80.692,56.537,39.335,1.8,56.537,39.335,-0.701,5.744,6.725,463.92,841.978,5.588,125.193,80.764,186.056,8.604,10.746,2.981,46.904,2.868,1.285,0.817,5.445,0.733,834.903,470.995,130.478,82.466,6.399,5.711,10.377,8.702
