Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,1,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.952,1.239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,2,35.291,167.402,105.126,1.8,167.402,105.126,-0.314,3.248,5.694,39.641,340.331,0.562,59.768,12.203,65.251,5.337,11.416,0.51,34.093,3.226,2.525,0.715,5.952,1.239,340.24,39.732,59.538,12.217,5.715,3.252,5.337,11.405
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,3,63.888,167.379,105.29,1.8,167.379,105.29,-0.319,4.336,5.964,187.083,651.859,1.049,109.299,43.149,134.04,7.545,12.362,0.711,40.109,5.583,4.122,1.78,5.952,1.239,651.79,187.152,109.001,43.171,5.98,4.335,7.545,11.854
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,4,79.81,167.353,105.388,1.8,167.353,105.388,-0.32,4.984,6.056,355.335,822.882,1.313,135.868,71.298,178.969,8.856,13.087,0.811,43.071,6.792,5.121,2.214,5.952,1.239,822.817,355.401,135.237,71.362,6.084,4.98,8.891,11.972
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,5,89.544,167.32,105.494,1.8,167.32,105.494,-0.35,5.406,6.221,511.41,909.374,1.75,146.188,94.594,206.921,9.715,13.616,0.915,44.367,7.77,6.147,2.344,5.952,1.239,909.243,511.541,147.292,94.561,6.173,5.41,9.756,12.117
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,6,96.83,167.293,105.591,1.8,167.293,105.591,-0.379,5.721,6.409,647.981,986.375,2.205,153.894,113.27,226.995,10.315,14.161,0.934,45.079,7.781,6.169,2.332,5.952,1.239,985.619,648.737,156.396,112.786,6.302,5.752,10.356,12.453
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,7,103.976,167.275,105.697,1.8,167.275,105.697,-0.401,5.901,6.661,745.514,1116.644,2.635,167.637,126.333,254.523,10.661,14.375,0.985,45.385,8.234,6.967,2.194,5.952,1.239,1114.871,747.287,171.175,125.424,6.513,5.958,10.723,12.937
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,8,109.757,167.288,105.765,1.8,167.288,105.765,-0.395,6.084,6.947,801.183,1282.049,2.711,184.544,131.683,282.695,10.913,14.345,1.003,46.397,6.846,5.572,1.449,5.952,1.239,1280.096,803.136,188.109,130.824,6.805,6.139,10.979,13.508
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,9,112.556,167.315,105.768,1.8,167.315,105.768,-0.382,6,7.295,788.484,1426.583,2.607,195.543,131.413,290.054,10.78,14.396,0.873,47.403,7.682,6.25,1.783,5.952,1.239,1424.954,790.113,197.888,130.852,7.201,6.038,10.828,14.332
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,10,111.501,167.34,105.747,1.8,167.34,105.747,-0.362,5.743,7.543,715.259,1525.089,2.335,202.173,124.545,281.75,10.359,14.935,0.4,47.993,7.579,6.253,1.718,5.952,1.239,1524.32,716.028,204.258,124.215,7.463,5.764,10.415,14.9
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,11,106.142,167.367,105.907,1.8,167.367,105.907,-0.363,5.53,7.747,576.131,1574.584,2.233,203.243,104.175,265.066,9.85,15.342,0.422,49.346,7.276,5.444,2.001,5.952,1.239,1573.582,577.134,204.572,104.531,7.692,5.521,9.85,15.31
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,12,103.99,167.408,106.163,1.8,167.408,106.163,-0.364,5.283,7.863,516.481,1608.901,2.191,204.604,97.763,261.843,9.551,15.637,0.389,49.346,7.388,6.069,1.997,5.952,1.239,1607.782,517.6,206.084,97.926,7.802,5.286,9.587,15.612
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,13,101.612,167.404,106.348,1.8,167.404,106.348,-0.384,5.009,7.806,470.55,1550.973,2.382,198.701,93.938,252.76,9.125,15.607,0.423,48.438,7.214,6.262,1.788,5.952,1.239,1547.955,473.567,200.963,94.501,7.703,5.011,9.254,15.542
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,14,99.587,167.364,106.527,1.8,167.364,106.527,-0.398,4.818,7.919,439.172,1497.618,2.488,189.114,91.161,244.557,8.81,15.713,0.504,46.442,7.368,5.842,1.958,5.952,1.239,1493.013,443.777,188.812,91.262,7.907,4.863,9.034,15.549
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,15,97.322,167.37,106.604,1.8,167.37,106.604,-0.412,4.334,7.698,404.419,1467.274,2.607,190.594,93.32,242.623,8.237,15.54,0.546,45.338,7.59,6.762,1.625,5.952,1.239,1460.328,411.365,190.534,93.997,7.664,4.376,8.515,15.286
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,16,93.3,167.304,106.654,1.8,167.304,106.654,-0.416,4.087,7.662,353.893,1415.804,2.538,184.784,86.591,230.709,7.725,15.287,0.502,41.284,7.226,6.884,0.7,5.952,1.239,1408.272,361.425,183.714,89.751,7.666,4.027,7.986,15.17
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,17,89.713,167.302,106.645,1.8,167.302,106.645,-0.406,3.997,7.724,314.878,1370.726,2.337,177.471,78.773,213.766,7.439,15.328,0.381,40.936,7.024,6.619,0.825,5.952,1.239,1364.816,320.788,174.89,85.339,7.804,3.759,7.565,15.31
MCZ6927mesohippusbarbouri_mc_bonejtrimmed.tif,5,18,86.576,167.297,106.673,1.8,167.297,106.673,-0.398,3.88,7.722,287.84,1314.436,2.165,170.218,74.176,202.938,7.264,15.309,0.398,40.445,6.846,6.439,0.694,5.952,1.239,1309.941,292.335,167.642,80.433,7.814,3.635,7.377,15.275
