Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,1,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.917,1.204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,2,12.28,65.989,152.886,1.8,65.989,152.886,-0.279,2.191,3.98,7.872,52.009,0.155,13.066,3.593,14.586,3.684,7.691,0.297,43.45,1.006,0.575,0.235,5.917,1.204,51.673,8.208,13.327,3.479,3.877,2.359,4.135,7.672
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,3,32.436,65.76,153.174,1.8,65.76,153.174,-0.335,3.656,6.514,54.221,216.092,0.584,33.171,14.832,41.334,5.78,10.803,3.098,64.77,1.727,0.932,0.471,5.917,1.204,215.932,54.381,33.256,14.718,6.493,3.695,6,10.076
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,4,50.68,65.124,153.307,1.8,65.124,153.307,-0.285,4.238,6.096,147.897,484.821,0.667,79.534,34.901,102.349,7.574,12.155,3.044,61.346,2.704,1.272,0.743,5.917,1.204,482.589,150.13,79.137,34.793,6.098,4.315,8.052,11.539
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,5,60.343,65.219,153.387,1.8,65.219,153.387,-0.165,4.518,6.28,242.896,598.82,0.272,95.348,53.758,130.464,8.41,12.774,2.917,61.48,3.093,1.328,0.87,5.917,1.204,584.636,257.08,97.094,56.17,6.021,4.577,8.843,11.591
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,6,66.659,65.463,153.432,1.8,65.463,153.432,-0.071,5.042,6.682,304.525,685.446,0.056,102.579,60.395,144.863,9.238,13.337,2.981,66.107,3.621,1.442,1.091,5.917,1.204,653.202,336.768,108.36,66.277,6.028,5.081,9.534,11.871
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,7,67.235,65.642,153.574,1.8,65.642,153.574,-0.099,5.375,6.679,348.266,727.576,0.109,108.938,64.79,154.63,9.046,13.553,2.992,96.398,2.04,1.107,0.559,5.917,1.204,701.084,374.758,106.844,71.586,6.562,5.235,9.051,12.172
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,8,59.372,65.656,153.71,1.8,65.656,153.71,-0.133,5.451,6.663,311.898,692.53,0.175,103.942,57.219,143.98,8.98,13.707,2.976,111.598,1.66,0.831,0.404,5.917,1.204,672.252,332.175,98.389,61.589,6.833,5.393,9.132,13.037
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,9,49.737,65.611,153.669,1.8,65.611,153.669,-0.266,5.036,6.681,269.745,634.285,0.575,94.941,53.558,132.244,2.35,6.414,1.515,22.432,1.677,0.72,0.386,5.917,1.204,630.66,273.37,92.905,57.505,6.788,4.754,6.072,3.701
MCZ6927_mesohippusbarbouri_mt_bonejtrimmed.tif,10,10,40.341,65.383,153.425,1.8,65.383,153.425,-0.297,4.403,6.862,169.176,547.008,0.577,79.711,38.425,100.969,5.873,8.454,2.167,50.901,1.383,0.627,0.323,5.917,1.204,545.2,170.984,78.512,41.03,6.944,4.167,8.31,6.394
