Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,1,0.464,148.308,119.8,1.8,148.308,119.8,-1.342,0.344,0.401,0.015,0.024,0.073,0.059,0.043,0.094,0.712,0.956,2.09,2.823,0.671,0.587,0.143,5.236,0.524,0.023,0.015,0.057,0.04,0.41,0.381,0.869,0.956
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,2,40.383,150.01,116.617,1.8,150.01,116.617,-1.031,2.486,6.181,51.023,425.86,4.954,68.901,20.528,77.046,5.045,11.514,1.246,31.946,4.032,3.223,0.783,5.236,0.524,425.765,51.119,68.953,20.099,6.175,2.543,5.072,11.411
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,3,64.436,150.135,116.188,1.8,150.135,116.188,-1.028,3.315,5.914,191.054,737.288,7.878,124.672,57.639,147.262,6.768,12.505,0.617,36.626,5.131,3.704,1.336,5.236,0.524,737.094,191.247,124.718,56.619,5.91,3.378,6.768,11.743
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,4,75.028,150.155,116.099,1.8,150.155,116.099,-1.033,3.884,5.878,339.177,832.961,9.225,141.7,87.327,175.961,7.861,13.059,1.616,39.154,3.713,2.468,1.114,5.236,0.524,832.862,339.276,142.617,86.741,5.84,3.911,7.956,11.842
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,5,79.796,150.207,116.024,1.8,150.207,116.024,-1.043,4.303,5.96,461.012,854.222,9.922,143.325,107.133,191.539,8.674,13.444,1.65,41.08,3.502,2.041,1.098,5.236,0.524,854.214,461.021,142.983,107.159,5.974,4.302,8.696,11.857
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,6,81.189,150.183,115.96,1.8,150.183,115.96,-1.036,4.622,5.83,539.003,827.206,10.016,141.898,116.629,197.098,9.237,13.504,1.694,42.098,3.226,1.678,0.928,5.236,0.524,827.169,539.041,141.655,116.699,5.839,4.619,9.239,11.658
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,7,80.598,150.123,115.911,1.8,150.123,115.911,-1.105,4.984,5.899,580.863,791.285,10.727,134.137,116.556,198.599,9.615,13.421,1.766,43.059,2.866,1.542,0.812,5.236,0.524,790.581,581.567,131.242,118.65,6.024,4.902,9.681,11.992
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,8,80.542,150.019,115.923,1.8,150.019,115.923,-1.099,5.098,6.088,587.207,800.756,10.648,131.527,115.175,202.571,9.741,13.263,1.796,42.22,1.956,1.2,0.483,5.236,0.524,800.195,587.768,130.673,117.904,6.124,4.985,9.816,12.316
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,9,71.554,149.855,115.888,1.8,149.855,115.888,-1.09,5.139,6.28,525.078,770.712,9.378,122.722,102.179,192.346,9.762,13.006,0.504,41.202,2.25,1.012,0.539,5.236,0.524,770.26,525.53,121.862,102.151,6.321,5.145,9.903,12.711
MCZ7283archaeohippusnanus_bonejtrimmed.tif,5,10,63.325,149.679,115.879,1.8,149.679,115.879,-1.098,5.138,6.413,463.043,760.457,8.367,118.588,90.117,188.038,9.583,12.889,1.103,41.37,1.956,0.949,0.527,5.236,0.524,759.689,463.812,119.553,90.238,6.354,5.14,9.737,12.869
