Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,1,12.235,67.46,53.695,1.8,67.46,53.695,0.126,1.85,5.945,6.353,155.444,0.032,26.149,3.435,27.138,1.792,2.767,1.946,8.149,1.258,0.881,0.283,3.211,4.782,154.972,6.824,26.224,3.636,5.909,1.877,2.646,2.043
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,2,28.948,67.067,53.817,1.8,67.067,53.817,0.123,2.61,6.022,44.784,408.905,0.073,67.897,17.16,74.029,5.26,11.989,2.803,77.358,1.536,0.556,0.359,3.211,4.782,407.859,45.831,68.515,16.576,5.953,2.765,5.435,11.835
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,3,43.117,66.957,53.787,1.8,66.957,53.787,0.128,3.363,6.2,116.904,627.309,0.118,101.177,34.763,114.312,6.518,12.98,2.654,67.813,2.081,0.737,0.532,3.211,4.782,625.568,118.645,103,34.027,6.073,3.487,6.691,12.191
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,4,52.31,66.853,53.844,1.8,66.853,53.844,0.12,3.779,6.354,212.179,774.253,0.124,121.855,56.142,143.76,7.498,13.604,2.606,74.559,2.319,0.846,0.634,3.211,4.782,772.86,213.572,123.387,54.593,6.264,3.912,7.641,12.564
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,5,57.579,66.838,53.872,1.8,66.838,53.872,0.121,4.149,6.26,306.383,831.723,0.139,132.869,73.839,164.361,8.234,13.933,2.568,112.567,2.184,0.837,0.628,3.211,4.782,830.374,307.732,131.664,73.096,6.307,4.21,8.352,12.644
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,6,60.724,66.799,53.833,1.8,66.799,53.833,0.132,4.551,6.291,383.761,839.468,0.175,133.448,84.325,170.855,8.753,14.337,2.507,101.54,1.986,0.726,0.509,3.211,4.782,837.71,385.519,130.504,85.737,6.419,4.497,8.841,12.59
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,7,62.44,66.747,53.767,1.8,66.747,53.767,0.104,4.739,6.369,432.748,841.842,0.113,132.184,91.308,177.049,9.195,14.401,2.448,91.032,2.081,0.751,0.561,3.211,4.782,841.358,433.232,130.042,91.449,6.47,4.737,9.248,12.647
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,8,63.912,66.74,53.801,1.8,66.74,53.801,0.071,4.855,6.528,479.357,827.3,0.053,126.724,98.736,177.727,9.491,14.481,0.488,114.575,1.998,0.669,0.518,3.211,4.782,827.3,479.357,126.676,98.664,6.531,4.859,9.565,12.719
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,9,63.894,66.716,53.881,1.8,66.716,53.881,0.074,4.845,6.517,508.916,798.927,0.059,122.593,105.049,175.907,9.766,14.407,0.534,55.222,1.723,0.62,0.397,3.211,4.782,798.921,508.921,122.292,104.712,6.533,4.86,9.787,12.687
MCZ7283archaeodhippusnanus_mt_bonejtrimmed.tif,10,10,62.057,66.694,53.941,1.8,66.694,53.941,0.026,4.999,6.62,498.475,768.053,0.007,116.02,99.708,169.32,9.916,14.313,0.544,149.914,1.333,0.581,0.342,3.211,4.782,767.526,499.002,118.691,100.041,6.467,4.988,9.957,12.481
