Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,1,0.103,79.037,108.773,1.8,79.037,108.773,0.697,0.127,0.226,5.44E-04,0.002,0.007,0.007,0.004,0.009,0.331,0.552,2.356,1.194,0.312,0.298,0.045,3.176,4.747,0.001,9.15E-04,0.006,0.005,0.183,0.188,0.39,0.403
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,2,3.06,79.045,108.61,1.8,79.045,108.61,0.643,0.742,1.574,0.466,1.943,0.183,1.235,0.628,1.522,1.592,3.183,2.513,7.799,0.643,0.437,0.142,3.176,4.747,1.462,0.947,1.056,0.845,1.384,1.12,2.155,2.708
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,3,13.78,81.211,108.883,1.8,81.211,108.883,-0.865,4.055,4.466,28.852,91.797,1.331,20.556,7.115,26.262,2.386,4.618,2.488,30.62,1.258,0.49,0.341,3.176,4.747,53.175,67.474,12.912,15.53,4.118,4.345,3.128,3.977
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,4,28.905,81.146,109.676,1.8,81.146,109.676,-0.91,5.102,5.395,89.192,265.431,3.001,49.199,17.482,61.99,7.876,10.806,0.688,83.009,1.103,0.418,0.223,3.176,4.747,149.734,204.889,31.176,41.881,4.803,4.892,9.786,9.368
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,5,41.882,81.061,109.824,1.8,81.061,109.824,-0.903,5.574,5.775,183.585,404.914,4.301,70.113,32.938,94.494,9.066,11.746,0.529,124.729,1.438,0.453,0.264,3.176,4.747,261.111,327.389,46.737,58.866,5.587,5.562,10.987,10.47
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,6,50.698,81.095,109.742,1.8,81.095,109.742,-0.889,5.858,5.779,292.811,497.822,5.091,86.148,49.985,124.053,9.89,12.343,0.362,66.473,1.286,0.469,0.273,3.176,4.747,367.35,423.283,61.642,70.52,5.959,6.002,11.814,11.409
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,7,55.218,81.202,109.705,1.8,81.202,109.705,-0.824,6.146,6.168,379.577,554.771,4.961,89.948,61.757,139.51,10.582,13.301,0.353,119.224,1.103,0.439,0.229,3.176,4.747,454.266,480.082,73.61,76.696,6.171,6.26,12.002,12.334
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,8,56.679,81.321,109.728,1.8,81.321,109.728,-0.742,6.41,6.666,435.45,578.215,4.318,86.742,67.936,140.271,10.962,13.839,0.309,116.219,1.342,0.473,0.31,3.176,4.747,507.979,505.687,75.318,77.817,6.744,6.498,12.23,13.049
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,9,54.403,81.424,109.732,1.8,81.424,109.732,-0.633,6.4,7.093,464.297,558.832,3.171,78.788,72.547,137.659,10.926,14.019,0.253,156.683,1.591,0.48,0.377,3.176,4.747,522.588,500.542,73.596,75.275,7.101,6.65,12.276,13.46
MCZarchaeohippusblackbergi_bonejtrimmed.tif,5,10,51.398,81.489,109.777,1.8,81.489,109.777,-0.392,6.977,7.579,461.796,514.595,1.251,67.9,66.184,127.9,11.154,14.002,0.225,159.389,1.544,0.474,0.393,3.176,4.747,505.522,470.87,69.058,68.838,7.32,6.84,12.668,13.557
