Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,1,3.711,69.668,84.723,1.8,69.668,84.723,-0.23,0.965,1.258,0.835,1.461,0.032,1.161,0.866,1.818,1.942,2.593,0.274,7.357,1.872,1.818,0.158,4.398,5.969,0.84,1.457,0.857,1.165,0.979,1.25,2.591,1.995
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,2,21.373,68.868,81.999,1.8,68.868,81.999,1.288,2.347,7.475,22.137,294.676,3.285,39.42,9.43,42.38,4.258,4.748,0.249,14.761,3.506,2.798,0.798,4.398,5.969,294.407,22.406,39.415,9.206,7.469,2.434,4.738,4.338
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,3,50.655,68.476,80.671,1.8,68.476,80.671,1.28,3.037,6.435,93.402,657.908,7.751,102.243,30.752,114.138,6.04,12.531,2.188,36.856,3.862,2.278,1.137,4.398,5.969,657.587,93.723,102.554,29.882,6.412,3.136,6.046,12.186
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,4,65.762,68.421,80.459,1.8,68.421,80.459,1.276,3.537,6.345,197.129,825.003,10.034,130.022,55.736,153.772,6.985,13.156,2.289,38.771,3.602,2.194,1.086,4.398,5.969,824.772,197.361,130.506,54.529,6.32,3.619,7.047,12.359
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,5,76.147,68.42,80.364,1.8,68.42,80.364,1.264,3.983,6.25,313.033,958.937,11.536,153.428,78.599,185.043,7.827,13.68,2.34,41.012,3.257,2.061,1.05,4.398,5.969,958.9,313.071,153.81,77.937,6.234,4.017,8.032,12.453
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,6,81.538,68.431,80.297,1.8,68.431,80.297,1.262,4.355,6.259,425.355,1035.651,12.334,165.465,97.673,206.267,8.636,14.089,2.415,42.849,3.216,1.961,1.148,4.398,5.969,1035.634,425.373,165.04,97.693,6.275,4.354,8.749,12.536
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,7,85.006,68.446,80.251,1.8,68.446,80.251,1.248,4.644,6.365,523.163,1074.802,12.742,168.861,112.647,219.56,9.197,14.451,2.444,43.903,3.407,1.785,1.14,4.398,5.969,1074.762,523.203,169.607,112.608,6.337,4.646,9.269,12.558
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,8,87.153,68.48,80.159,1.8,68.48,80.159,1.243,4.877,6.461,603.15,1104.173,13.015,170.911,123.67,230.691,9.656,14.633,2.488,44.915,2.812,1.533,0.941,4.398,5.969,1104.074,603.25,172.145,123.541,6.414,4.883,9.69,12.556
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,9,87.835,68.51,80.138,1.8,68.51,80.138,1.244,5.064,6.443,669.669,1110.863,13.128,172.425,132.232,238.95,9.992,14.727,2.507,45.752,2.666,1.385,0.855,4.398,5.969,1110.791,669.742,173.561,132.079,6.4,5.071,10.029,12.534
MCZarchaeohippusblackbergi_3digits_bonejtrimmed.tif,10,10,86.089,68.53,80.084,1.8,68.53,80.084,1.233,5.216,6.477,709.258,1077.022,12.774,166.288,135.966,238.285,10.281,14.748,1.169,46.257,2.539,1.296,0.801,4.398,5.969,1076.823,709.458,168.365,135.566,6.396,5.233,10.281,12.558
