Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,1,0.097,114.808,135.446,1.8,114.808,135.446,0.19,0.086,0.137,5.44E-04,0.001,5.77E-04,0.008,0.006,0.012,0.254,0.458,2.554,0.972,0.254,0.254,0,6.109,1.396,0.001,5.40E-04,0.008,0.006,0.136,0.085,0.316,0.419
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,2,6.565,115.007,135.994,1.8,115.007,135.994,0.524,1.806,2.509,3.718,6.067,0.274,2.418,2.059,3.894,3.222,4.245,2.25,13.806,2.048,1.617,0.544,6.109,1.396,5.099,4.686,2.518,2.573,2.025,1.821,3.715,3.818
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,3,64.258,114.993,133.47,1.8,114.993,133.47,-0.23,5.179,9.803,144.742,2289.486,0.557,233.542,27.946,247.632,5.081,8.651,3.083,24.498,2.794,1.984,0.705,6.109,1.396,2282.854,151.374,232.271,29.037,9.828,5.213,5.106,8.527
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,4,114.58,114.847,133.745,1.8,114.847,133.745,-0.221,5.928,10.012,771.135,4064.216,0.919,405.949,130.088,469.441,10.881,20.508,0.441,114.607,3.213,1.653,0.992,6.109,1.396,4057.03,778.322,406.718,131.235,9.975,5.931,11.147,20.055
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,5,146.597,114.965,133.692,1.8,114.965,133.692,-0.203,6.705,10.22,1562.379,5303.432,0.995,518.932,233.01,634.003,12.797,21.72,2.953,113.172,3.302,1.419,0.948,6.109,1.396,5300.339,1565.473,519.434,233.192,10.204,6.713,13.023,20.512
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,6,162.645,114.95,133.495,1.8,114.95,133.495,-0.193,7.476,10.326,2367.137,5723.439,0.993,554.27,316.619,714.112,14.253,22.343,0.705,124.756,3.142,1.254,0.851,6.109,1.396,5722.342,2368.234,553.019,316.779,10.347,7.476,14.369,20.739
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,7,168.161,114.91,133.38,1.8,114.91,133.38,-0.186,8.096,10.395,3018.695,5637.076,0.958,542.273,372.846,744.816,15.386,22.729,0.758,80.104,3.1,1.152,0.828,6.109,1.396,5636.732,3019.04,539.533,372.873,10.447,8.097,15.495,20.776
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,8,172.209,115.043,133.435,1.8,115.043,133.435,-0.199,8.363,10.183,3427.085,5648.71,1.116,554.742,409.773,775.008,15.937,22.844,0.84,70.962,3.417,1.208,0.954,6.109,1.396,5647.421,3428.374,548.472,409.46,10.297,8.373,16.186,20.519
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,9,170.467,115.097,133.262,1.8,115.097,133.262,-0.185,8.779,10.006,3679.012,5250.678,0.966,524.753,419.073,753.231,16.573,22.977,0.868,72.176,2.973,1.067,0.773,6.109,1.396,5250.485,3679.205,527.612,418.849,9.951,8.784,16.672,19.996
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,10,163.435,114.955,133.087,1.8,114.955,133.087,-0.224,9.079,9.812,3752.616,4989.671,1.34,508.546,413.342,740.121,16.826,22.869,0.9,74.213,2.896,0.966,0.72,6.109,1.396,4986.664,3755.623,517.441,412.423,9.637,9.106,17.032,19.35
UNSM128868-2113-90_Pseudhippariongratum_bonejtrimmed.tif,5,11,149.79,114.856,132.907,1.8,114.856,132.907,-0.23,9.271,9.516,3421.437,4658.523,1.293,489.569,369.049,689.33,16.874,22.533,0.909,70.485,2.396,0.842,0.571,6.109,1.396,4654.762,3425.198,489.713,368.305,9.505,9.3,17.12,18.739
