Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,1,6.903,97.697,115.984,1.8,97.697,115.984,-1.23,1.529,2.267,2.918,5.865,1.022,2.587,1.909,3.865,2.794,4.113,1.416,11.112,2.342,2.106,0.447,2.897,4.468,3.824,4.959,2.493,2.503,1.534,1.981,3.913,2.988
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,2,38,97.569,115.992,1.8,97.569,115.992,-1.192,3.373,4.983,94.387,159.393,5.468,31.99,27.984,47.211,6.5,8.569,1.452,24.962,2.736,1.85,0.562,2.897,4.468,116.545,137.235,30.101,26.272,3.872,5.224,8.348,7.422
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,3,166.371,97.324,116.328,1.8,97.324,116.328,-0.255,5.476,14.587,800.882,10938.651,1.76,749.872,146.265,804.648,10.437,28.405,0.225,73.321,6.491,3.953,2.447,2.897,4.468,10937.563,801.97,749.7,146.428,14.589,5.477,10.72,28.4
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,4,248.064,97.777,116.04,1.8,97.777,116.04,-0.25,6.905,14.997,2563.198,19699.938,2.536,1313.623,371.219,1468.186,13.079,30.104,0.131,165.913,6.877,3.459,2.411,2.897,4.468,19699.332,2563.803,1312.889,371.047,15.005,6.91,13.247,29.911
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,5,290.193,97.973,115.774,1.8,97.973,115.774,-0.242,8.531,15.231,4846.007,23660.205,2.781,1553.399,568.078,1816.5,16.546,31.181,3.076,211.83,6.877,3.073,2.477,2.897,4.468,23660.116,4846.097,1554.227,568.198,15.223,8.529,16.788,30.375
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,6,311.467,98.08,115.606,1.8,98.08,115.606,-0.242,9.653,15.439,7525.709,24936.851,2.991,1615.227,779.636,2007.492,18.73,32.077,2.999,104.72,6.839,2.666,2.351,2.897,4.468,24936.787,7525.774,1616.117,779.602,15.43,9.653,18.821,30.5
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,7,315.016,98.425,115.593,1.8,98.425,115.593,-0.28,10.908,15.507,9420.752,25002.257,4.02,1612.289,863.636,2044.961,20.588,32.806,2.959,109.959,4.635,1.867,1.539,2.897,4.468,24982.029,9440.979,1590.521,866.518,15.707,10.895,20.638,30.47
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,8,342.677,98.396,115.42,1.8,98.396,115.42,-0.285,11.329,15.442,11988,26024.074,4.527,1685.312,1058.133,2232.212,21.836,33.266,2.895,161.823,5.388,1.987,1.732,2.897,4.468,26000.415,12011.66,1657.173,1062.467,15.69,11.305,21.87,30.432
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,9,360.919,98.533,115.52,1.8,98.533,115.52,-0.305,11.91,15.358,13761.786,26488.667,5.422,1724.697,1155.477,2337.547,22.701,33.639,2.882,136.946,4.853,1.774,1.531,2.897,4.468,26441.963,13808.489,1686.851,1163.654,15.675,11.866,22.702,30.185
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,10,369.725,98.697,115.639,1.8,98.697,115.639,-0.313,12.44,15.405,15403.944,26369.09,5.852,1711.766,1238.309,2416.029,23.519,33.699,2.835,131.583,4.348,1.495,1.318,2.897,4.468,26317.026,15456.007,1694.672,1247.261,15.529,12.392,23.533,29.724
UNSM128869-2109-90_Cormohipparionoccidentale_bonejtrimmed.tif,5,11,374.161,98.817,115.948,1.8,98.817,115.948,-0.32,13.132,15.302,16255.325,25647.108,6.167,1676.031,1237.804,2441.529,24.095,33.498,2.805,132.296,3.976,1.198,1.034,2.897,4.468,25593.546,16308.887,1673.45,1248.874,15.294,13.059,24.118,29.108
