Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,1,6.258,71.711,108.83,1.8,71.711,108.83,-0.924,2.067,2.42,3.825,7.473,0.664,3.088,1.85,4.668,0.381,1.085,1.212,2.453,0.916,0.447,0.217,3.089,4.66,5.339,5.959,2.269,2.968,2.352,2.008,1.008,0.434
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,2,33.516,77.98,108.156,1.8,77.98,108.156,-0.122,4.687,13.6,146.452,1972.675,0.083,145.055,31.248,155.061,0.254,0.524,1.816,1.226,1.545,0.493,0.325,3.089,4.66,1963.744,155.383,145.766,33.664,13.472,4.616,0.514,0.274
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,3,71.21,80.061,107.729,1.8,80.061,107.729,-0.077,6.217,11.553,597.025,3915.831,0.07,338.941,96.024,372.547,4.787,8.021,2.735,42.676,2.396,0.759,0.585,3.089,4.66,3913.827,599.029,341.39,95.888,11.464,6.247,5.239,7.236
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,4,101.726,79.989,107.58,1.8,79.989,107.58,-0.053,7.442,11.682,1359.796,5223.266,0.048,447.119,182.724,507.264,1.449,4.533,1.768,14.196,2.342,0.749,0.509,3.089,4.66,5223.264,1359.798,447.096,182.563,11.683,7.448,4.485,1.489
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,5,131.064,79.921,107.643,1.8,79.921,107.643,-0.032,8.43,11.82,2332.934,6474.823,0.022,547.808,276.755,664.317,8.892,14.292,1.822,96.675,1.832,0.727,0.472,3.089,4.66,6473.059,2334.698,550.39,282.791,11.761,8.256,14.177,8.897
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,6,144.822,80.199,107.788,1.8,80.199,107.788,-0.029,8.819,11.164,3232.948,6659.167,0.02,596.461,366.594,742.731,15.175,25.101,0.725,225.657,2.973,0.753,0.635,3.089,4.66,6657.283,3234.832,595.322,368.426,11.183,8.78,16.776,20.644
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,7,148.629,80.202,107.625,1.8,80.202,107.625,-0.027,9.439,10.96,3773.232,6629.922,0.018,604.933,399.735,782.21,16.322,24.616,0.756,226.704,2.41,0.712,0.545,3.089,4.66,6628.127,3775.027,605.815,396.097,10.941,9.531,17.624,21.847
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,8,150.774,80.28,107.659,1.8,80.28,107.659,-0.074,9.964,11.279,4214.743,6377.535,0.138,565.417,422.988,778.68,7.116,17.031,1.268,111.027,1.984,0.645,0.45,3.089,4.66,6376.489,4215.789,573.935,429.575,11.11,9.814,16.968,8.101
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,9,151.79,80.207,108.029,1.8,80.207,108.029,-0.075,9.973,10.978,4666.689,6262.413,0.142,570.431,467.929,808.6,7.723,17.791,1.89,102.968,1.849,0.631,0.443,3.089,4.66,6261.587,4667.515,573.025,477.175,10.927,9.782,17.475,8.074
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,10,148.516,80.39,108.142,1.8,80.39,108.142,-0.085,10.157,11.068,4847.96,6145.417,0.179,555.232,477.308,811.875,19.757,26.764,0.772,323.312,2.048,0.593,0.416,3.089,4.66,6144.019,4849.358,564.993,484.125,10.875,10.017,20.097,21.493
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,11,133.758,80.492,108.115,1.8,80.492,108.115,-0.063,10.143,11.099,4591.283,5671.989,0.089,511.044,452.674,753.328,8.02,18.335,1.844,189.269,1.626,0.572,0.394,3.089,4.66,5671.855,4591.417,513.532,456.691,11.045,10.054,18.122,8.104
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,12,122.306,80.617,108.565,1.8,80.617,108.565,0.058,10.801,11.096,4246.919,5292.467,0.07,476.991,393.196,713.117,4.572,17.69,1.506,86.66,1.524,0.559,0.372,3.089,4.66,5279.709,4259.677,475.682,401.673,11.099,10.605,17.642,4.586
UNSM128870_Protohippussimus_bonejtrimmed.tif,5,13,113.339,81.119,109.029,1.8,81.119,109.029,-0.086,11.16,11.826,3749.028,5079.386,0.141,429.525,335.92,650.126,6.643,18.198,1.868,109.917,1.545,0.554,0.371,3.089,4.66,5077.828,3750.586,433.383,337.855,11.717,11.101,18.036,7.157
