Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,1,143.467,50.051,79.201,1.8,50.051,79.201,-0.829,5.983,13.945,576.174,8987.395,13.001,644.498,96.302,682.601,9.411,26.407,0.765,72.123,5.08,3.308,1.432,2.269,3.84,8971.494,592.074,645.609,98.626,13.896,6.003,9.602,26.348
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,2,233.048,50.818,78.838,1.8,50.818,78.838,-0.813,8.101,14.002,2991.348,15897.439,20.503,1135.359,369.263,1310.451,15.462,28.338,0.552,172.765,5.495,2.753,1.86,2.269,3.84,15851.964,3036.824,1146.105,374.77,13.831,8.103,15.594,27.299
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,3,247.661,50.85,79.146,1.8,50.85,79.146,-0.813,9.04,14.123,5758.503,16703.441,21.757,1182.708,636.99,1493.605,17.978,29.366,1.272,280.863,4.819,1.892,1.373,2.269,3.84,16663.898,5798.046,1186.158,639.438,14.049,9.067,18.146,27.458
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,4,277.854,50.964,79.673,1.8,50.964,79.673,-0.818,10.312,14.158,8601.397,17108.853,24.651,1208.381,834.092,1637.393,19.992,30.319,1.351,90.435,6.604,2.347,2.088,2.269,3.84,17083.203,8627.046,1194.377,836.146,14.303,10.318,20.114,27.476
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,5,312.935,50.924,79.56,1.8,50.924,79.56,-0.841,11.025,14.005,11352.133,17705.665,28.988,1264.236,1029.643,1819.435,21.444,30.9,1.406,93.26,5.358,1.741,1.53,2.269,3.84,17699.417,11358.382,1249.879,1030.015,14.161,11.027,21.561,27.328
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,6,327.774,50.656,79.376,1.8,50.656,79.376,-0.874,11.272,14.018,13263.132,16709.466,32.137,1192.004,1176.677,1866.95,22.526,31.15,1.469,94.858,4.016,1.34,1.064,2.269,3.84,16709.459,13263.14,1192.686,1176.703,14.01,11.271,22.65,26.703
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,7,323.064,50.324,79.072,1.8,50.324,79.072,-1.207,14.091,15.266,13950.634,15501.003,47.039,1015.405,990.044,1857.365,23.342,31.082,1.493,97.342,3.75,1.214,0.955,2.269,3.84,15333.945,14117.692,1115.554,1175.829,13.746,12.007,23.448,26.05
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,8,305.87,50.259,78.923,1.8,50.259,78.923,-1.425,15.371,15.572,13669.455,14481.051,49.91,929.964,889.315,1789.19,23.777,30.995,1.55,199.528,4.318,1.187,1.019,2.269,3.84,14257.621,13892.885,1061.756,1125.169,13.428,12.347,23.856,25.864
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,9,289.032,49.918,78.657,1.8,49.918,78.657,-1.216,14.854,14.547,13181.805,13668.128,42.37,939.57,887.434,1676.481,24.062,30.497,1.604,96.811,4.016,1.137,0.957,2.269,3.84,13613.088,13236.845,1007.142,1025.177,13.517,12.912,24.132,26.361
UNSM27860_Neohipparionaffine_bonejtrimmed.tif,5,10,283.58,49.631,78.298,1.8,49.631,78.298,-1,13.628,14.027,12447.345,14017.559,33.481,999.358,913.381,1651.075,23.977,29.652,1.635,93.727,3.09,1.079,0.807,2.269,3.84,13992.133,12472.771,1009.132,937.012,13.866,13.311,24.113,27.29
