Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,1,60.355,71.371,70.15,1.8,71.371,70.15,0.77,3.919,15.17,117.73,5460.231,4.876,359.926,30.045,365.881,5.563,8.313,2.541,35.895,4.135,2.622,1.486,3.944,5.515,5454.504,123.457,360.618,31.521,15.125,3.917,5.797,8.15
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,2,224.903,72.245,70.021,1.8,72.245,70.021,0.763,7.953,16.154,2006.621,20723.073,17.9,1282.862,252.3,1388.283,11.907,32.514,2.54,182.26,5.436,2.525,1.583,3.944,5.515,20693.264,2036.43,1277.348,256.306,16.2,7.945,12.361,32.16
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,3,300.983,72.527,69.979,1.8,72.527,69.979,0.751,8.982,16.447,5394.98,25861.522,23.345,1572.434,600.639,1803.488,17.095,33.804,2.06,294.343,4.016,1.996,1.193,3.944,5.515,25806.004,5450.498,1545.091,607.418,16.702,8.973,17.167,32.86
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,4,369.403,72.443,69.878,1.8,72.443,69.878,0.742,10.134,16.671,9258.317,29738.129,28.088,1783.864,913.554,2182.666,19.338,34.72,1.969,169.332,5.029,2.078,1.497,3.944,5.515,29661.267,9335.179,1759.436,921.931,16.858,10.126,19.41,33.127
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,5,412.79,72.461,69.838,1.8,72.461,69.838,0.746,10.897,16.838,13036.474,31255.929,31.676,1856.289,1196.299,2416.175,20.985,35.308,1.912,151.253,5.594,2.293,1.788,3.944,5.515,31196.629,13095.773,1850.662,1202.371,16.857,10.892,21.033,33.487
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,6,445.451,72.463,69.839,1.8,72.463,69.839,0.772,11.533,16.551,16215.931,32109.426,36.097,1940.036,1406.021,2588.557,22.354,35.466,1.843,112.611,5.042,1.977,1.522,3.944,5.515,32093.916,16231.441,1911.52,1409.63,16.79,11.515,22.372,33.228
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,7,459.499,72.626,69.847,1.8,72.626,69.847,0.79,11.772,16.639,18792.64,32351.268,38.674,1944.355,1596.328,2737.122,23.136,35.557,1.864,189.958,4.684,1.611,1.214,3.944,5.515,32349.162,18794.746,1932.91,1597.465,16.736,11.765,23.187,32.942
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,8,457.967,72.727,69.87,1.8,72.727,69.87,0.847,12.226,17.041,20311.705,31179.698,42.845,1829.643,1661.394,2724.388,23.857,35.667,1.775,119.877,3.976,1.446,1.045,3.944,5.515,31158.632,20332.772,1869.695,1697.257,16.665,11.98,23.896,32.422
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,9,450.935,72.608,70.094,1.8,72.608,70.094,0.885,13.115,16.922,20808.325,29387.315,45.035,1736.588,1586.661,2660.321,24.127,35.498,1.751,174.06,3.951,1.326,0.996,3.944,5.515,29329.123,20866.517,1809.554,1694.38,16.208,12.315,24.186,31.573
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,10,426.193,72.612,70.333,1.8,72.612,70.333,0.9,13.48,16.656,20421.635,27702.187,43.599,1663.173,1515.001,2580.372,24.224,35.098,1.727,114.948,3.818,1.203,0.871,3.944,5.515,27633.393,20490.429,1753.168,1630.518,15.762,12.567,24.281,31.041
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,11,389.257,72.53,70.702,1.8,72.53,70.702,0.819,12.894,15.867,18315.229,25023.233,34.623,1577.084,1420.453,2353.86,24.243,34.487,1.678,170.358,3.455,1.135,0.871,3.944,5.515,25021.459,18317.002,1571.921,1422.567,15.918,12.876,24.274,31.328
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,12,361.693,72.384,71.109,1.8,72.384,71.109,0.769,13.223,16.2,16226.509,23847.901,29.176,1472.127,1227.188,2203.949,24.067,33.603,1.681,276.272,3.556,1.076,0.837,3.944,5.515,23839.364,16235.046,1479.55,1231.98,16.113,13.178,24.095,31.514
UNSM52297_Pliohippuspernix_bonejtrimmed.tif,5,13,347.628,72.347,71.376,1.8,72.347,71.376,0.736,13.326,16.647,14810.292,23086.702,26.104,1386.823,1111.381,2146.506,23.708,32.553,1.672,295.807,3.81,1.071,0.827,3.944,5.515,23049.617,14847.377,1392.222,1123.361,16.556,13.217,23.736,31.886
