"File","Genus","Species","Element","Compression stress","Bending stress (AP)","Anterior surface stress","Posterior surface stress","load","condition"
"MCZ7608_Anchitheriumclarenci_MTIII","Anchitherium","clarenci","MTIII",-31.97,-24.8,-7.16,-56.77,"Body","Normal"
"MCZNoNum_Archaeohippusblackbergi_MCIII","Archaeohippus","blackbergi","MCIII",-49.69,-24.84,-24.85,-74.53,"Body","Normal"
"MCZNoNum_Archaeohippusblackbergi_MTIII","Archaeohippus","blackbergi","MTIII",-26.2,-11.28,-14.92,-37.48,"Body","Normal"
"MCZ7283_Archaeohippusnanus_MTIII","Archaeohippus","nanus","MTIII",-33.44,-14.35,-19.08,-47.79,"Body","Normal"
"MCZ7283_Archaeohippusnanus_MCIII","Archaeohippus","nanus","MCIII",-32.02,-16.68,-15.33,-48.7,"Body","Normal"
"UNSM128869-2109-90_Cormohipparionoccidentale_MCIII","Cormohipparion","occidentale","MCIII",-28.39,-18.08,-10.31,-46.48,"Body","Normal"
"MCZ13478_Equusniobrarensis_MTIII","Equus","niobrarensis","MTIII",-25.67,-14.07,-11.6,-39.73,"Body","Normal"
"MCZ17665_Hyracotheriumsp_MCIII","Hyracotherium","sp","MCIII",-52.42,-16.35,-36.06,-68.77,"Body","Normal"
"MCZ19205_Hyracotheriumvasacciense_MCIII","Hyracotherium","vasacciense","MCIII",-49.11,-31.25,-17.86,-80.36,"Body","Normal"
"MCZ6927B_Mesohippusbarbouri_MCIII","Mesohippus","barbouri","MCIII",-59.71,-54.97,-4.73,-114.68,"Body","Normal"
"MCZ6927_Mesohippusbarbouri_MTIII","Mesohippus","barbouri","MTIII",-55.27,-52.01,-3.27,-107.28,"Body","Normal"
"MCZ6927_Mesohippusbarbouri_MCIII","Mesohippus","barbouri","MCIII",-49.46,-37.09,-12.37,-86.54,"Body","Normal"
"FM705_Miohippusgidleyi_MTIII","Miohippus","gidleyi","MTIII",-24.65,-17.07,-7.59,-41.72,"Body","Normal"
"FM1195_Miohippusgidleyi_MCIII","Miohippus","gidleyi","MCIII",-40.64,-38.52,-2.12,-79.16,"Body","Normal"
"UNSM27860_Neohipparionaffine_MCIII","Neohipparion","affine","MCIII",-30.23,-19.34,-10.9,-49.57,"Body","Normal"
"FM69506_Neohipparioncoloradense_MCIII","Neohipparion","coloradense","MCIII",-41.65,-27.6,-14.05,-69.25,"Body","Normal"
"MCZ17876_Parahippusleonensis_MCIII","Parahippus","leonensis","MCIII",-47.86,-28.85,-19.01,-76.7,"Body","Normal"
"MCZ17877_Parahippusleonensis_MTIII","Parahippus","leonensis","MTIII",-33.4,-17.62,-15.78,-51.03,"Body","Normal"
"UNSM52297_Pliohippuspernix_MCIII","Pliohippus","pernix","MCIII",-30.42,-15.02,-15.41,-45.44,"Body","Normal"
"FM71001_Protohippusfloblairi_MCIII","Protohippus","floblairi","MCIII",-53.95,-35.29,-18.66,-89.24,"Body","Normal"
