 ,Label,Bone Code,Slice,CSA (inches²),X cent. (inches),Y cent. (inches),Density,wX cent. (inches),wY cent. (inches),Theta (rad),R1 (inches),R2 (inches),Imin (inches^4),Imax (inches^4),Ipm (inches^4),Zmax (inches³),Zmin (inches³),Zpol (inches³),Feret Min (inches),Feret Max (inches),Feret Angle (rad),Perimeter (inches),Max Thick 2D (inches),Mean Thick 2D (inches),SD Thick 2D (inches),M (rad),P (rad),IML(inches^4),IAP(inches^4),ZML(inches³),ZPA(inches³),RML(inches),RAP(inches),DML(inches),DPA(inches)
1,TrimmedRawStackProx.tif,5,1,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,TrimmedRawStackProx.tif,5,2,0.004,1.561,0.91,1.8,1.561,0.91,0.026,0.03,0.051,6.73E-07,1.76E-06,3.96E-07,3.45E-05,2.25E-05,4.73E-05,0.056,0.094,0.104,0.274,0.052,0.045,0.012,0,1.571,1.76E-06,6.73E-07,3.46E-05,2.22E-05,0.051,0.03,0.056,0.094
3,TrimmedRawStackProx.tif,5,3,0.012,1.57,0.915,1.8,1.57,0.915,0.1,0.064,0.082,8.61E-06,1.86E-05,2.04E-05,2.25E-04,1.35E-04,3.09E-04,0.103,0.17,0.293,0.524,0.094,0.082,0.023,0,1.571,1.85E-05,8.71E-06,2.19E-04,1.36E-04,0.084,0.064,0.115,0.162
4,TrimmedRawStackProx.tif,5,4,0.049,1.522,0.978,1.8,1.522,0.978,0.686,0.462,0.832,0.001,0.005,0.003,0.005,0.003,0.007,0.169,0.328,0.017,1.043,0.154,0.108,0.058,0,1.571,0.003,0.003,0.004,0.004,0.817,0.728,0.186,0.328
5,TrimmedRawStackProx.tif,5,5,0.199,1.422,1.065,1.8,1.422,1.065,0.525,0.559,0.837,0.01,0.043,0.008,0.052,0.018,0.056,0.067,0.329,1.295,0.817,0.136,0.073,0.041,0,1.571,0.035,0.018,0.037,0.028,0.947,0.662,0.317,0.123
6,TrimmedRawStackProx.tif,5,6,0.473,1.3,1.087,1.8,1.3,1.087,0.364,0.544,0.78,0.023,0.119,0.01,0.153,0.042,0.166,0.885,1.611,2.409,11.769,0.174,0.043,0.046,0,1.571,0.107,0.035,0.13,0.052,0.825,0.672,1.153,1.462
7,TrimmedRawStackProx.tif,5,7,0.68,1.286,1.112,1.8,1.286,1.112,0.345,0.603,0.836,0.035,0.16,0.013,0.191,0.058,0.213,0.969,1.689,2.395,12.085,0.151,0.044,0.034,0,1.571,0.146,0.049,0.179,0.07,0.813,0.706,1.234,1.483
8,TrimmedRawStackProx.tif,5,8,0.8,1.263,1.128,1.8,1.263,1.128,0.339,0.619,0.861,0.046,0.174,0.015,0.202,0.074,0.233,1.012,1.721,2.364,12.663,0.148,0.035,0.03,0,1.571,0.16,0.06,0.202,0.084,0.793,0.719,1.282,1.49
9,TrimmedRawStackProx.tif,5,9,0.918,1.254,1.148,1.8,1.254,1.148,0.345,0.667,0.873,0.06,0.188,0.017,0.215,0.089,0.26,1.099,1.742,2.341,12.315,0.118,0.031,0.022,0,1.571,0.173,0.074,0.222,0.103,0.782,0.722,1.331,1.499
10,TrimmedRawStackProx.tif,5,10,1.048,1.238,1.164,1.8,1.238,1.164,0.335,0.725,0.887,0.077,0.2,0.019,0.226,0.106,0.287,1.208,1.757,2.322,9.601,0.098,0.029,0.02,0,1.571,0.187,0.091,0.244,0.126,0.765,0.718,1.364,1.507
