File,Genus,Species,Element,A,l,IAP,IML,yAP,yML,mass,TRI,beta,theta_norm,theta_perf,r,EMA,R,Fgrf,Fgrftoedness
MCZ7608_Anchitheriumclarenci_MTIII,Anchitherium,clarenci,MTIII,2.25013,21.7038,0.6935574,0.4500278,1.0906,0.9144,131.7,0.762889600932129,0,5,20,1.76873087537408,0.218497039088249,8.0949878440216,1290.66,510.994784915235
MCZNoNum_Archaeohippusblackbergi_MCIII,Archaeohippus,blackbergi,MCIII,0.33286,10.4364,0.019746,0.0133481,0.4499,0.372,20,0.713390501319261,0,5,20,0.786471106244328,0.134356340101698,5.85362109185934,196,80.7654253873335
MCZNoNum_Archaeohippusblackbergi_MTIII,Archaeohippus,blackbergi,MTIII,0.63128,12.9636,0.0671449,0.0525105,0.5708,0.5349,20,0.713390501319261,0,5,20,0.786471106244328,0.134356340101698,5.85362109185934,196,80.7654253873335
MCZ7283_Archaeohippusnanus_MTIII,Archaeohippus,nanus,MTIII,0.49469,11.0916,0.0449303,0.0285704,0.5295,0.4329,20,0.713390501319261,0,5,20,0.786471106244328,0.134356340101698,5.85362109185934,196,80.7654253873335
MCZ7283_Archaeohippusnanus_MCIII,Archaeohippus,nanus,MCIII,0.51664,10.38936,0.0380114,0.0221194,0.5111,0.4158,20,0.713390501319261,0,5,20,0.786471106244328,0.134356340101698,5.85362109185934,196,80.7654253873335
UNSM128869-2109-90_Cormohipparionoccidentale_MCIII,Cormohipparion,occidentale,MCIII,2.82629,23.334472,1.0581132,0.8478429,1.1358,1.0169,151.3,0.526070833162854,0,5,20,1.87745965364349,0.226459669726908,8.29048128484667,1482.74,722.532963650018
MCZ13478_Equusniobrarensis_MTIII,Equus,niobrarensis,MTIII,6.08387,27.01692,4.8919639,4.4709647,1.6273,1.5573,350,0,0,5,20,2.69270720785331,0.281165468573576,9.57694848344676,3430,3430
MCZ17665_Hyracotheriumsp_MCIII,Hyracotherium,sp,MCIII,0.2909,5.06352,0.0089653,0.0087449,0.3808,0.3674,18,0.888664600647979,0,5,20,0.751635097095306,0.130753322255251,5.74849712520494,176.4,63.5142567606635
MCZ19205_Hyracotheriumvasacciense_MCIII,Hyracotherium,vasacciense,MCIII,0.18215,7.4718,0.0058195,0.0018342,0.3276,0.1996,9,0.888664600647979,0,5,20,0.557910009075018,0.109341995012757,5.10243122059302,88.2,31.7571283803318
MCZ6927B_Mesohippusbarbouri_MCIII,Mesohippus,barbouri,MCIII,0.54367,11.5596,0.0369557,0.0154932,0.5372,0.3617,47.7,0.760651944667317,0,5,20,1.14288564212614,0.168131918251321,6.79755310004717,467.46,185.40406889364
MCZ6927_Mesohippusbarbouri_MTIII,Mesohippus,barbouri,MTIII,0.58725,12.16836,0.0387258,0.0203283,0.5409,0.4265,47.7,0.760651944667317,0,5,20,1.14288564212614,0.168131918251321,6.79755310004717,467.46,185.40406889364
MCZ6927_Mesohippusbarbouri_MCIII,Mesohippus,barbouri,MCIII,0.65632,11.31444,0.0432364,0.0298066,0.559,0.4796,47.7,0.760651944667317,0,5,20,1.14288564212614,0.168131918251321,6.79755310004717,467.46,185.40406889364
FM705_Miohippusgidleyi_MTIII,Miohippus,gidleyi,MTIII,1.44614,16.823808,0.2253692,0.1477268,0.8304,0.6522,53.8,0.736747967479675,0,5,20,1.20358357480892,0.173434005077336,6.93972081352922,527.24,213.155798054168
FM1195_Miohippusgidleyi_MCIII,Miohippus,gidleyi,MCIII,0.87727,13.2574,0.1459385,0.0383905,0.7999,0.4855,53.8,0.736747967479675,0,5,20,1.20358357480892,0.173434005077336,6.93972081352922,527.24,213.155798054168
UNSM27860_Neohipparionaffine_MCIII,Neohipparion,affine,MCIII,2.44145,23.24649,0.8857433,0.6777173,1.0669,0.97,136.1,0.483151546547556,0,5,20,1.79390263436062,0.220357492844144,8.14087422763256,1333.78,678.318619689769
FM69506_Neohipparioncoloradense_MCIII,Neohipparion,coloradense,MCIII,1.77234,19.80504,0.491313,0.3827146,0.9356,0.9177,136.1,0.483151546547556,0,5,20,1.79390263436062,0.220357492844144,8.14087422763256,1333.78,678.318619689769
MCZ17876_Parahippusleonensis_MCIII,Parahippus,leonensis,MCIII,0.98189,15.12288,0.1386219,0.0993283,0.7147,0.5792,76.6,0.607029532539715,0,5,20,1.40106487302145,0.189986809127106,7.37453762952619,750.68,339.051478725148
MCZ17877_Parahippusleonensis_MTIII,Parahippus,leonensis,MTIII,1.40669,15.5216,0.2756004,0.2096065,0.7999,0.7275,76.6,0.607029532539715,0,5,20,1.40106487302145,0.189986809127106,7.37453762952619,750.68,339.051478725148
UNSM52297_Pliohippuspernix_MCIII,Pliohippus,pernix,MCIII,2.69241,17.8308,0.9436129,0.7966586,1.0757,1.0118,155.3,0.328586668728541,0,5,20,1.89864425608508,0.227989403200349,8.32777413964549,1521.94,918.395176653882
FM71001_Protohippusfloblairi_MCIII,Protohippus,floblairi,MCIII,1.56603,16.51338436,0.295267,0.2591801,0.8383,0.8031,161.5,0.587252562122701,0,5,20,1.93087455854819,0.230303712070568,8.38403576385494,1582.7,727.843766543999
FM71001B_Protohippusfloblairi_MCIII,Protohippus,floblairi,MCIII,1.58972,18.38966,0.3467951,0.3055028,0.8473,0.8011,161.5,0.587252562122701,0,5,20,1.93087455854819,0.230303712070568,8.38403576385494,1582.7,727.843766543999
UNSM128870_Protohippussimus_MCIII,Protohippus,simus,MCIII,1.63016,22.397466,0.3704374,0.2870775,0.8542,0.7721,161.5,0.587252562122701,0,5,20,1.93087455854819,0.230303712070568,8.38403576385494,1582.7,727.843766543999
UNSM128868-2113-90_Pseudhippariongratum_MCIII,Pseudhipparion,gratum,MCIII,1.28258,16.16456,0.2297404,0.1933644,0.763,0.7435,61,0.532561443108228,0,5,20,1.2703743104383,0.179146168292769,7.09127257671622,597.8,289.474299079237
MCZ63107_Tapirusbairdii_MCIII,Tapirus,bairdii,MCIII,2.87407,12.48624,2.0213047,0.3779812,1.5848,0.8311,250,0.789866666666667,0,5,20,2.32999010959642,0.257786961993225,9.03843271040859,2450,949.710564399421
MCZ63107_Tapirusbairdii_MTIII,Tapirus,bairdii,MTIII,2.83689,12.52212,2.1259039,0.4110239,1.5238,0.9818,250,0.789866666666667,0,5,20,2.32999010959642,0.257786961993225,9.03843271040859,2450,949.710564399421
